,1_times_lag9,2_times_lag9,test_value
0,3078.424324838257,3081.73954090271,3102.0991
1,3149.5017947021483,3152.719186669922,3106.4179
2,3113.3377989868163,3110.9817575553893,2969.8614
3,2836.3401292480467,2831.144603125,3026.9925
4,3084.1362072753905,3086.3385273742674,3060.3073
5,3089.830815701294,3096.796714215088,3026.9513
6,2995.621109341431,2993.163225506592,2990.685
7,2954.5938249206542,2952.6030068969726,3021.7512
8,3051.4584010040285,3054.2109244262697,3096.4176
9,3169.225499475098,3174.427289331055,3090.975
10,3083.9556327819823,3085.9119111061095,3090.6403
11,3089.8611883166313,3088.1775347831726,3101.455
12,3113.3133068847656,3112.779391365051,3104.1487
13,3106.7198891651155,3106.8647518169405,3043.0313
14,2981.661999157715,2980.912762097168,2997.0954
15,2951.3666059020998,2948.711393499756,3022.7196
16,3047.4870541473388,3050.6980450531005,2994.9434
17,2968.732739065552,2967.2350259765626,3090.758
18,3184.1452146606443,3191.1210752563475,3170.361
19,3246.90388482666,3254.5968322143553,3176.8227
