,1_times_lag9,test_value
0,3104.934157220459,3102.0991
1,3135.2995508972167,3106.4179
2,3151.460441503906,2969.8614
3,3002.3279336608884,3026.9925
4,3057.5161873626707,3060.3073
5,3108.4375375793456,3026.9513
6,3067.971563671875,2990.685
7,2997.4944573020935,3021.7512
8,3005.9777357971193,3096.4176
9,3083.107633912659,3090.975
10,3088.2736459732055,3090.6403
11,3118.925923550415,3101.455
12,3123.724453048706,3104.1487
13,3108.86904072876,3043.0313
14,3049.169592312622,2997.0954
15,3022.007364416504,3022.7196
16,3039.453995980835,2994.9434
17,3017.5835138305665,3090.758
18,3117.4500928955076,3170.361
19,3159.7395915374755,3176.8227
