,data_pre_value
0,-92.7877242799778
1,22.72291171850796
2,30.28699582445256
3,-76.37820891588562
4,17.284756799198167
5,135.69786874716033
6,17.767689520618884
7,-133.04266000217328
8,76.72555613046063
9,36.65643880332318
10,-63.81407582841149
11,20.27254804868985
12,52.62970600087468
13,-78.65305754364955
14,4.948215722252792
15,82.16654361045678
16,-32.47330009992622
17,3.3409697787777652
18,134.3023576862163
19,-89.11802094703357
20,-43.65743120691434
21,94.25940034550145
22,-22.09078678676393
23,-181.90368267654046
24,11.000025609409285
25,212.1983678235201
26,73.38416463127163
27,11.533019250255675
28,-54.161259554991034
29,101.4744083760285
30,-70.98736064655033
31,-52.366582167584625
32,87.45292274509097
33,129.138535470394
34,-74.12271954209737
35,-97.32669999545638
36,285.7167307330237
37,5.149059002733253
38,-287.4342275159667
39,23.40001477252931
40,331.9971719172814
41,-76.63885181446042
42,10.056650632087617
43,79.95720841730397
44,56.61722822559755
45,-148.19814373273948
46,-63.2154961044965
47,45.58196745188341
48,-120.60186849816264
49,-106.28913464046549
