,restore_value
0,2477.5571757200223
1,2593.1450117185077
2,2589.9239958244525
3,2519.627391084114
4,2627.794156799198
5,2715.40196874716
6,2598.7717895206188
7,2458.6508399978266
8,2678.4489561304604
9,2633.633138803323
10,2530.4395241715883
11,2595.84814804869
12,2637.2021060008747
13,2539.5792424563506
14,2658.8442157222526
15,2754.060243610457
16,2688.5949999000736
17,2723.040869778778
18,2816.6873576862167
19,2665.2385790529665
20,2711.9884687930858
21,2855.4783003455013
22,2729.710413213236
23,2622.3225173234596
24,2972.2834256094093
25,3153.71466782352
26,3027.2083646312717
27,2952.4868192502554
28,2939.843740445009
29,3129.0499083760283
30,2983.2592393534496
31,3049.7325178324154
32,3193.8708227450907
33,3098.9999354703937
34,2952.8697804579024
35,2962.9806000045437
36,3312.668030733024
37,2995.8340590027333
38,2734.3169724840336
39,3119.8176147725294
40,3422.9721719172812
41,3014.0014481855396
42,3111.5116506320874
43,3184.1059084173044
44,3099.6485282255976
45,2848.8972562672607
46,2959.5041038955032
47,3040.5253674518835
48,2970.156131501837
49,3064.0718653595345
