,1_times_lag10,2_times_lag10,3_times_lag10,4_times_lag10,5_times_lag10,6_times_lag10,7_times_lag10,8_times_lag10,9_times_lag10,10_times_lag10,11_times_lag10,12_times_lag10,13_times_lag10,14_times_lag10,15_times_lag10,16_times_lag10,17_times_lag10,18_times_lag10,19_times_lag10,20_times_lag10,test_percentage
0,-19.01037,-25.286875,-14.493885,-20.489746,-19.971083,-28.467556,-18.849558,-35.842587,-20.685642,-4.6336107,-23.197453,-25.805689,-17.092073,-21.770748,-27.973675,-32.86219,-24.430792,-15.8338,-23.281916,-21.976633,0.0771999999997206
1,20.963867,18.866951,20.591478,22.640968,21.238815,21.084925,22.636522,22.899315,20.513271,24.119387,21.26879,23.883396,21.79904,22.6816,21.14609,18.855234,20.772902,21.808249,23.02849,22.875866,-10.785099999999602
2,46.649017,41.559116,48.3601,46.992714,48.565094,42.181267,53.550823,45.826614,45.826157,45.74052,43.603237,46.265327,47.701553,42.73741,46.790726,43.000465,46.482677,49.069965,50.464447,48.26718,36.36859999999979
3,-1.821112,-8.161382,-0.8513155,-4.5583878,-7.6840296,-2.3832371,-4.265634,-1.5926952,-5.749816,-0.60355496,-5.100636,-5.5520344,-3.1939523,-5.5066257,-6.7963614,-0.6918944,-5.4619446,-1.1837163,-4.2537966,-9.274845,14.503799999999956
4,3.0146885,1.5521059,2.2168274,3.6291866,3.509537,0.9687339,5.9511995,1.3147058,6.62041,2.3241785,3.3998475,4.5313387,-0.18837553,2.0804534,0.7893174,1.7732652,1.5568125,1.0006404,2.531083,0.2817064,-30.80529999999999
5,37.357414,42.044052,45.884247,45.88084,42.157993,43.628407,32.98301,42.629803,42.671913,40.66233,40.883358,37.029995,37.58323,42.810505,43.853886,34.104687,40.24008,38.774498,45.13448,39.544197,1.300000000000182
6,12.3573475,18.127789,18.656181,16.284513,14.451009,16.142359,18.293005,15.536181,18.476122,16.503725,12.106394,13.974274,17.922243,14.364778,18.54646,16.67422,13.869959,16.830835,11.742437,12.864367,10.68939999999975
7,-13.8292055,-7.965596,-14.413992,-12.46812,-13.749098,-11.484344,-10.814217,-13.963229,-11.565894,-15.137588,-13.244779,-15.045511,-10.908699,-9.826676,-10.337274,-15.56505,-15.895139,-9.348442,-8.401273,-13.899449,10.029899999999998
8,-23.43989,-16.206873,-19.880774,-20.180527,-27.748606,-34.32087,-30.363869,-29.338423,-20.77294,-20.523504,-19.345682,-26.046856,-25.511438,-22.304844,-25.013037,-26.225935,-23.894955,-16.860836,-20.071905,-19.500175,-4.7466999999996915
9,-30.681229,-35.64728,-41.72272,-41.070004,-36.228146,-42.169926,-38.010113,-43.30319,-37.66925,-40.131756,-39.484528,-36.106136,-38.77793,-37.843018,-31.464033,-42.943127,-38.046833,-33.41333,-34.05167,-35.392265,-2.7231000000001586
10,-6.467011,-12.005056,-9.324873,-15.707884,-12.856878,-9.003943,-11.039427,-11.01066,-9.0776,-6.0870476,-12.370179,-9.848904,-6.878554,-5.8898563,-12.995851,-12.462348,-9.884856,-10.154425,-14.2799835,-11.183656,-18.677999999999884
11,9.735624,5.1177077,2.2514763,2.4222229,-1.7020097,2.131961,-2.6017973,7.923611,3.5487864,6.6916046,8.098433,1.6942708,9.7236805,0.027042799,1.6481512,4.4287524,8.751552,-0.8255215,-0.92010295,1.9919627,8.996799999999894
12,-9.9012575,-13.740864,-10.68063,-8.072843,-13.569474,-13.792246,-9.440637,-8.787666,-12.236639,-8.78084,-12.095274,-6.2425675,-6.557879,-7.282479,-6.7326436,-11.879354,-1.4416859,-5.3976703,-3.1749063,-8.602121,33.65990000000011
13,-35.393818,-35.846825,-27.488947,-33.89913,-35.013836,-28.894648,-32.626442,-32.223602,-28.0239,-31.478745,-24.843918,-30.863535,-31.727375,-30.753458,-30.686754,-34.71909,-24.335709,-33.511448,-33.66974,-38.395252,35.66369999999961
