,1_times_lag7,2_times_lag7,3_times_lag7,4_times_lag7,5_times_lag7,6_times_lag7,7_times_lag7,8_times_lag7,9_times_lag7,10_times_lag7,11_times_lag7,12_times_lag7,13_times_lag7,14_times_lag7,15_times_lag7,16_times_lag7,17_times_lag7,18_times_lag7,19_times_lag7,20_times_lag7,test_percentage
0,31.53968,36.032543,34.084938,33.10081,33.715244,34.39864,34.367302,35.7195,34.715057,34.418346,35.02931,35.934315,34.197403,34.21107,33.328133,34.169804,34.513607,35.674946,35.211533,34.51013,0.0771999999997206
1,0.3958602,-0.2047478,-0.029026117,-0.2829754,-0.48336434,-0.31898147,0.58006996,0.09865378,-0.074769266,0.17342298,-0.39371684,0.60820675,0.10277801,0.15666136,0.262369,0.35824686,0.3053455,0.48315275,0.30500674,-0.19886777,-10.785099999999602
2,-10.915328,-9.634537,-10.0532675,-10.405504,-10.127375,-11.407469,-10.652,-10.926428,-11.190269,-10.924465,-9.786982,-10.490063,-11.092055,-10.65037,-9.9221325,-9.825939,-10.996564,-10.634281,-10.420197,-10.641594,36.36859999999979
3,34.36522,37.777405,36.832153,34.5754,35.705246,36.226723,36.016487,36.985474,35.715405,36.543907,36.870808,38.48081,35.979736,36.17163,35.58367,36.27551,35.74621,37.81005,36.653915,36.17077,14.503799999999956
4,12.917081,15.1548815,13.955651,14.131189,14.138792,14.670365,14.683596,14.7657795,14.576381,14.117074,14.211649,15.649961,14.982015,14.844006,13.8662195,15.088285,14.129042,14.4116125,14.63434,14.843706,-30.80529999999999
5,-31.06014,-28.868658,-29.949598,-30.682276,-30.019314,-31.733824,-31.329725,-30.098577,-31.55436,-30.396015,-29.905846,-28.856413,-31.652527,-30.753422,-29.680042,-30.196318,-30.072239,-29.1127,-29.367247,-29.580982,1.300000000000182
6,0.83085936,1.292633,1.9692695,2.0696957,1.4626117,1.7926505,1.2996595,1.805431,1.4366809,0.85755885,0.8570197,1.419143,1.1136374,0.9184896,1.3152262,0.91891956,0.8440504,0.511193,1.5932021,0.3225654,10.68939999999975
7,9.4415045,11.074462,10.732064,10.4746,10.468789,11.029267,10.099652,10.212608,10.42921,10.126189,10.617718,11.747537,11.3823395,11.15114,10.119193,10.658919,10.357392,10.273566,10.626913,11.029786,10.029899999999998
8,8.90194,10.395734,9.159369,9.410385,9.698491,10.078076,10.403904,9.818395,10.065368,10.220248,10.059214,10.06096,10.055744,10.098177,10.153703,9.458817,9.674649,10.567554,9.3684845,9.990504,-4.7466999999996915
9,-4.7640376,-4.408818,-4.1857066,-3.8342505,-5.3153467,-4.2557607,-4.5638957,-4.589405,-5.069207,-4.5473857,-5.138531,-4.4292064,-5.1248493,-4.9629383,-4.256381,-4.820896,-4.9747257,-4.9386606,-4.332027,-4.8501124,-2.7231000000001586
10,-3.0136287,-2.6662319,-2.081651,-2.1735935,-2.4825408,-2.4862554,-2.4318843,-2.807087,-2.4839501,-2.615946,-2.5592992,-3.3327584,-2.7732935,-2.9138246,-2.4803472,-2.0556285,-2.924586,-3.2486026,-2.8451056,-3.0683012,-18.677999999999884
11,-19.028309,-17.978128,-18.05939,-18.76395,-17.813921,-19.250982,-18.400768,-18.415045,-18.23397,-18.114235,-17.71173,-18.120367,-18.380405,-18.384008,-18.357883,-17.94234,-17.843168,-17.671064,-18.395346,-17.77588,8.996799999999894
12,8.139133,9.200137,8.882617,8.695147,8.755343,9.09281,8.531321,9.079549,8.842636,8.830754,9.114172,9.297583,9.022619,8.96031,8.851345,8.433664,8.877057,9.209359,9.032388,8.90321,33.65990000000011
13,31.598562,35.07709,33.233315,31.9222,33.099106,33.180046,33.783886,34.176224,33.193443,33.48456,34.01213,35.125103,33.546486,33.665436,33.127182,33.654217,33.30259,34.78428,33.6748,33.820038,35.66369999999961
14,33.239735,37.3689,34.65171,33.752502,34.85401,35.13573,36.641434,36.73516,35.551765,36.00392,36.060177,36.92932,35.266087,35.375324,34.825535,36.22137,35.42419,37.1133,35.757187,35.812828,17.99770000000035
15,17.103025,18.91876,17.671188,16.994896,17.523098,17.821413,19.120382,18.996891,17.970903,18.876713,18.147326,18.95533,17.398119,17.559364,17.446003,18.804907,17.657946,19.136854,18.25931,17.900192,49.17459999999983
16,45.536087,51.366795,49.14431,46.94702,48.071632,49.154842,49.45864,50.71794,48.938507,49.638298,49.63836,52.1127,48.614365,48.758595,47.22554,49.96637,48.54261,50.95038,49.997135,49.077007,-1.3683999999998377
17,-1.3968015,-1.7236407,-1.6067948,-1.6684245,-1.4660248,-1.5838217,-0.8573957,-1.4188346,-1.6788085,-2.0484877,-1.5272492,-0.84338963,-1.7491196,-1.6062504,-1.7057477,-0.5210178,-1.1749805,-0.7700334,-1.6326537,-2.0368004,-37.31489999999985
18,-37.837387,-34.843597,-36.28632,-35.967934,-36.073708,-38.57862,-36.191322,-36.591,-38.3618,-37.813873,-35.34605,-36.040703,-38.15382,-37.896442,-36.290047,-35.852062,-36.046158,-36.15136,-36.27965,-36.205936,71.97159999999985
19,66.49412,74.32242,72.53098,68.89771,70.84656,71.58803,70.83824,73.276405,71.292625,71.09453,72.760475,76.21893,71.71735,71.898155,69.89975,70.72479,70.82715,74.072365,73.06617,71.82514,1.289299999999912
20,1.0190232,1.2809291,0.56666565,0.69408983,0.81936044,0.7302832,1.8493028,0.37862277,1.1275978,0.15163286,0.38779435,1.9269127,1.975499,0.6580355,1.0248703,2.4106581,1.9904352,1.415747,1.4664268,1.8936332,5.572999999999865
21,5.06513,6.251417,5.168487,5.395516,5.1704955,5.320416,5.6255493,6.5778704,5.8554664,6.18704,5.595317,4.838564,4.375363,5.127421,5.662899,4.996776,4.9446197,6.460947,5.6865315,5.200809,-9.417699999999968
22,-10.263903,-9.221211,-8.11637,-7.2184854,-9.711662,-8.001382,-8.569851,-9.233634,-9.826594,-9.729513,-10.018742,-9.469301,-9.594716,-10.136243,-9.707187,-9.558969,-9.0295515,-10.837209,-9.64759,-10.568353,52.42500000000018
23,47.2348,54.90019,51.693054,50.511,51.21678,52.89024,51.788498,53.37077,52.372917,51.929466,52.883472,55.313675,52.726837,52.49262,50.17205,52.496815,52.36763,53.26822,52.962105,52.816017,157.05719999999974
24,146.27795,163.80316,155.15698,149.14252,154.28098,156.2141,158.82199,159.04007,155.3105,157.84448,159.60582,164.36017,156.49109,156.67116,153.85269,157.0447,155.54803,162.80264,156.33368,157.59818,-19.767100000000028
25,-20.198114,-20.271278,-18.324821,-20.39722,-20.720108,-20.950182,-19.922913,-19.70494,-21.26786,-20.107471,-20.782537,-17.979198,-21.424973,-21.045403,-18.244144,-18.692453,-19.146145,-19.101233,-18.434568,-19.324461,12.307900000000245
26,10.505538,13.255373,13.265143,12.016341,11.780618,13.083674,11.956821,14.523761,12.676629,13.835029,13.055883,12.676992,11.063876,9.694624,11.117328,12.423534,12.40998,13.445415,14.001852,10.789192,-12.870400000000245
