,data_pre_value
0,3.457577851523707
1,-12.107928742588008
2,-18.88799270169025
3,-2.0472837281690417
4,3.5606186586818573
5,-33.548391434586904
6,28.552393603278585
7,21.036674022917435
8,-24.112373175705606
9,-29.158478873480796
10,25.80571463416479
11,-20.968998217345245
12,-22.146671682908607
13,34.65143092733278
14,4.912388056557887
15,-13.71654482339547
16,6.215128811571736
17,-13.45543739795728
18,-3.310860834562857
19,1.0599400496141804
20,-32.23416519880587
21,20.818706141194244
22,-20.72780636110319
23,23.88754918912777
24,-13.855016869817902
25,16.992127981672088
26,-11.79681580091592
27,-5.000059282450718
28,-2.831644933295422
29,-23.91189709070258
30,27.279108323391046
31,-35.63840919532973
32,15.746119771983835
33,10.150998581547125
34,28.12362078837773
35,-57.7737067548659
36,29.277721567851742
37,-16.22560189544237
38,22.329433198936933
39,-5.642985660937332
40,-19.477736566529828
41,15.237320616501876
42,25.858311908762317
43,-61.31587410340047
44,79.48293559626073
45,-21.253037689404273
46,-58.578809767896715
47,40.77316496991497
48,-16.14143554253069
49,13.580592261674877
