,restore_value
0,2674.1675778515237
1,2620.792071257412
2,2619.8120072983097
3,2640.282716271831
4,2668.320618658682
5,2610.301608565413
6,2668.5523936032787
7,2702.0866740229176
8,2679.9876268242942
9,2677.3715211265194
10,2750.6757146341647
11,2716.7310017826544
12,2709.4633283170915
13,2740.701430927333
14,2712.792388056558
15,2696.0834551766047
16,2750.945128811572
17,2739.574562602043
18,2742.419139165437
19,2776.6599400496143
20,2747.5258348011944
21,2805.518706141194
22,2754.1521936388967
23,2816.5575491891277
24,2782.254983130182
25,2810.8921279816723
26,2780.5831841990844
27,2779.489940717549
28,2800.8583550667045
29,2768.8981029092974
30,2816.929108323391
31,2735.8115908046702
32,2764.676119771984
33,2753.220998581547
34,2811.423620788378
35,2733.746293245134
36,2840.1977215678517
37,2792.254398104558
38,2844.809433198937
39,2827.2970143390626
40,2813.09226343347
41,2839.467320616502
42,2880.7383119087626
43,2739.3941258965997
44,2877.8429355962608
45,2797.206962310596
46,2746.791190232103
47,2856.213164969915
48,2818.258564457469
49,2880.770592261675
