,1_times_lag9,2_times_lag9,3_times_lag9,4_times_lag9,5_times_lag9,6_times_lag9,7_times_lag9,8_times_lag9,9_times_lag9,10_times_lag9,11_times_lag9,12_times_lag9,13_times_lag9,14_times_lag9,15_times_lag9,16_times_lag9,17_times_lag9,18_times_lag9,19_times_lag9,20_times_lag9,test_percentage
0,35.33027,34.47905,33.432255,33.40965,36.18253,33.28295,35.09495,33.91956,32.658722,34.87477,34.132877,34.900547,34.190487,35.54599,35.149864,33.61481,33.650894,33.151714,33.166183,34.625816,-37.809999999999945
1,-37.313313,-35.687107,-36.772297,-37.00431,-37.8383,-37.321213,-37.93835,-35.49411,-38.064526,-36.73942,-37.786533,-37.892193,-36.97073,-37.90454,-38.69774,-37.631237,-34.2168,-40.326176,-38.25917,-39.12157,5.799999999999727
2,5.3951383,5.6882772,5.9560246,5.4352283,6.372427,6.239927,5.3098397,5.3012953,6.2819014,5.4500804,5.918288,5.7165346,5.31372,5.8129826,6.079515,5.33021,4.87751,5.605901,5.551329,6.0320377,3.630000000000109
3,3.4125383,3.5016832,3.4263797,3.4112227,3.4641252,3.1351676,3.581883,3.5982976,3.5942776,3.8067002,3.654771,3.506922,4.284862,3.8689325,3.9262836,3.3731868,3.7763045,2.9676893,4.0941443,3.3221343,22.43000000000029
4,23.825731,21.504253,21.115303,22.091188,23.427248,21.65807,22.199656,21.36858,22.107603,22.900812,21.4375,22.442122,23.173304,23.370695,21.906084,22.169882,22.578705,21.538305,21.577198,21.413353,-20.91000000000031
5,-20.763283,-20.4655,-20.311777,-21.454233,-19.83308,-19.86243,-20.691303,-19.430058,-19.725,-20.383121,-20.86417,-19.736422,-20.10745,-21.282171,-21.982565,-20.98548,-19.758823,-22.201853,-20.222197,-21.764881,-3.849999999999909
6,-3.1818712,-3.5184665,-4.2284493,-3.4633605,-3.3506331,-4.4748664,-4.1897063,-3.7645988,-4.500778,-3.71419,-4.1461654,-3.429128,-3.7390773,-3.7546859,-4.288995,-4.4057703,-3.5262864,-2.9745975,-3.7537222,-3.7365768,41.05000000000018
7,42.092896,40.98013,39.384674,39.570015,42.691364,39.22126,41.641064,39.875004,39.173386,41.60241,39.539597,41.515797,40.19174,42.18343,40.977463,40.46606,39.565277,39.763565,38.938534,40.4719,23.049999999999727
8,23.73592,23.301554,22.28387,22.60795,24.229263,21.814318,23.001184,21.708447,21.480862,23.529642,22.51307,22.253641,23.274256,23.478693,22.555937,22.654531,22.619576,22.145006,22.281477,23.086231,2.430000000000291
9,2.8526847,2.273363,1.5972089,2.007117,3.010977,2.7449834,1.9313953,2.5220673,2.895001,2.546513,2.4773393,2.5395014,2.7766922,2.8328757,3.2209225,2.0592713,1.7515345,2.3297386,1.7620609,2.6838043,18.33999999999969
