,1_times_lag5,2_times_lag5,3_times_lag5,4_times_lag5,5_times_lag5,6_times_lag5,7_times_lag5,8_times_lag5,9_times_lag5,10_times_lag5,11_times_lag5,12_times_lag5,13_times_lag5,14_times_lag5,15_times_lag5,16_times_lag5,17_times_lag5,18_times_lag5,19_times_lag5,20_times_lag5,test_value
0,2699.37432762146,2696.520447692871,2699.362635574341,2697.2156743621827,2693.8956231689453,2701.119523010254,2700.0961331939698,2693.9192895507813,2698.864972076416,2701.1823377227784,2698.9687184906006,2694.7563466644287,2698.2895192718506,2701.222716293335,2697.645842514038,2701.3792180633545,2701.9816159820557,2704.4821252441407,2703.2265214538575,2699.336756668091,2632.9
1,2720.8948959350587,2711.7130340576173,2712.049337768555,2719.60573425293,2719.977560424805,2719.5864852905274,2708.355017089844,2728.71755065918,2717.0462326049806,2718.9571365356446,2717.144956970215,2721.4454330444337,2722.53102722168,2720.1249450683595,2712.6190017700196,2715.463018798828,2719.2874588012696,2720.667951965332,2718.812956237793,2717.1735443115235,2638.7
2,2601.330661010742,2604.675414276123,2601.9245903015135,2600.111827087402,2602.2205879211424,2602.4734298706053,2598.6982757568358,2598.353667449951,2599.416857910156,2597.6060745239256,2599.145575714111,2595.212470245361,2600.971560668945,2597.153010559082,2598.7990447998045,2603.556132507324,2605.1550704956053,2599.9671546936033,2594.139571380615,2601.498656463623,2642.33
3,2565.418996887207,2569.2953396606445,2567.043264465332,2569.3400784301757,2572.2873516845702,2569.391340332031,2566.360220031738,2567.448339538574,2570.44368560791,2571.6426831054687,2566.8137112426757,2567.013784484863,2568.552183227539,2568.2730084228515,2563.8688412475585,2564.890218811035,2568.90022857666,2564.988172607422,2569.1909085083007,2561.847303466797,2664.76
4,2698.33861328125,2696.539094696045,2699.481748352051,2696.486097106934,2702.346883544922,2699.038919219971,2699.338983306885,2698.310205230713,2699.2443635559084,2699.3290383911135,2699.6309945678713,2699.9706513977053,2699.716378936768,2697.489835510254,2699.488256225586,2697.822393188477,2698.3486840820315,2697.6152742004397,2701.233430633545,2701.433881530762,2643.85
5,2668.3157039642333,2668.806132888794,2665.9791484832763,2665.31244430542,2667.7235122680663,2665.3784481048583,2667.045598602295,2670.06928024292,2667.495700454712,2669.122314071655,2667.9657779693603,2665.4101978302,2671.440419769287,2667.6774631500243,2670.164348220825,2666.797576522827,2665.9120136260985,2667.4497142791747,2665.8810287475585,2666.7295738220214,2640.0
6,2630.2771883010864,2630.7174072265625,2630.95094871521,2630.407787322998,2628.4611654281616,2627.4594945907593,2629.2064867019653,2630.3809146881104,2625.788164138794,2627.9332122802734,2627.7652196884155,2627.370973587036,2629.708924293518,2627.7004556655884,2627.5240573883057,2627.401620864868,2629.240996360779,2630.5902242660522,2628.198892593384,2630.2432622909546,2681.05
7,2627.63695602417,2631.2363136291506,2630.4619987487795,2631.4169776916506,2629.1823432922365,2632.028137969971,2627.8832443237307,2626.952381896973,2632.884342956543,2631.1442878723146,2627.438984680176,2634.163178253174,2635.1143577575685,2630.8697250366213,2628.687504577637,2629.4268119812014,2633.345135498047,2632.6807182312014,2636.638752746582,2627.665345001221,2704.1
8,2733.309337234497,2732.6141525268554,2732.6655822753905,2732.543702697754,2737.965333557129,2732.9595733642577,2737.0024543762206,2734.6222187042235,2737.4597450256347,2730.9277626037597,2734.966626739502,2733.5722061157226,2733.8646484375,2730.279410934448,2733.6953998565673,2738.1352783203124,2735.248962020874,2733.9277435302733,2733.188415145874,2737.2716842651366,2706.53
9,2784.7103665161135,2782.058259277344,2776.216431884766,2781.6243756103518,2780.064881591797,2780.7389309692385,2777.092110900879,2771.383614807129,2775.7983181762697,2775.493119506836,2779.554696350098,2777.773766784668,2776.886010437012,2773.749909667969,2779.5076000976565,2772.17469909668,2781.4677365112307,2775.3237164306643,2778.7335598754885,2772.2439968872072,2724.87
10,2752.3121081542968,2752.2442942810058,2752.5175982666015,2752.8510276031493,2753.7406588745116,2754.2837001037597,2751.2119456481933,2753.4346324157714,2750.4768058013915,2752.1818228912352,2750.3515292358397,2752.289786453247,2753.5903769683837,2753.5544482421874,2752.805962677002,2752.2649165344237,2755.0854636383056,2750.6972037506102,2751.7137576293944,2752.008956069946,2737.7
11,2734.835051488876,2736.993905854225,2737.825597476959,2732.1960598945616,2734.5458092212675,2732.60617275238,2738.5487944602964,2733.823079061508,2734.5558490276335,2738.1130816757677,2738.6361189603804,2736.32736082077,2737.2747193098066,2736.4149882316588,2735.586699438095,2733.6679770469664,2732.5378467559813,2736.088523697853,2735.745565843582,2736.077015352249,2731.61
12,2735.07466588974,2731.7206725335122,2732.20656560421,2730.481542930603,2731.4960426545144,2730.232151374817,2734.2522135829927,2731.0716436958314,2732.899222240448,2734.1880086517335,2728.2858916378023,2733.9226640319825,2733.652593955994,2731.5501319622995,2734.3922885513307,2734.0196622467042,2736.7693580245973,2731.728588626385,2734.3076790428163,2735.5980690574647,2706.05
13,2717.7579544067385,2710.3337619781496,2719.911861228943,2718.578775215149,2718.012721824646,2721.4628217697145,2716.5496023178102,2712.808586883545,2721.320651817322,2716.0007503509523,2720.128778266907,2717.80372505188,2721.415213394165,2715.618693161011,2718.6601770401003,2716.957635688782,2716.738349723816,2718.6305826187136,2715.107233810425,2718.8414714813234,2707.88
14,2712.4810808944703,2713.2779229927064,2713.222730998993,2715.4048861312867,2714.3673323440553,2715.0334266471864,2712.649929409027,2714.388234500885,2712.737849121094,2713.972891216278,2713.4284952926637,2712.6962169456483,2713.6519793319703,2713.7777971076966,2714.612177734375,2713.8733819770814,2713.497389202118,2712.8922079849244,2716.006522064209,2711.820087080002,2709.8
15,2702.100973415375,2699.4513080596926,2701.298248100281,2701.0698278427126,2701.1497791290285,2700.0312440872194,2701.640991973877,2700.0123603820803,2699.925204086304,2700.9811075210573,2702.2203634262087,2700.2012813568117,2701.646021652222,2698.938426780701,2700.2074506759645,2702.9542825698854,2699.5413167953493,2701.0094593048098,2698.496300506592,2699.4929082870485,2744.73
16,2739.059315185547,2738.440376262665,2739.0729384231568,2741.1972334194184,2740.7382931518555,2737.954620819092,2740.231464366913,2739.845242958069,2740.474228363037,2738.086577396393,2741.0054151821137,2740.2273015785217,2739.8700327682495,2741.7391774463654,2738.3362846183777,2738.6303076553345,2738.1167449760437,2741.2984401988983,2740.6488594818115,2739.7110671806336,2753.03
17,2776.6826317596438,2774.212523727417,2779.7900173950197,2777.4774411010744,2780.1015370178225,2775.5946171569826,2774.3822624969484,2779.301137237549,2779.4761116790773,2776.8118393707277,2778.935996322632,2780.264506607056,2773.2990410614016,2778.942166595459,2778.879126815796,2775.923669128418,2775.6769917297365,2776.39411857605,2774.99212387085,2780.8807976531984,2745.73
18,2794.8794102478028,2808.8197216796875,2806.530064086914,2798.934807281494,2806.651661376953,2800.105400543213,2799.891724090576,2805.215794067383,2805.970146636963,2804.5878453063965,2803.5314907836914,2802.0160717773438,2804.672543029785,2803.411411743164,2801.730602722168,2807.626541595459,2801.37368057251,2807.041840057373,2800.669479827881,2799.8372158813477,2775.6
19,2765.245525932312,2767.062873458862,2764.1778255462646,2765.716456031799,2766.3044496536254,2763.102576828003,2765.531776046753,2764.280570602417,2765.2141691207885,2763.3975425720214,2765.494105911255,2764.8339420318603,2763.223438835144,2764.7195440292357,2764.9886823654174,2764.0166145324706,2764.8432947158813,2764.406586265564,2765.10502204895,2764.368980026245,2779.76
20,2793.4489905929568,2792.419559249878,2792.425435791016,2791.679100761414,2793.4513614273073,2792.888905296326,2792.92764831543,2794.0746142959597,2794.4707295989992,2791.4340093231203,2794.0138671493532,2787.16482378006,2790.7180478668215,2792.0528495407107,2791.970361480713,2794.8594920730593,2794.4451501464846,2795.9724691009524,2790.9558589553835,2792.1640594100954,2784.7
21,2819.9386627197264,2815.859255981445,2814.621031951904,2817.1653396606443,2816.1940948486326,2819.2658416748045,2819.732516479492,2816.329039764404,2817.394297790527,2816.146407318115,2818.9744102478026,2819.647757720947,2818.9117233276365,2820.481280517578,2817.2590744018553,2819.7149002075193,2817.0625717163084,2817.2486793518065,2817.0579635620115,2819.086074066162,2774.88
22,2764.393740539551,2777.6314176368714,2765.2643231201173,2768.5913180160524,2769.4795264053346,2767.5367792892457,2764.2707613754274,2770.7206524658204,2769.779338722229,2771.9956160831453,2768.0675019073487,2769.642432098389,2765.645100479126,2772.1517051506044,2770.1045445251466,2768.3922900009156,2768.3903778839112,2767.8547829437257,2768.823919181824,2769.396827583313,2792.67
23,2779.7029627990723,2783.411584777832,2781.917950553894,2780.5878075790406,2781.756230278015,2782.2064179611207,2781.8812588882447,2782.1784896087647,2782.153281135559,2780.5587062072755,2783.7543505859376,2782.9848021698,2782.8457907867432,2780.757802886963,2782.3850039672852,2780.9399909210206,2782.1896838378907,2780.465783996582,2781.292847557068,2782.8138121795655,2796.11
24,2813.618014678955,2813.3946717834474,2812.3227532958986,2810.696663246155,2813.922288284302,2813.664738998413,2812.016554222107,2812.5891946411134,2813.982446060181,2814.0210164642335,2810.1819051361085,2812.4321454620363,2812.3672174072267,2811.0444806671144,2813.5215161895753,2813.1723893737794,2813.410630569458,2813.0862020111085,2813.418969497681,2812.7127336120607,2793.9
25,2832.4007057189942,2830.9069847106935,2831.0043548583985,2827.4422248840333,2832.194906616211,2834.721445465088,2833.7694648742677,2831.425344848633,2834.2346900939942,2830.048998260498,2830.12966003418,2834.890863800049,2832.6287330627442,2831.523348236084,2829.602724456787,2833.353296661377,2831.679426574707,2832.9762367248536,2833.3140968322755,2832.0804695129395,2792.38
26,2855.673395996094,2853.503359680176,2848.011591796875,2852.931944732666,2851.152388458252,2851.2951992797853,2853.3387173461915,2855.50463760376,2849.522993927002,2859.431040649414,2853.4264515686036,2847.8255909729005,2853.652529602051,2858.3529461669923,2854.8639630126954,2855.7881649780275,2855.1881092834474,2851.192126159668,2853.602038269043,2856.1841648864747,2784.49
27,2783.7912686967848,2785.9142389202116,2783.740413715839,2783.6070029640196,2786.466576924324,2782.710418810844,2784.5301585400102,2783.878199627399,2787.660530080795,2783.932617833614,2783.2054468297956,2786.217441906929,2784.2169596755502,2786.000099649429,2780.1485674285886,2781.8800806903837,2782.574027767181,2781.125088443756,2784.874977906942,2786.0644833946226,2803.69
28,2797.295471611023,2793.681520881653,2794.8932318115235,2794.8335947418213,2794.662064971924,2793.6220125579835,2793.5158724212647,2796.0019621276856,2795.4071001434327,2794.1721310043336,2795.745510520935,2793.106932106018,2794.6858782196045,2794.823522987366,2792.613198699951,2790.7744316482544,2793.9561590576172,2792.674055519104,2792.7578958892823,2795.4334997558594,2792.81
29,2814.066736755371,2809.7648473358154,2812.105398712158,2812.8337312316894,2816.2005868530273,2812.5366788482665,2813.583536682129,2811.591349182129,2813.9264169311523,2813.9805951690673,2813.7184911346435,2812.2767472839355,2811.063963470459,2810.55129486084,2814.383293685913,2813.807562408447,2814.9513745880126,2814.256008682251,2809.806706008911,2809.067953643799,2789.65
30,2792.9882437229157,2791.6562403678895,2791.4360711812974,2791.9659806728364,2791.1357280254365,2792.7249583244325,2792.9669560432435,2793.6412395477296,2792.07475104332,2792.213320159912,2793.1927165031434,2791.043112421036,2791.3183876514436,2793.6048013210298,2792.8981341362,2792.7585348129273,2791.7111386299134,2793.8011454582215,2791.7586165905,2791.485834145546,2771.45
31,2763.4468957901,2765.4995958328245,2763.232619476318,2764.339863014221,2763.8371555328367,2764.7808548927305,2764.0905735015867,2764.5556313514708,2764.3381864547728,2763.1718446731566,2763.2526342391966,2764.049375247955,2764.180568408966,2763.873225402832,2762.966273498535,2762.970303726196,2766.1017400741575,2764.818801116943,2763.8294846534727,2764.340791416168,2748.93
32,2738.024738960266,2738.8889567184447,2738.7916771697996,2739.9756047058104,2738.218809776306,2738.84908454895,2738.532572441101,2739.3985325622557,2739.7521654891966,2738.5261236953734,2738.6932884979246,2736.968384437561,2739.071611099243,2737.9811846542357,2737.790107421875,2737.6783224868773,2739.769907646179,2741.0449892807005,2737.003197364807,2737.9840237426756,2743.07
33,2744.5061398220064,2749.80654794693,2751.539475746155,2745.2931092453005,2746.48361451149,2744.3682740402223,2737.9103630256654,2746.821117706299,2750.0754292678835,2747.6980546188356,2749.277524776459,2745.6637526226045,2747.5421479415895,2746.010343618393,2750.7323058319093,2745.6378963661195,2748.6860578727724,2748.3079875183107,2747.2569697570802,2742.2003279399873,2783.3
34,2764.725086975098,2767.00121383667,2762.6247146606447,2763.3655364990236,2767.844418334961,2765.6019218444826,2760.3591907501223,2764.2965133666994,2765.053782272339,2759.3115413665773,2757.2081325531008,2762.948101806641,2760.132479476929,2764.8591678619387,2757.0349491119387,2765.8352478027346,2760.502320098877,2762.7615478515627,2761.584788131714,2762.355768966675,2791.52
35,2813.5502753448486,2806.4978575897217,2812.6184859466553,2811.927123565674,2808.7152934265137,2813.4532160949707,2802.516536254883,2811.2592330169678,2808.2034506988525,2806.622343559265,2806.7852883529663,2803.6469311904907,2807.417583961487,2806.87205078125,2813.361543197632,2809.5487132263183,2811.3202796173096,2804.2289700698852,2810.647986907959,2806.9509730529785,2810.92
36,2827.8413371276856,2831.0839575958253,2830.9694956970216,2821.9442490768433,2827.232240600586,2832.7572230529786,2834.992582244873,2835.9116458129884,2831.1211032104493,2832.887601776123,2832.382715148926,2834.876995010376,2835.752498550415,2834.296762390137,2827.8336142730714,2824.1547984313966,2827.861064834595,2830.394641799927,2829.7731665802003,2831.362361831665,2808.48
37,2810.3478209781647,2813.1105375099182,2810.555523853302,2811.41296957016,2812.706366996765,2806.907955389023,2813.3208665657044,2810.9402732658386,2809.2234439063072,2811.5419144439697,2809.69164727211,2812.174241285324,2808.820328872204,2810.2646661806107,2808.1756115961075,2810.179264764786,2810.9788362789154,2809.3270061421395,2810.5093157100678,2810.085823159218,2822.48
38,2833.704539756775,2834.149985771179,2832.0492462921143,2827.999248485565,2837.5691637802124,2838.329485397339,2833.4177641677857,2831.80483291626,2834.7557444381714,2837.268845062256,2834.2480053710938,2832.9990391540528,2834.8894104766846,2835.777658920288,2831.539292793274,2832.447544555664,2836.1786265182495,2833.80936668396,2837.4877619552612,2833.5382571029663,2832.94
39,2845.947803916931,2845.3020882034302,2841.410169067383,2843.0222973251343,2844.819532814026,2845.72133392334,2845.339179458618,2844.3186754608155,2844.367803039551,2840.901754322052,2842.6025804901124,2844.4268335723877,2844.492293777466,2844.736118736267,2846.420354309082,2842.305358352661,2844.002327384949,2846.4458975219727,2845.897567214966,2843.190210762024,2832.57
