,1_times_lag5,2_times_lag5,3_times_lag5,4_times_lag5,5_times_lag5,6_times_lag5,7_times_lag5,8_times_lag5,9_times_lag5,10_times_lag5,11_times_lag5,12_times_lag5,13_times_lag5,14_times_lag5,15_times_lag5,16_times_lag5,17_times_lag5,18_times_lag5,19_times_lag5,20_times_lag5,test_value
0,2705.580388031006,2705.4680451965332,2704.5822381591797,2705.0752000427246,2705.777054748535,2705.6391191101075,2704.733941040039,2704.3237161254883,2704.9729890441895,2705.255738220215,2705.6740769958496,2705.3808068847657,2705.374920806885,2705.263451538086,2704.5201501464844,2704.0470056152344,2705.8893174743653,2704.928288421631,2705.3348207092286,2705.6414613342286,2632.9
1,2596.8003944396974,2595.715315246582,2595.4499839782716,2596.7691444396974,2595.775274658203,2594.6597846984864,2595.30869140625,2595.440294647217,2593.886511230469,2593.9240631103517,2594.8862442016602,2595.926622772217,2593.985548400879,2595.2548583984376,2596.2215103149415,2596.324156188965,2595.790148162842,2594.3696311950685,2595.487642669678,2594.7372039794923,2638.7
2,2645.0194613456724,2644.824190330505,2644.518881988525,2645.193984222412,2643.674101066589,2643.890638542175,2644.1775414466856,2644.4322335243223,2644.0309144973753,2644.793864917755,2643.9682275772093,2643.7384502410887,2644.3715912818907,2644.7460028648375,2644.5740282058714,2643.852935028076,2644.6809589385985,2644.727853012085,2644.4945690155027,2644.3030831336973,2642.33
3,2645.8818152713775,2645.766641216278,2645.585486011505,2645.4816518592834,2646.521333770752,2647.1657949256896,2646.0176740455627,2646.354142742157,2645.278645353317,2645.635362224579,2645.468749361038,2646.706718521118,2645.8679083156585,2646.1573763656615,2645.927606897354,2645.538605289459,2645.9075394439697,2645.479773836136,2646.349340991974,2646.208994703293,2664.76
4,2687.1366288757326,2686.9150960540774,2686.8502824401858,2686.8637120819094,2686.285932312012,2687.7385823822024,2686.512904891968,2686.338037261963,2687.1410234069826,2686.7320001220705,2687.6664445495608,2687.178235778809,2687.3526685333254,2686.042283782959,2686.6845910644533,2686.3460233306887,2686.9775750732424,2686.8098180389406,2686.160938034058,2687.9967477416994,2643.85
5,2624.701303100586,2623.264487838745,2623.48556098938,2623.376834487915,2623.4900661468505,2622.2184310913085,2622.7884746551513,2623.391809082031,2622.847983932495,2623.2179466247558,2623.354623413086,2623.140142059326,2622.808646774292,2622.032289123535,2623.672727203369,2622.8623119354247,2623.4271102905273,2622.728053665161,2622.6949783325194,2622.158280944824,2640.0
6,2636.385091304779,2636.130179166794,2636.5880448818207,2636.8358924388885,2636.1650121212006,2636.402637243271,2636.1469402313232,2636.2868990898132,2635.9749307632446,2635.9896473884583,2636.2886307239532,2636.189994573593,2636.156192302704,2636.193443775177,2635.8055295944214,2636.154721260071,2636.5719697475433,2636.255531311035,2636.437623977661,2636.3375952243805,2681.05
7,2722.190079498291,2722.3236282348635,2721.2207153320314,2721.9736907958986,2722.2151763916017,2722.565422821045,2721.471409606934,2721.11852722168,2721.066956329346,2721.7481735229494,2722.2661293029787,2722.346653747559,2721.8729598999025,2721.607285308838,2720.873181152344,2720.0447013854982,2722.3773658752443,2721.5701263427736,2722.0271308898928,2722.557709503174,2704.1
8,2726.859376525879,2726.4871631622314,2726.666431045532,2726.2833515167235,2727.2401710510253,2728.2600914001464,2726.4271446228026,2726.2287212371825,2727.4238010406493,2726.6913410186767,2727.847152328491,2727.62064704895,2727.3747058868407,2726.217706298828,2726.466470336914,2726.487855529785,2727.0944190979003,2726.4886737823485,2726.2579914093017,2727.9310356140136,2706.53
9,2709.118406801224,2708.9933984565737,2708.662158994675,2708.7066839027407,2708.9159877586367,2708.595658092499,2708.690969734192,2708.5471372890474,2709.322186498642,2709.0484764862063,2708.8578579711916,2708.5450997638704,2708.9441399860384,2708.8288719940188,2708.852583436966,2709.180995731354,2709.093392162323,2708.747537403107,2708.8971798706057,2708.3919685173037,2724.87
10,2743.646584625244,2743.1744147491454,2742.821093673706,2743.1401091766356,2743.3031398010253,2743.2891589355468,2742.607319946289,2742.764676208496,2742.839799041748,2743.2565184783934,2742.8989974212645,2742.7923594665526,2743.1304026794433,2743.5400592041015,2743.1147700500487,2742.3764392089843,2743.609938735962,2742.921893234253,2743.395960922241,2742.9905081939696,2737.7
11,2750.704557609558,2749.775277328491,2750.5015394210814,2750.008874130249,2750.7194616317747,2752.07421131134,2749.802879524231,2750.3208572387693,2750.5347063064573,2750.3278533935545,2750.3797475814818,2750.899954986572,2750.6717054367064,2750.3695346832274,2750.6764356613157,2749.9509880065916,2750.537357521057,2749.953792762756,2750.335317802429,2750.8355609893797,2731.61
12,2725.467283115387,2725.615370140076,2725.549986228943,2725.9494622802736,2725.808762893677,2725.884325847626,2725.656482563019,2725.51965795517,2725.2599781608583,2724.8479121780397,2725.2205089187623,2725.716558799744,2724.9115122413637,2726.0337756729127,2725.8026069259645,2726.0363458251954,2725.569963321686,2725.21964345932,2725.6913446044923,2725.5307129478456,2706.05
