,1_times_lag7,2_times_lag7,3_times_lag7,4_times_lag7,5_times_lag7,6_times_lag7,7_times_lag7,8_times_lag7,9_times_lag7,10_times_lag7,11_times_lag7,12_times_lag7,13_times_lag7,14_times_lag7,15_times_lag7,16_times_lag7,17_times_lag7,18_times_lag7,19_times_lag7,20_times_lag7,test_value
0,2676.4019927597046,2681.7533139801026,2678.945866546631,2669.1238069152832,2679.6963119125367,2680.2726907348633,2685.0382232284546,2675.524287662506,2685.1871280288697,2669.60284157753,2688.647889099121,2674.80778547287,2680.6597241973877,2677.8217129325867,2679.1397523498536,2683.106463394165,2679.1171016311646,2678.0350646591187,2679.6427144622803,2668.312735757828,2632.9
1,2699.946081542969,2698.7534927368165,2698.562712097168,2683.6370643615724,2688.0378173828126,2698.22869720459,2698.8543380737306,2691.7917770385743,2696.585146331787,2688.1397232055665,2695.1580795288087,2704.5527099609376,2683.7464241027833,2683.9746269226075,2685.1248344421388,2699.3377365112306,2707.2188095092774,2690.5466484069825,2700.919027709961,2688.6634315490724,2638.7
2,2627.2071487426756,2612.4155456542967,2613.7779132843016,2620.829991531372,2625.9075643539427,2614.091143798828,2622.806023788452,2621.757029724121,2613.5290500640867,2622.6241523742674,2616.210402679443,2621.5234138488768,2618.438000869751,2615.5882675170897,2617.855235290527,2619.2816497802733,2622.024596405029,2626.2793361663817,2618.619328689575,2621.0090572357176,2642.33
3,2584.254388885498,2585.3510037231445,2575.983533935547,2580.696672515869,2583.8649197387695,2586.5369854736327,2588.4141064453124,2578.825548248291,2580.5793629455566,2587.3688946533202,2589.387716369629,2580.0166607666015,2577.5854550170898,2582.9539624023437,2580.8234310913085,2591.2858792114257,2590.2513981628417,2575.9113217163085,2586.401647644043,2583.9323292541503,2664.76
4,2690.9628751373293,2694.6643312072756,2702.62873626709,2694.816444168091,2696.5788667297365,2700.5532319641115,2708.0611322021487,2694.72470451355,2693.101009140015,2699.695718536377,2701.2231500244143,2696.1056497192385,2700.1901643371584,2697.82351852417,2702.6685960388186,2696.0429303741457,2699.348417053223,2695.7220056152346,2696.2846162414553,2697.4488427734377,2643.85
5,2655.9748512268065,2659.0836587905883,2655.45809135437,2655.3839250564574,2655.9031492233275,2659.018928146362,2660.8050285339355,2655.6924625396728,2656.173088645935,2655.9690185546874,2658.1190334320067,2657.670958137512,2659.086184120178,2657.365933036804,2659.5808588027953,2654.745047187805,2657.6623989105224,2657.4604459762572,2656.332997894287,2657.201903915405,2640.0
6,2624.6819925308228,2624.9351568222046,2625.398899078369,2623.392589569092,2625.9251565933228,2623.9601402282715,2627.0673446655273,2624.2787504196167,2625.1068773269653,2623.736639022827,2626.939368247986,2624.7584075927734,2621.5455074310303,2623.6715545654297,2628.668743133545,2626.7347955703735,2623.625024795532,2620.4334411621094,2626.9208641052246,2621.127405166626,2681.05
7,2622.8557556152346,2625.2068298339846,2619.4201629638674,2630.718670654297,2622.133850860596,2620.3581855773928,2619.145138549805,2621.788410949707,2625.6059234619142,2613.1715133666994,2625.919255065918,2617.2195671081545,2621.554547119141,2617.235703277588,2626.991650390625,2626.652462768555,2617.600838470459,2617.1862228393557,2619.8790023803713,2617.983574676514,2704.1
8,2712.3301273345946,2714.8333459854125,2716.629836654663,2711.893758392334,2714.152095413208,2718.461846923828,2716.79296836853,2715.8270679473876,2717.410435295105,2712.5226150512694,2716.288949584961,2714.9088912963866,2715.0333572387694,2710.7600499153136,2716.924390411377,2716.7810216903686,2716.395823097229,2714.739353752136,2719.9880805969237,2719.093450164795,2706.53
9,2748.6924565124514,2745.8893635559084,2753.4454014587404,2751.5128262329104,2747.053044586182,2745.6943218994143,2738.3810990142824,2745.8795407104494,2752.8428738403322,2753.2113583374025,2747.3323757934572,2746.4551251220705,2746.143079071045,2753.518075256348,2750.5671589660647,2742.7205174255373,2744.770688323975,2747.053906707764,2748.902955322266,2739.08277633667,2724.87
