,1_times_lag9,2_times_lag9,3_times_lag9,4_times_lag9,5_times_lag9,6_times_lag9,7_times_lag9,8_times_lag9,9_times_lag9,10_times_lag9,11_times_lag9,12_times_lag9,13_times_lag9,14_times_lag9,15_times_lag9,16_times_lag9,17_times_lag9,18_times_lag9,19_times_lag9,20_times_lag9,test_percentage
0,28.795755,33.996315,24.85048,26.18801,32.06713,36.547787,39.500378,40.57222,33.24272,30.763468,28.822468,39.80044,34.33701,33.728237,31.68114,29.23452,30.878542,35.60947,28.625504,33.34246,0.0771999999997206
1,8.044094,8.211676,7.029211,11.225079,9.172453,8.223524,9.085789,10.88301,6.5512238,8.957628,6.0847692,7.233635,6.4689755,6.2751875,9.986575,7.2597885,9.092892,8.067612,8.0194645,8.509376,-10.785099999999602
2,2.9252622,0.7092123,1.446589,1.7891052,2.5660274,6.2297792,1.5108478,0.7414682,3.461169,3.8774638,4.690197,2.5645185,1.3522077,3.4620886,2.4110026,3.2197287,1.6740298,2.460093,3.911137,2.3400104,36.36859999999979
3,-2.4334612,0.027041912,-0.4939468,-2.62187,-1.0613807,-1.0029993,-2.724104,-2.2598147,-1.252843,0.56253767,-0.32143092,-3.1184406,-0.23372388,-0.5504246,-1.5983438,-1.7791498,-1.8897231,-2.7055957,-2.134547,-0.43166852,14.503799999999956
4,-4.616231,-5.706784,-6.5319853,-4.418785,-5.170266,-3.4056687,-4.817624,-4.472381,-4.504944,-2.7464986,-4.318067,-5.670417,-6.4988093,-4.4713144,-7.755522,-6.846059,-4.3517895,-5.8922744,-4.5956697,-5.214777,-30.80529999999999
5,0.110533714,-1.979348,-2.9551375,2.9837296,0.9047477,1.0850439,-1.3935002,0.877408,-5.052082,-4.687954,-2.4851284,-0.8989036,-3.7171545,-1.5835781,-2.767348,-2.3865771,-3.1988246,-1.2053633,-1.6914964,0.16568208,1.300000000000182
6,9.671453,8.0506935,5.0517154,4.836689,8.719427,7.536128,8.715653,6.048135,5.4326715,3.8240967,6.256875,8.187749,6.663831,8.173176,6.269209,10.248301,6.9687934,7.2340474,9.827438,6.517806,10.68939999999975
7,-4.1091886,-5.4552546,-3.7179315,-5.074746,-1.8331856,-1.598939,-6.234482,-2.7337732,-8.414584,-2.8527005,-5.0780315,-1.9721361,-6.7062016,-3.7638845,-4.47608,-4.062913,-5.6767583,-3.2378423,-4.4733686,-1.7104104,10.029899999999998
8,13.827881,9.857232,13.321462,9.931484,11.385969,11.323824,14.017941,11.1242285,11.246792,14.084031,7.9993687,11.333009,11.101849,14.693916,14.087037,10.2134695,18.48689,11.689423,10.146234,13.809761,-4.7466999999996915
9,-0.0075860023,1.3802018,0.13398826,-2.638876,-2.732744,0.36647904,-1.1820366,1.1902777,-0.2409687,-2.1858191,-1.5515265,-0.82629395,-1.0635048,0.92262256,-1.796244,1.0050943,-2.3682318,1.1279813,-1.4905012,0.018223763,-2.7231000000001586
10,16.185724,15.739316,20.362286,18.706476,20.729664,17.247921,16.521353,16.435062,16.44468,17.772774,17.247707,13.869753,20.485415,20.630331,16.918543,16.01642,18.392096,13.739907,19.518574,20.902445,-18.677999999999884
11,16.764856,16.818869,19.005388,17.850458,14.192472,20.187109,17.141611,16.255026,16.482338,19.661806,15.163576,21.292143,16.056032,17.85196,20.09219,16.765812,14.939753,16.395002,17.21075,14.329558,8.996799999999894
12,1.089135,-0.3790443,0.8969759,4.621443,0.8170947,1.5529699,6.8881,-0.6945574,-1.55392,6.4566765,3.1060007,1.0792441,0.615873,-3.025102,2.4799545,0.77983284,2.0182476,8.942836,5.0325956,-2.5533352,33.65990000000011
13,-5.725013,-7.6139264,-12.069095,-12.377413,-0.5910957,-5.8261003,-6.8074093,-3.696299,-5.845025,-5.8255067,-7.4091024,-4.023471,-4.7186775,-4.400982,-7.4450903,-2.5075283,-16.690258,-4.866021,-2.048053,0.49609685,35.66369999999961
