,1_times_lag6,2_times_lag6,test_value
0,2583.8076418518067,2577.369295465851,2570.4221
1,2578.606824807739,2581.2377003952024,2559.637
2,2566.423997318268,2567.6928967590334,2596.0056
3,2596.199090445614,2598.9078822380066,2610.5094
4,2605.7980781692504,2608.359457840347,2579.7041
5,2585.6068013778686,2583.2604633441924,2581.0041
6,2587.969027196503,2588.5942274681092,2591.6935
7,2592.2063279328345,2590.346206861496,2601.7234
8,2618.0396155151366,2612.493024710083,2596.9767
9,2618.856245211792,2615.786911181641,2594.2536
10,2609.2485054718018,2607.506408570862,2575.5756
11,2587.5441583114625,2584.1601766067506,2584.5724
12,2587.581982042694,2590.906757738495,2618.2323
13,2622.1695861385347,2623.4481160209657,2653.8959999999997
14,2656.518716426849,2652.6084117612836,2671.8937
15,2666.7217715942384,2668.1687515937806,2721.0683
16,2729.649424305725,2730.7617900283813,2719.6999
17,2716.776963560486,2719.69633483758,2682.385
18,2679.502060184479,2678.96787358284,2754.3566
19,2763.0674068466187,2759.181578351593,2755.6459
20,2762.1423179992676,2761.3296186813354,2761.2189
21,2771.7894223083495,2771.118673597717,2751.8012
22,2757.687901583862,2753.4512896215438,2804.2262
23,2813.009604350281,2814.755096331787,2961.2834
24,2979.1789097198484,2974.9223455795286,2941.5163
25,2944.288860596466,2943.8639932048795,2953.8242
26,2935.353433932495,2942.309168185425,2940.9538
27,2950.9744661224363,2953.3610465896604,2994.005
28,3010.5682152557374,3011.77520072937,3027.5755
29,3052.682952392578,3054.4481863861083,3054.2466
30,3073.569676248169,3071.9161804595947,3102.0991
31,3123.6874979797362,3122.5114497009276,3106.4179
32,3111.8566469291686,3113.8208121398925,2969.8614
33,2972.316036096954,2979.997178427124,3026.9925
34,3046.0303322601317,3053.8603493499754,3060.3073
35,3088.096928982544,3087.453929333496,3026.9513
36,3056.7431548583986,3066.050649975586,2990.685
37,2996.2497296905517,2999.077762184143,3021.7512
38,3017.1321933662416,3014.8077323829652,3096.4176
39,3089.2739051223757,3088.563309514618,3090.975
40,3086.884204006195,3093.0891684055327,3090.6403
41,3101.584856236267,3100.961342060852,3101.455
42,3119.9004956054687,3122.0560818481445,3104.1487
43,3104.791200638962,3104.647557557774,3043.0313
44,3052.7586530960084,3056.1327852523805,2997.0954
45,3004.475695276642,3011.5393115524294,3022.7196
46,3043.279399194336,3045.8463356872558,2994.9434
47,3000.0401407226564,2998.222463463211,3090.758
48,3105.4748569564817,3110.706375701904,3170.361
49,3180.5062598571776,3178.8246669158934,3176.8227
