,1_times_lag9,2_times_lag9,3_times_lag9,4_times_lag9,5_times_lag9,6_times_lag9,7_times_lag9,8_times_lag9,9_times_lag9,10_times_lag9,11_times_lag9,12_times_lag9,13_times_lag9,14_times_lag9,15_times_lag9,16_times_lag9,17_times_lag9,18_times_lag9,19_times_lag9,20_times_lag9,test_value
0,2599.1406553863526,2604.3412150024415,2595.1953791259766,2596.532909262085,2602.4120310424805,2606.8926867126465,2609.8452776550293,2610.917119848633,2603.5876215576172,2601.1083677886963,2599.167367803955,2610.1453417419434,2604.6819094299317,2604.0731371520997,2602.0260408996583,2599.579419958496,2601.223441946411,2605.9543703674317,2598.970403540039,2603.6873606323243,2570.4221
1,2578.466194085693,2578.6337756439207,2577.4513110443113,2581.6471785827634,2579.5945529266355,2578.6456240936277,2579.5078887268064,2581.3051099105833,2576.9733237548826,2579.379728250122,2576.506869248962,2577.6557349487302,2576.8910755439756,2576.6972874923704,2580.4086751266477,2577.6818885131834,2579.514991693115,2578.4897116943357,2578.4415644927976,2578.9314755722044,2559.637
2,2562.5622622127535,2560.346212303162,2561.0835889930727,2561.426105176926,2562.203027402878,2565.8667792434694,2561.1478478069307,2560.378468191147,2563.0981690044405,2563.5144638175966,2564.327196990967,2562.201518451691,2560.989207660675,2563.0990885849,2562.048002635956,2562.8567287082674,2561.311029827118,2562.097093021393,2563.5481371040346,2561.977010404587,2596.0056
3,2593.57213881073,2596.032641912079,2595.5116532093048,2593.3837299591064,2594.9442192560196,2595.002600694275,2593.2814960723877,2593.7457852607727,2594.7527569776535,2596.5681376701355,2595.6841690784454,2592.887159371948,2595.7718761211395,2595.4551754241943,2594.407256150818,2594.2264502292633,2594.1158769374847,2593.3000042682647,2593.871053004837,2595.573931480026,2610.5094
4,2605.8931690353393,2604.802616228485,2603.977414717102,2606.090614904785,2605.3391338485717,2607.1037312644958,2605.691775907898,2606.03701888504,2606.0044561523437,2607.7629014152526,2606.191332926178,2604.8389831680297,2604.010590662384,2606.038085569763,2602.753878225708,2603.66334115448,2606.1576105255126,2604.6171256202697,2605.913730253601,2605.294623007202,2579.7041
5,2579.8146337142944,2577.7247520557403,2576.7489625087737,2582.6878296009063,2580.608847724533,2580.7891439071655,2578.3105997911453,2580.581508027649,2574.6520179382323,2575.0161460510253,2577.21897159729,2578.805196391678,2575.9869454971313,2578.1205218902587,2576.9367519489288,2577.317522870636,2576.505275355911,2578.4987367263793,2578.012603627777,2579.8697820774078,2581.0041
6,2590.6755534759523,2589.054793511963,2586.055815373993,2585.8407889953614,2589.7235271087648,2588.5402280441285,2589.7197534194947,2587.052234803772,2586.436771546936,2584.8281966796876,2587.260975038147,2589.1918489089967,2587.6679312339784,2589.1772758117677,2587.273308908081,2591.2524005523683,2587.9728933921815,2588.2381474128724,2590.8315383544923,2587.5219060531617,2591.6935
7,2587.5843114433287,2586.2382454452513,2587.975568490982,2586.618753868103,2589.860314446449,2590.0945610580443,2585.4590181884764,2588.9597267684935,2583.278915840149,2588.840799528122,2586.615468460083,2589.72136386013,2584.987298446655,2587.9296154556273,2587.217420059204,2587.630587059021,2586.0167417106627,2588.455657678604,2587.2201313552855,2589.9830896434783,2601.7234
8,2615.551280859375,2611.580632093811,2615.044861677551,2611.654884222412,2613.109369161987,2613.047223928833,2615.7413414749144,2612.847628477478,2612.9701918395995,2615.8074311050414,2609.7227686676024,2613.056408766174,2612.825248602295,2616.4173163208006,2615.8104370864867,2611.93686950531,2620.2102907928465,2613.4128226074217,2611.8696335586546,2615.533161047363,2596.9767
9,2596.9691139976503,2598.356901816559,2597.110688261223,2594.3378240386965,2594.2439560215,2597.3431790391924,2595.7946633617403,2598.166977695656,2596.7357312957765,2594.790880850983,2595.425173453522,2596.1504060546877,2595.9131951848985,2597.899322561455,2595.1804559747698,2597.98179428978,2594.6084682266237,2598.1046813051225,2595.48619883461,2596.9949237625124,2594.2536
10,2610.439324258423,2609.9929159866333,2614.6158856140137,2612.960076211548,2614.983263848877,2611.5015209899902,2610.7749527679443,2610.6886624084473,2610.698279260254,2612.026373742676,2611.5013073669434,2608.123352883911,2614.739014505005,2614.8839310394287,2611.1721428619385,2610.27002036438,2612.645695565796,2607.9935072647095,2613.7721737609863,2615.1560448394775,2575.5756
11,2592.340456338501,2592.394468637085,2594.580988259888,2593.4260581451417,2589.768072457886,2595.7627089935304,2592.7172110992433,2591.8306258636476,2592.0579379516603,2595.2374061065675,2590.7391761260988,2596.867742868042,2591.6316321807863,2593.4275592285157,2595.6677897888185,2592.341411920166,2590.5153525787355,2591.9706023651124,2592.786350579834,2589.9051583724977,2584.5724
12,2585.6615350507736,2584.1933557056427,2585.469375874901,2589.1938427948,2585.389494683647,2586.125369932556,2591.4605001472473,2583.87784257164,2583.018479969406,2591.0290764831543,2587.67840066185,2585.6516441368103,2585.188272979164,2581.5472980998993,2587.052354481125,2585.352232839966,2586.59064760437,2593.5152358078003,2589.6049956344605,2582.0190648101807,2618.2323
13,2612.5072872207643,2610.618373589325,2606.163205342102,2605.8548872039796,2617.6412043140413,2612.406199650574,2611.424890713501,2614.53600092392,2612.387274937439,2612.406793312836,2610.8231975601198,2614.208829121399,2613.513622479248,2613.831318096924,2610.787209706116,2615.7247716949464,2601.542041973877,2613.366278843689,2616.184246973801,2618.7283968494417,2653.8959999999997
14,2638.638610931396,2634.87430581665,2632.6004410705564,2641.188858123779,2636.9493790588376,2644.516464324951,2640.137612434387,2634.9500924072263,2640.7837429962156,2637.0590363464353,2643.3344460449216,2641.9100600204465,2634.846489044189,2643.4642926177976,2637.671852203369,2632.446680160522,2624.5983429870603,2634.002521606445,2647.4500232658384,2629.5548325500486,2671.8937
15,2635.488270159912,2643.975447055054,2648.924618121338,2635.9814952575684,2640.0567744934083,2641.7053836547852,2643.7784675323487,2642.070530291748,2645.779291506958,2637.724853869629,2641.8665450775147,2637.1981624328614,2635.626594897461,2645.7028259002686,2642.79665791626,2646.142973300171,2642.7594474517823,2645.5953620635987,2646.756706591797,2649.2367252075196,2721.0683
16,2738.9642522247314,2740.266036740112,2740.9443299682616,2739.663602581787,2741.1922643096923,2737.686401119995,2739.637780895996,2740.160705319214,2739.0702340515136,2737.6324136169433,2741.56622098999,2744.8106934936523,2738.783918133545,2740.1963040740966,2741.644357434082,2738.0930745513915,2738.9831654937743,2740.8411824615478,2737.48116277771,2740.8536755950927,2719.6999
17,2677.6666778015137,2675.184385626221,2688.857551901245,2678.303114263916,2671.5874465393067,2674.6977408813477,2681.6997588562012,2674.9561675476075,2676.17845758667,2668.7491057800294,2687.921518652344,2678.997377722168,2671.5642226623536,2671.060060827637,2677.133478491211,2672.275884954834,2683.2018760131837,2669.0808204101563,2676.724962561035,2666.948919622803,2682.385
18,2681.15923119545,2680.8756783103945,2678.456784257889,2682.348253259659,2685.2937562561037,2685.4874901866915,2687.7252605056765,2682.148097524643,2685.440390119553,2682.2714264488222,2680.917336831093,2684.452123413086,2687.9176428413393,2680.8662915325167,2680.9391375875475,2682.773516187668,2685.8817756271364,2683.4049916362765,2683.6339440441134,2682.2317860221865,2754.3566
19,2773.529764367676,2772.089168740845,2776.4415075317384,2776.912294580078,2775.1745626464844,2770.705124093628,2770.729501916504,2776.1073095336915,2770.5926000610352,2772.3446981445313,2775.462587548828,2774.1673070922852,2773.7347967163087,2771.6587354675294,2770.0739528671265,2771.471414758301,2777.0979845062257,2773.487663461304,2775.030159188843,2777.24926204834,2755.6459
20,2752.904694784546,2751.849396456146,2748.1857683547973,2750.5613419898987,2747.107745397949,2749.9471533187866,2748.395137060547,2749.7446644195556,2750.4204294570923,2751.1515762695312,2752.4423930534363,2744.8616201766968,2750.6990525611877,2752.871066797638,2745.79127525177,2754.044657457733,2749.3836681732178,2747.061279524231,2751.3329045661926,2746.8482344039917,2761.2189
21,2742.89500168457,2738.1748898376463,2745.2100880493163,2739.9912751068114,2735.72383812561,2740.5122387756346,2740.5121777404784,2742.761643682861,2742.1571381439207,2741.7091420043944,2739.1135571350096,2738.8915245880125,2739.7303669799803,2738.7024052490233,2746.247760092163,2742.65395859375,2739.311749731445,2734.7069657196043,2737.3893120635985,2739.914679800415,2751.8012
22,2758.1123939430236,2755.3113463794707,2756.4795666610717,2755.5871444618224,2756.6245623504637,2759.4306507980345,2755.9639044677733,2755.775379267883,2756.902156916809,2759.870307055664,2752.716360179138,2755.4938147937773,2752.3968683158873,2758.58737477417,2757.1770335113524,2752.9993279850005,2754.3992052947997,2753.532351342392,2755.761186925125,2754.929345456314,2804.2262
23,2817.1471995269776,2816.8783692276,2815.483125582886,2818.299785510254,2814.899124041748,2819.645841494751,2817.7259024536133,2819.222143069458,2813.2413414871216,2818.4009665405274,2814.4194163238526,2817.2315119659424,2818.204236880493,2819.3310860549927,2821.5885809814454,2817.7491568481446,2817.9372443115235,2820.187314883423,2817.5262593185425,2820.2582949554444,2961.2834
24,2981.309894979858,2983.142181814575,2982.9339622863768,2979.579048574829,2987.2001747497557,2975.752310217285,2976.863134802246,2980.9792065032957,2981.287439764404,2982.8735718139646,2980.245869100952,2981.116556585693,2983.2545513519285,2982.6664165863035,2980.492834509277,2978.336107672119,2979.608969152832,2979.5532135375975,2979.281212271118,2982.9673752197264,2941.5163
25,2907.2622869384763,2907.298759259033,2910.9708860290525,2910.7226407897947,2907.671134747314,2911.758558071899,2910.063018597412,2906.9583890808103,2913.140342510986,2910.1737974060056,2905.5856778991697,2912.779559887695,2908.9283903015134,2913.629958905029,2902.112640179443,2911.9879873168943,2908.577079571533,2912.133985317993,2908.7477682006834,2908.249873913574,2953.8242
26,2912.432457293701,2917.1248706237793,2921.5816996948242,2922.5438197509766,2922.62502321167,2929.597854937744,2925.413696612549,2915.6192744628906,2919.31154664917,2916.473511065674,2916.4995463745117,2911.8282245056153,2923.7836497680664,2910.734871234131,2919.0073817626953,2917.787964190674,2920.836567248535,2922.2100585357666,2913.226959552002,2915.9471515075684,2940.9538
27,2966.1040304077146,2968.3514707458494,2967.4731653106687,2970.6729619873045,2969.829089916992,2970.5168474090574,2965.52030352478,2962.8780248535154,2965.6791379821775,2962.8826005828855,2974.9015500915525,2953.4948089492796,2957.876136578369,2955.600128926086,2974.136436260986,2971.5789220703123,2973.177535809326,2967.0229184997556,2966.7153890502927,2971.922345913696,2994.005
28,3016.8924702453614,3026.620005493164,3024.6080101776124,3022.6135014343263,3036.317969207764,3005.9593380737306,3020.0271157073976,3023.4812897491456,3020.8943775939942,3017.1866539764405,3018.1246784973146,3012.900374298096,3015.0295876312257,3021.787300949097,3018.9647721099855,3019.600397949219,3019.7834938812257,3026.0436924743653,3016.440615539551,3009.065541152954,3027.5755
29,3079.8707575683593,3073.1025767211913,3078.184058654785,3076.2790903930663,3081.0364489440917,3078.2278361206054,3080.5550265197753,3079.799346435547,3082.1432375793456,3079.6448168640136,3072.3429140930175,3075.463538635254,3073.0531458740234,3069.4703440551757,3074.9834093933105,3075.9979014282226,3084.138244140625,3071.7343897705077,3083.6114115600585,3085.199923980713,3054.2466
30,3124.797396508789,3123.005602685547,3120.770655480957,3126.0859936157226,3116.799593774414,3122.5478466430664,3131.1509502807617,3128.1916073242187,3121.2993114868164,3125.5572384277343,3120.7475765625,3124.6371181884765,3129.577494470215,3135.5131786743164,3125.4198330322265,3123.916567651367,3127.177103845215,3125.3183163085937,3126.2164638916015,3124.7364147583007,3102.0991
31,3149.663827783203,3142.5189837280273,3149.2821291748046,3146.5083597961425,3154.2282122436523,3143.6945132080077,3149.517789727783,3150.1387347045898,3149.0741213623046,3152.5036600891112,3144.308519250488,3147.876214868164,3156.461580163574,3152.9938677612304,3149.0644511047362,3148.9910563293456,3149.2755106750487,3150.5897272888183,3148.998819238281,3144.7098444763183,3106.4179
32,3173.9913939575194,3157.313339147949,3166.4724959472655,3168.054992590332,3159.802982244873,3163.992050085449,3167.107196722412,3176.1326521972655,3175.0940016845702,3172.2730177978515,3156.244834814453,3162.4427527526855,3169.3676604370116,3171.543807897949,3159.3461760620116,3152.7713240722655,3163.4669493774413,3179.7398985961913,3157.7573050598144,3166.343971166992,2969.8614
33,3024.0159982360838,3038.4925569213865,3026.5230783142088,3033.891963354492,3045.845576635742,3045.49315201416,3030.6131929077146,3016.923274389648,3025.112391821289,3027.1219209350584,3033.296420446777,3037.6565202392576,3051.7318833984373,3039.124446264648,3050.618312231445,3034.53554855957,3040.367274633789,3049.9780534423826,3025.3155435241697,3048.3331178344724,3026.9925
34,3055.7573162841795,3060.4866177368162,3059.1678768920897,3054.110812835693,3064.2377735900877,3057.103831939697,3056.233352355957,3056.164899520874,3052.8439022827147,3058.2706467437743,3058.6579872894285,3057.2446152496336,3056.616708450317,3061.84943359375,3053.7059799957274,3060.6381031799315,3061.208865814209,3057.6324936676024,3063.5990292358397,3055.7104565429686,3060.3073
35,3151.866916088867,3151.94263782959,3147.264636425781,3148.963206677246,3153.73804798584,3146.2244981811523,3145.767520336914,3155.1810335205078,3145.601962475586,3158.919230847168,3155.6965364501953,3150.4779924438476,3149.163989453125,3158.5406755493163,3152.0563997314453,3145.3619493530273,3140.1838182495117,3146.5457338378906,3155.5042604492187,3152.099467663574,3026.9513
36,3080.3797248352053,3084.8752883422853,3072.898535107422,3083.9392264831545,3070.493707989502,3077.504450177002,3074.0132888305666,3084.2767013061525,3085.1199477661135,3077.1748260009767,3084.429064129639,3081.206854199219,3075.1713012207033,3080.748327587891,3081.9392302978517,3080.2601455200197,3081.043913220215,3068.206339215088,3077.1185973632814,3075.955892895508,2990.685
37,3003.5257192230224,3008.471136627197,3007.5264573669433,3001.999103126526,3006.6132960891723,3008.428968963623,3006.2448545074462,3008.945377883911,3005.12956577301,3015.693699417114,3011.4147286987304,3005.8933797454833,3016.144363937378,3010.807528076172,3004.596735534668,3005.2057901000976,3007.7318502044677,3002.4972539520263,3011.6038957214355,3003.5488639450073,3021.7512
38,3026.8669231330873,3028.7052786743166,3026.761978427124,3031.2638304626466,3031.630328456116,3030.751537600708,3039.0989230072023,3032.732835093689,3033.8349650299074,3032.39896802063,3025.732891360474,3034.204297343445,3026.012646475983,3030.345922747803,3030.6109021102907,3032.953842440796,3028.2123821174623,3033.9786160385133,3029.970971385193,3025.0524034893037,3096.4176
39,3014.42753347168,3004.643643701172,3011.3031285644533,3001.7217152954104,3012.743695581055,3023.836873376465,3022.77421315918,3019.1137669921877,3021.086842858887,3015.5690892578127,3022.2746251464846,3041.9075826049807,3021.970319116211,3016.6557668090823,3020.9752248168948,3021.4040501953127,3019.9370168090823,3031.569081628418,3014.1776402832033,3016.9223988891604,3090.975
40,3097.0939827919005,3085.5253458976745,3083.45214805603,3085.8192850112914,3095.2939854621886,3081.5619274139403,3093.925497865677,3091.8588785886764,3088.593043422699,3094.6175821781158,3089.533804512024,3095.569850540161,3087.2230635643004,3089.396595811844,3097.1442152023315,3091.728761410713,3082.2989669799804,3095.821029281616,3096.9940482139586,3080.862331008911,3090.6403
