,1_times_lag7,2_times_lag7,3_times_lag7,4_times_lag7,5_times_lag7,6_times_lag7,7_times_lag7,8_times_lag7,9_times_lag7,10_times_lag7,11_times_lag7,12_times_lag7,13_times_lag7,14_times_lag7,15_times_lag7,16_times_lag7,17_times_lag7,18_times_lag7,19_times_lag7,20_times_lag7,test_percentage
0,14.71651,12.34197,11.027808,7.1420054,13.330156,15.575731,8.563178,10.490911,13.627254,8.721815,11.603671,7.7840614,12.056203,6.735595,10.293073,14.878607,14.025829,9.8517065,10.437698,12.8854885,-37.809999999999945
1,16.690737,16.544048,18.686804,19.33317,19.526545,19.990145,18.241423,13.945118,18.470604,15.954856,16.569822,17.111164,11.935908,22.415949,15.92753,19.3726,12.663742,15.336071,17.655804,17.880424,5.799999999999727
2,-11.366858,-9.907261,-8.585314,-12.574408,-17.304214,-11.818241,-7.7309437,-13.329829,-12.127174,-12.510737,-13.630086,-13.685029,-8.040876,-11.73487,-11.656185,-12.822468,-15.162341,-13.30783,-6.3994446,-11.672313,3.630000000000109
3,-9.942084,-13.427674,-10.980286,-12.841734,-14.71593,-11.802976,-14.408674,-14.2732725,-13.685661,-12.815805,-14.941085,-8.282511,-12.865792,-9.936831,-8.459655,-14.00959,-7.6788983,-12.792458,-10.735979,-10.038355,22.43000000000029
4,23.201841,26.029675,26.883087,24.906347,22.862888,24.051373,26.310423,25.741875,25.359062,22.960028,28.64182,26.465359,24.472769,23.277327,22.271896,24.95274,25.271437,24.770601,25.14211,26.205044,-20.91000000000031
5,-10.701199,-10.169362,-11.875198,-10.996706,-13.076008,-11.519173,-9.7813225,-12.839473,-11.30515,-10.476189,-11.199604,-10.434011,-11.372525,-12.259466,-10.426298,-10.041658,-11.271735,-8.366735,-12.468315,-11.224771,-3.849999999999909
6,-0.85661757,0.7366289,0.18507764,-0.70110995,1.1205302,-0.21882156,-1.0027387,-0.75863826,0.017250799,0.018534817,0.35251158,-0.7117094,-0.9682589,-0.11277835,-2.0658538,0.73738,-0.774715,0.1389701,1.3956535,-0.6039387,41.05000000000018
7,11.459461,11.738276,12.752277,12.613527,12.391055,10.015934,13.042232,11.378659,13.343168,12.672706,12.014481,12.577756,12.753994,14.193088,12.33506,11.597892,13.804966,11.57064,14.199556,12.830779,23.049999999999727
8,-1.8778212,-1.8333446,-1.9264189,-2.6208591,-3.1664863,-1.9896606,-0.9489472,-1.714636,-2.6448743,-3.1347194,-3.0621114,-1.703528,-2.5350208,-1.531679,-2.357215,-1.9267316,-1.7901871,-1.2704327,-2.6657443,-1.661029,2.430000000000291
9,-11.19747,-11.394087,-12.339167,-11.627838,-10.744986,-9.918735,-10.155851,-11.970734,-10.933939,-11.404457,-12.558357,-10.728993,-12.573764,-12.143187,-15.2247095,-10.745756,-11.056056,-9.570182,-11.115648,-11.002967,18.33999999999969
