,1_times_lag9,2_times_lag9,3_times_lag9,4_times_lag9,5_times_lag9,6_times_lag9,7_times_lag9,8_times_lag9,9_times_lag9,10_times_lag9,11_times_lag9,12_times_lag9,13_times_lag9,14_times_lag9,15_times_lag9,16_times_lag9,17_times_lag9,18_times_lag9,19_times_lag9,20_times_lag9,test_percentage
0,73.85028,71.078636,73.6061,85.45011,67.00593,73.42968,72.149925,67.82591,71.86626,66.8987,77.56415,77.601425,72.66314,68.73525,75.9722,74.92968,74.43487,66.69991,80.85435,74.33963,-37.809999999999945
1,87.795845,87.43252,81.38671,81.90584,91.43603,83.06159,83.178535,85.06617,85.525314,84.24649,89.076485,79.50956,83.898155,80.831726,87.55301,87.63258,80.086174,91.51941,87.88738,80.26198,5.799999999999727
2,-31.87645,-31.431644,-28.682878,-32.50807,-32.88612,-31.195646,-31.970488,-30.409718,-33.38534,-31.584576,-31.876545,-33.175716,-29.92428,-30.140156,-29.354906,-33.401016,-30.264763,-34.706303,-33.798035,-28.556623,3.630000000000109
3,-15.07103,-17.341452,-18.049007,-19.26876,-19.700481,-12.627829,-17.213327,-16.59619,-20.86023,-16.326626,-16.582014,-17.427534,-18.400623,-16.408113,-17.351643,-17.977781,-20.967297,-18.460464,-19.258514,-17.91334,22.43000000000029
4,22.590485,19.870472,22.930702,23.54782,24.276918,22.0186,25.246527,26.042753,21.793972,19.167953,21.835548,22.004827,24.318455,24.083908,25.39019,17.534338,23.9784,27.702503,25.507637,23.715038,-20.91000000000031
5,-3.154811,-2.148962,-0.13899197,-4.1097174,-4.186206,-2.6761904,-2.5638006,-2.0914974,-2.3407564,-4.887297,-3.403353,-2.9231176,-4.2729564,-2.5891738,-1.0419718,-3.192963,-2.7946608,-4.2131133,-0.21563675,-2.0772505,-3.849999999999909
6,14.404981,15.419439,12.535504,16.394503,14.218283,14.891324,14.350672,17.411005,13.516934,14.744621,15.131927,14.248289,15.884312,13.199373,13.263445,13.129679,14.046163,16.625671,13.635456,11.526779,41.05000000000018
7,28.15908,25.14646,26.757309,24.204992,26.397568,25.530735,27.225157,26.143417,25.710209,23.751745,24.428686,26.638016,26.32336,26.700603,25.79917,26.198456,25.629766,27.133493,27.49899,28.715792,23.049999999999727
8,2.3067899,-1.820302,-3.659172,-0.35656518,-0.5145408,-2.3450832,-3.1273444,-3.5483398,-3.5700529,-3.959272,-3.7272754,-1.6706679,-0.8347409,-3.9403923,-2.9042068,-1.1645472,-0.60753244,-1.912029,-2.5302832,-1.456335,2.430000000000291
9,-20.903854,-16.696815,-18.748323,-16.28452,-19.0604,-15.958506,-19.620129,-18.437986,-18.090073,-18.766336,-17.164791,-19.576988,-20.095678,-17.833961,-17.466814,-18.063051,-16.922298,-17.561764,-16.039066,-16.840708,18.33999999999969
