,1_times_lag5,2_times_lag5,test_value
0,2679.1488217926026,2678.649235687256,2632.9
1,2644.058042907715,2642.221020126343,2638.7
2,2629.9867221832274,2631.8828126907347,2642.33
3,2629.140160636902,2628.7513666915893,2664.76
4,2679.945286521912,2679.115787277222,2643.85
5,2635.330189323425,2634.495584106445,2640.0
6,2639.662593483925,2638.962178349495,2681.05
7,2689.656770515442,2692.6085517883303,2704.1
8,2704.148004053533,2704.7479962468146,2706.53
9,2697.502113609314,2698.337752609253,2724.87
10,2729.890255088806,2730.022398586273,2737.7
11,2747.47287197113,2747.97961063385,2731.61
12,2743.7617848968507,2740.671863899231,2706.05
13,2718.4089391708376,2713.9989159584047,2707.88
14,2711.78811753273,2718.0233143615724,2709.8
15,2716.5051205635073,2717.6866286277773,2744.73
16,2748.531593065262,2745.8026820230484,2753.03
17,2747.1321337509157,2745.771897583008,2745.73
18,2732.886147003174,2737.724188308716,2775.6
19,2777.3718708515166,2776.51828584671,2779.76
20,2785.7874200439455,2783.564741382599,2784.7
21,2791.047589969635,2791.5126320838926,2774.88
22,2773.6803470897676,2776.884513025284,2792.67
23,2800.2853588294984,2800.354003829956,2796.11
24,2803.4749039268495,2804.7011226272584,2793.9
25,2791.8571545124055,2787.9874404907227,2792.38
26,2776.829348449707,2774.5491207885743,2784.49
27,2791.4280002021787,2787.2864780330656,2803.69
28,2807.54009431839,2807.183451833725,2792.81
29,2789.240593729019,2792.083863017559,2789.65
30,2789.079040968418,2790.5219472885133,2771.45
31,2771.833697748184,2773.368653130531,2748.93
32,2761.3248078155516,2759.330861740112,2743.07
33,2745.6698358726503,2745.1940992546083,2783.3
34,2791.191163825989,2789.846284198761,2791.52
35,2789.402692337036,2788.334558982849,2810.92
36,2811.3999077510834,2809.0586004686356,2808.48
37,2802.3979072380066,2801.0275063323975,2822.48
38,2817.7655010032654,2817.170311431885,2832.94
39,2840.239247264862,2842.1268314743043,2832.57
40,2839.055122680664,2836.143066711426,2824.23
41,2824.8221348929405,2826.6921076583862,2854.88
42,2859.830707912445,2857.665089969635,2800.71
43,2804.0093807792664,2805.080729446411,2798.36
44,2795.6449469184877,2796.6866561031343,2818.46
45,2826.519302330017,2825.2558331108094,2805.37
46,2811.763437862396,2811.3110457611083,2815.44
47,2814.489116253853,2815.8272896432877,2834.4
48,2828.335618400574,2826.8427576065064,2867.19
49,2855.0197300338746,2858.014644088745,2867.24
