,data_pre_value
0,27.07672348185578
1,20.835459387439865
2,68.33005172634958
3,-62.22694532092375
4,-2.994477088282224
5,-40.83483798439304
6,-2.413481712575237
7,51.86907588162849
8,-17.878204035481623
9,9.456365722595073
10,35.50308358751215
11,-1.1309426504003408
12,40.45941534512495
13,27.516438818184866
14,24.520519439128776
15,35.17695364829568
16,-12.145619228728048
17,-10.450126515955768
18,55.43716826424048
19,-95.53157074383262
20,-38.92207010906803
21,47.26429801346788
22,-77.25615802361122
23,190.92911642749885
24,149.5210406299085
25,-161.61649539885462
26,92.13500844325985
27,-158.1208121073362
28,-382.60417591803883
29,181.81215901925245
30,114.91263397710594
31,-68.16176884113787
32,313.33776122252164
33,83.60464138932248
34,-268.1591075208372
35,-69.21190764939472
36,-156.9855078403116
37,-151.95693320390401
38,-4.821659930070997
39,79.72644266023562
40,180.89717495750654
41,-31.968355610116816
42,36.066641943084534
43,102.77111716820114
44,-114.2024135706289
45,-24.788392554414283
46,61.21881459963514
47,-106.63347837327491
48,-39.41230507485173
49,65.72048531903638
50,59.67068272956758
51,95.8289405949503
52,-14.94341347010623
53,-157.23095784410205
54,-22.873475294880834
55,-49.773945393549496
56,-69.29579776821122
57,223.71495472877112
58,153.4301306697405
59,-182.31306975506496
60,4.703437598886831
61,-81.95538865281239
62,-203.44051723464452
63,182.82181026592008
64,63.541754894500514
65,13.419566113317483
66,43.410278101661646
67,-189.96867423872342
68,-156.923951703858
69,135.64980504174736
70,36.14631571842742
71,-47.58576040187717
72,216.8466570738434
73,43.028152653533205
74,-222.30434314615064
75,27.060739775575826
76,39.582687930713895
77,-163.0370427873204
78,-20.924370894863475
79,123.55701392074636
80,29.414583960831976
81,-2.8038889431495946
82,63.19398144215688
83,-26.023882806840845
84,-81.07831736736443
85,-25.91357528681364
86,72.03007655639108
87,-71.38397465709494
88,2.329853905608349
89,133.47709592554557
90,-7.793288086526193
91,23.612545053312648
92,43.63267628982939
93,-79.59273514788791
94,-72.88884246939247
95,70.93704023178717
96,-74.46387848512504
97,18.637360745267344
98,83.93579813270321
99,-65.62008320746415
100,7.056840893127016
101,125.07718632805154
102,2.6013187125845825
103,-123.5666552373991
104,5.982830300972893
105,-108.72326388531353
106,-19.823797214727918
107,38.75605049778889
108,137.36706527510796
109,-5.643361570808501
110,-168.809022800864
111,5.475036077869586
112,-21.577845944304684
113,-69.93960380526036
114,174.3144706533261
115,68.03863226139998
116,-228.99954245019634
117,114.17726122977709
118,-83.00511015295328
119,-104.46664834709352
120,94.06390899887421
121,-32.35125674751
122,-196.52590282472897
123,30.54234140700568
124,226.0033861203215
125,-208.3058565536667
126,123.68626185913675
127,124.29563104017899
128,-239.47824653607864
129,-57.37484315850279
130,117.09557706436033
131,-131.19829852897047
132,-82.36496726356013
133,218.26496360832417
134,10.320239702261219
135,80.17410478886701
136,97.92140442094916
137,-105.70020370048789
138,-126.26368094283191
139,6.533494320789657
140,-9.561045133614748
141,26.385740698181195
142,50.45701194676756
143,-98.23864499131271
144,12.091977047990042
145,40.39830225191359
146,53.03839990603384
147,118.42211085092964
148,33.40702944428797
149,-67.88416887137441
150,-123.23705423638783
151,-32.58365283657079
152,-198.50688094500046
153,25.116881394985306
