,restore_value
0,3412.786923481856
1,3412.58555938744
2,3477.8095517263496
3,3351.6726546790765
4,3418.839822911718
5,3384.510062015607
6,3426.527218287425
7,3462.357275881628
8,3418.7157959645183
9,3454.127665722595
10,3510.2570835875126
11,3486.7330573495997
12,3541.821615345125
13,3574.021238818185
14,3583.9858194391286
15,3583.483953648296
16,3545.9831807712717
17,3512.5505734840444
18,3543.4461682642404
19,3385.3018292561674
20,3408.0578298909318
21,3509.345098013468
22,3410.240841976389
23,3561.5811164274987
24,3458.780840629908
25,3100.4339046011455
26,3221.98580844326
27,2996.0045878926635
28,2802.3545240819612
29,3380.971059019252
30,3383.471533977106
31,3220.862331158862
32,3642.9114612225217
33,3375.6725413893223
34,2991.248892479163
35,3204.5429923506053
36,3097.5427921596884
37,3104.969366796096
38,3284.8202400699292
39,3351.3947426602354
40,3469.3026749575065
41,3275.197244389883
42,3362.7658419430845
43,3413.010017168201
44,3177.179486429371
45,3266.323607445586
46,3331.100914599635
47,3172.618221626725
48,3251.2275949251484
49,3346.6725853190364
50,3323.1509827295677
51,3248.5897405949504
52,3118.7783865298934
53,3009.4178421558977
54,3099.416024705119
55,3110.7566546064504
56,3099.6008022317887
57,3386.8939547287714
58,3290.063330669741
59,2948.7983302449347
60,3142.997037598887
61,3108.366211347188
62,3004.6412827653553
63,3362.9801102659203
64,3222.5938548945005
65,3124.0684661133178
66,3110.2069781016617
67,2901.4300257612767
68,2960.4520482961416
69,3207.192305041747
70,3104.1583157184277
71,3081.341339598123
72,3334.8205570738432
73,3118.058252653533
74,2859.9272568538495
75,3108.2380397755755
76,3140.4412879307138
77,2927.9963572126794
78,3115.7204291051366
79,3285.0546139207463
80,3188.564783960832
81,3171.6088110568503
82,3226.457181442157
83,3148.0081171931593
84,3111.0399826326357
85,3143.6516247131863
86,3226.312576556391
87,3121.919425342905
88,3216.170253905608
89,3347.826795925546
90,3161.170911913474
91,3178.2631450533127
92,3184.935876289829
93,3055.489364852112
94,3047.571657530608
95,3112.3804402317874
96,3021.009821514875
