,1_times_lag5,2_times_lag5,3_times_lag5,4_times_lag5,5_times_lag5,6_times_lag5,7_times_lag5,8_times_lag5,9_times_lag5,10_times_lag5,11_times_lag5,12_times_lag5,13_times_lag5,14_times_lag5,15_times_lag5,16_times_lag5,17_times_lag5,18_times_lag5,19_times_lag5,20_times_lag5,test_percentage
0,16.452816,15.652373,16.460096,16.071695,15.661956,15.084953,17.158848,17.114576,16.66516,16.232893,15.975299,16.129263,16.869802,16.598589,16.491009,15.791561,16.464363,16.15298,16.22396,16.292383,6.039900000000216
1,6.2102437,5.618569,5.9122415,5.53907,5.548233,5.0108414,6.4640474,6.6797357,5.6354017,6.0169506,5.8286996,6.191174,6.621814,5.8725533,6.245904,5.6503882,6.3212523,5.9387174,5.596518,6.1628466,17.729399999999714
2,17.244503,16.443552,17.346716,17.263031,16.824936,16.194958,18.764065,18.172882,17.29819,17.430075,17.522617,17.74829,17.817163,17.6275,17.98971,16.935368,17.992037,17.24966,17.404533,17.92102,4.420100000000275
3,4.292303,3.7915504,4.4082828,3.8600128,3.8717737,3.6572363,4.885305,4.9711595,4.2597475,4.449437,4.2869925,4.616422,4.396314,4.4174137,4.5240374,4.1329093,4.586081,4.226585,4.214315,4.4989953,7.934699999999793
4,7.8379745,7.4740767,7.7887473,7.6786785,7.4272747,7.2226987,8.293089,8.13119,7.9725986,7.715288,7.700082,7.856891,8.053296,7.9554763,7.8985953,7.5240693,7.968515,7.731074,7.723812,7.8720226,3.5106000000000677
5,3.5337882,3.2096593,3.3952134,3.2810278,3.171655,2.9564435,3.9001625,3.7629476,3.30562,3.5700095,3.494567,3.6795197,3.6793785,3.4212377,3.6171017,3.2569888,3.6024914,3.4480562,3.3558447,3.5379522,3.595800000000054
6,3.5049086,3.3307376,3.4868836,3.3297067,3.2535439,3.174683,3.836115,3.7582798,3.6424088,3.4357126,3.4787984,3.64288,3.5891902,3.669188,3.6212387,3.3760376,3.7441082,3.488475,3.4384859,3.658145,-18.452500000000327
7,-18.053898,-18.450855,-18.012403,-18.48148,-18.995628,-17.862513,-17.658089,-18.09687,-17.765245,-18.246017,-18.286926,-18.412489,-17.522717,-17.870508,-18.197325,-18.053188,-17.480072,-17.176825,-18.725777,-17.937962,26.105800000000272
8,26.1073,25.185356,25.82567,26.640198,25.856733,24.905031,26.84048,26.010107,25.589706,25.742651,25.968327,26.201319,26.294912,25.564749,26.653887,25.442768,25.722963,25.239834,26.248363,25.82095,8.077299999999923
9,7.955029,7.1794944,8.221911,7.977393,7.732874,7.358257,8.711686,8.514612,7.446872,8.133031,8.18333,8.295187,7.6794434,7.739571,8.301802,7.8438845,7.8114915,7.8707743,8.26245,7.9004297,30.082700000000386
10,30.061304,28.915596,30.200489,30.431599,29.562624,28.509312,30.581036,30.390541,29.930117,29.514673,29.453539,29.684465,30.033764,29.722351,30.308382,29.315315,29.259375,28.931093,30.073484,29.230455,13.109999999999673
11,13.305517,12.258706,13.058109,12.886995,12.595969,11.728417,13.826565,13.685081,12.562068,13.222963,13.014719,13.102233,13.452271,12.508254,13.323652,12.509541,12.596008,12.924212,13.136866,12.834923,13.498199999999997
12,13.274974,12.644713,13.341052,13.011782,12.677596,12.296808,14.046872,13.921277,13.517158,13.152236,13.058598,13.217674,13.626099,13.547123,13.447679,12.840002,13.515274,13.112486,13.159832,13.361871,45.14260000000013
13,44.8693,42.891254,44.700504,45.33225,44.23911,42.264866,46.84004,45.62252,43.85135,44.785477,44.810566,45.028168,45.43034,43.953926,46.12268,43.73171,44.37144,43.818542,45.29527,44.696888,12.960499999999683
14,12.532001,11.433509,12.947649,12.045839,11.878587,11.370286,13.941374,14.025531,12.485549,12.849002,12.563275,12.820833,12.583219,12.995994,13.077143,12.2603,12.891039,12.555812,12.606116,13.022187,-11.158299999999599
15,-10.339313,-10.799853,-10.915062,-10.763958,-11.703712,-11.218496,-11.244592,-10.4698,-11.396354,-10.915937,-10.846499,-10.959766,-11.041724,-11.110441,-11.01741,-10.9221325,-10.221544,-10.612223,-10.731135,-10.507783,9.821799999999712
16,9.929419,9.573303,9.17339,9.749117,9.27515,8.783989,10.587675,9.755636,9.5029745,9.80454,9.946865,10.031389,10.570018,9.708725,10.115883,9.170044,10.271963,9.715679,9.668257,10.075784,-35.128099999999904
17,-34.47622,-34.603767,-34.159023,-35.486633,-36.403473,-34.470432,-34.08489,-35.021595,-33.151592,-34.992622,-34.15468,-34.835022,-33.15682,-34.746197,-34.726845,-34.409443,-33.12143,-33.151684,-35.48447,-34.269146,-34.99170000000004
18,-34.659443,-34.354824,-34.971146,-35.847435,-35.442463,-34.903126,-32.94647,-34.92652,-34.33305,-34.972454,-35.12208,-35.161545,-33.94675,-32.63607,-34.99314,-35.04107,-32.399334,-31.567713,-35.602512,-33.76061,-7.175600000000031
19,-7.1016035,-7.416023,-7.104324,-7.7116566,-6.746163,-6.946852,-6.112201,-7.5634103,-6.621063,-7.3205576,-7.705488,-7.2573066,-6.504087,-6.3356223,-7.0307565,-7.3070674,-6.717309,-5.9175587,-8.5352745,-7.8599243,-33.85350000000017
20,-34.546158,-33.82185,-33.52617,-35.08822,-34.4695,-33.53873,-31.713629,-34.189728,-32.162563,-34.127254,-33.614784,-33.876907,-32.52212,-31.854967,-33.64639,-33.924015,-32.115593,-31.278502,-33.896755,-32.529343,15.100900000000365
21,15.60614,15.254111,15.236506,16.31688,15.810279,15.178871,14.750813,14.6055155,15.260438,15.009107,15.112497,15.235305,15.362453,14.893263,15.396591,14.7595625,14.147469,14.488422,15.577565,14.450652,25.416200000000117
22,25.536324,24.226421,25.58675,26.312428,25.68576,24.292246,26.264565,25.584564,24.28955,25.49293,25.75468,25.785353,25.022276,24.302961,26.230665,25.055305,24.222563,24.492893,26.125658,24.78793,-116.84500000000025
23,-116.13447,-116.53513,-115.28283,-117.998634,-119.664955,-114.141716,-111.45455,-115.280685,-113.52377,-116.014885,-116.70595,-117.75975,-112.498955,-111.11431,-115.58509,-115.69304,-111.38676,-109.00811,-116.32519,-111.640564,-61.39220000000023
24,-60.308598,-60.594494,-62.04831,-62.861275,-61.60053,-60.782005,-56.79082,-61.046673,-61.34031,-61.047245,-63.63205,-62.506912,-59.25486,-56.05297,-61.428917,-61.724903,-56.64612,-53.700596,-64.33706,-60.175785,-47.20939999999973
25,-47.66244,-47.468456,-46.549957,-48.975735,-47.561108,-45.918728,-43.696194,-48.510265,-43.50416,-47.479847,-47.799656,-47.41755,-43.185772,-45.477097,-46.701656,-46.83841,-44.682304,-42.802692,-50.672424,-48.261185,-132.19959999999992
26,-133.6667,-131.14142,-131.60295,-136.23604,-134.35443,-131.27153,-124.45702,-132.79955,-127.627914,-132.74171,-132.11687,-133.06992,-127.88121,-123.777534,-131.63843,-132.6043,-124.893105,-121.69614,-131.99916,-126.42713,24.274599999999737
27,25.13382,25.744831,24.405603,27.05057,27.101824,24.758448,22.483065,21.867325,24.55013,24.650148,24.707169,25.270353,25.499916,24.370127,24.75664,22.715897,22.727907,23.808514,25.300135,22.833723,30.833300000000236
28,30.355259,28.868652,31.86281,32.102962,31.870134,29.882128,32.112453,30.71471,28.548157,30.985292,31.602875,32.323624,29.272148,28.76129,32.39975,30.201115,28.635378,28.766514,32.73161,30.160042,14.200199999999768
29,13.605545,14.593604,15.410248,15.284732,14.91937,13.4694805,13.079067,14.7770195,15.566842,13.507954,13.413446,12.932681,12.542062,14.818861,13.084431,14.046928,12.120782,13.043601,14.941275,13.074044,69.40000000000009
30,70.70051,67.703835,69.26597,71.268974,69.46444,65.93381,70.304405,69.3128,68.031166,69.14303,69.19038,68.77136,70.82484,66.663506,70.681885,67.70799,66.029305,67.45788,70.44715,67.105835,20.465200000000095
31,19.892448,18.304655,20.460772,19.38797,18.91615,17.916433,22.011799,21.918114,19.515535,20.492567,19.993107,20.350035,20.154661,20.20472,20.817728,19.391014,20.179285,19.986689,20.168736,20.57256,40.54959999999983
32,40.212612,38.677692,40.269695,40.086884,39.0075,37.570946,41.5912,41.26116,40.410496,39.678165,39.37007,39.71572,41.08021,40.183174,40.70014,38.99925,40.021782,39.30597,40.0741,39.732777,-37.50579999999991
33,-35.803112,-37.582104,-36.15276,-36.58017,-39.287014,-35.304745,-36.92268,-36.087254,-35.813828,-36.60559,-36.942413,-37.41163,-34.5766,-38.050835,-36.502438,-36.046688,-36.094074,-35.951786,-38.35103,-36.998905,-32.65990000000011
34,-31.163765,-30.840868,-32.18428,-33.258587,-33.701668,-33.236378,-31.813686,-32.428883,-31.898531,-32.829006,-31.860487,-32.33627,-31.622246,-31.689436,-33.043823,-32.390945,-29.414156,-29.776981,-33.311333,-32.090057,14.346900000000005
35,14.185878,13.545278,13.751672,14.69271,14.284382,13.594374,15.467058,14.164264,13.151501,14.650591,14.830761,15.071271,14.530708,13.669717,15.2274685,13.944251,14.778961,14.000853,14.557904,14.708295,-19.226599999999962
36,-19.881527,-18.848282,-18.736673,-20.21534,-19.939789,-19.425158,-18.51624,-19.578182,-17.5949,-19.689734,-17.933016,-18.67707,-18.502693,-18.515043,-19.189774,-19.228886,-17.966146,-18.455585,-18.609478,-18.19312,2.3980000000001382
37,2.441215,3.1304202,2.3262024,2.795153,2.6812184,2.3284993,1.7540773,2.1172256,2.830343,2.0716693,2.2574575,2.5166745,2.374719,2.947092,1.7601188,1.6620388,2.0496573,2.6417236,2.6176603,1.8510654,32.715599999999995
38,32.946613,31.38403,32.51955,33.606327,32.762066,31.145918,33.795933,32.686825,31.486391,32.739025,32.968475,32.99259,32.856907,31.39385,33.70243,31.986164,31.59441,31.732662,33.3323,32.17771,-17.97360000000026
39,-18.036047,-18.011328,-17.359661,-18.025295,-18.754196,-17.629858,-17.52293,-17.625393,-17.052485,-17.920034,-17.142313,-17.704342,-17.436958,-17.547745,-17.695456,-17.626993,-17.334845,-17.494186,-17.023266,-16.733591,16.73720000000003
40,17.259676,16.732658,16.54722,17.145515,16.57919,15.984392,16.669506,16.416151,17.001104,16.374962,16.333889,16.498285,17.47437,16.398739,16.721756,16.161291,16.22114,16.292244,16.749023,16.111393,18.760099999999966
41,18.523756,17.399872,18.403273,18.721577,18.300644,17.275156,20.06777,19.11367,17.604319,18.951136,18.978886,19.131245,18.76868,17.960127,19.475447,18.099586,18.495556,18.313026,18.94868,18.881361,19.533600000000206
42,19.101582,18.179838,19.67793,19.340614,18.826675,18.262743,20.173653,20.150011,19.397356,19.090097,18.969976,19.125439,19.076439,19.568361,19.629107,18.959427,19.314535,18.686176,19.25978,19.06152,-16.46030000000019
43,-15.837088,-16.928375,-16.035625,-15.95426,-17.04742,-15.45059,-15.854883,-15.588027,-16.1657,-15.9522085,-16.548485,-16.61749,-15.608981,-15.991775,-16.027418,-15.851887,-15.988489,-15.559416,-16.540756,-15.848281,-18.85699999999997
