,1_times_lag5,2_times_lag5,3_times_lag5,4_times_lag5,5_times_lag5,6_times_lag5,7_times_lag5,8_times_lag5,9_times_lag5,10_times_lag5,11_times_lag5,12_times_lag5,13_times_lag5,14_times_lag5,15_times_lag5,16_times_lag5,17_times_lag5,18_times_lag5,19_times_lag5,20_times_lag5,test_percentage
0,7.791923,5.1705775,3.1135159,9.811798,9.038076,4.0201416,9.4972,5.163838,7.9034185,2.0953798,2.55793,7.3346076,8.20939,4.394577,6.7717977,6.864543,3.9395823,6.612736,3.341153,6.029573,6.039900000000216
1,15.77968,18.066818,13.049168,20.406385,18.804924,17.04696,17.21783,13.826472,18.97933,12.872632,14.4381695,16.299831,17.031815,15.522181,16.536095,16.061146,15.023416,20.820534,12.298094,14.412455,17.729399999999714
2,13.004294,14.78052,9.981825,13.910284,13.792847,11.646413,13.714378,9.0407295,13.740265,7.125073,9.480411,14.625306,14.669313,12.762532,10.844643,13.033153,10.901749,14.53765,9.110763,12.44866,4.420100000000275
3,5.073284,7.2034607,3.086443,6.1252866,6.911966,5.6458807,5.254376,3.0687182,6.7496147,-0.42028984,5.127024,6.6877756,7.0714674,4.803672,2.1689937,6.4235516,4.658276,7.347283,2.4591289,4.5020432,7.934699999999793
4,6.728834,9.066733,4.9599066,8.674733,11.195145,8.922864,9.291359,6.0986013,10.122049,3.7825608,8.16536,10.319082,10.6910095,8.810287,7.459973,11.526084,7.662176,10.567802,6.895207,10.246887,3.5106000000000677
5,4.712539,10.9033,4.4362636,9.250728,9.238733,7.7571783,6.282666,4.799394,10.342174,5.415709,8.089221,9.963635,8.919577,8.639735,5.4711423,10.672875,6.0462523,11.941976,6.4708447,8.763056,3.595800000000054
6,-12.050713,-6.0486917,-11.547044,-8.522793,-11.258769,-9.712965,-10.29221,-11.070682,-8.516502,-13.693435,-8.770333,-7.1985154,-6.2048883,-8.563739,-11.3939495,-7.049589,-9.168785,-7.78801,-11.420666,-10.26494,-18.452500000000327
7,11.938923,20.111683,16.576616,19.032019,17.100853,15.849013,16.001978,16.213112,17.62523,17.090998,19.65822,18.022245,20.93357,18.910078,16.80391,21.52175,13.324173,22.767126,16.04055,19.25759,26.105800000000272
8,13.670064,18.353636,17.014835,18.762861,17.266603,15.621598,17.849983,15.154316,17.095388,17.376574,21.138071,21.236897,17.76312,19.517029,17.18211,21.543325,16.899311,22.51199,12.06032,18.656887,8.077299999999923
9,15.111112,22.670418,21.75304,22.57226,20.099094,18.102867,18.525362,19.933022,19.143766,21.141748,20.605814,21.924906,19.659239,21.330795,19.578102,23.428377,17.21764,23.968819,17.635115,18.62768,30.082700000000386
10,12.167648,11.326313,14.2519,17.557364,17.032864,10.395259,17.709236,14.077985,16.370848,11.392061,16.578861,18.141989,16.743412,13.989573,13.767496,18.873745,12.938917,16.337692,12.296052,14.288143,13.109999999999673
11,15.363707,20.434578,20.70907,25.44203,22.01273,19.299156,20.397812,19.719097,23.266,18.838621,20.357615,20.723547,20.144918,19.506367,21.071795,22.724497,17.839077,25.182478,19.86459,17.689013,13.498199999999997
12,22.710358,26.377552,28.930124,27.62252,25.38137,20.416594,27.236767,25.27406,26.087908,23.330969,23.739952,28.279644,27.771248,25.553867,26.63778,25.990242,23.409279,27.129974,25.319506,24.021448,45.14260000000013
13,3.3184307,3.451912,6.2601075,5.614615,5.996189,6.293511,6.1641617,1.3016714,10.728586,3.8197787,6.705622,6.159765,4.8781,4.982483,3.4214613,5.835474,6.0804796,4.4258146,2.656208,1.2812093,12.960499999999683
14,-3.5030928,-1.0064064,-3.269549,-2.8302991,-1.0253441,-2.2907505,2.0439456,0.02847704,1.6312932,-4.6518054,-0.99971527,-1.2096272,-1.696833,-2.5966933,-4.3245173,-3.1534932,-1.6762081,-2.6932495,-4.4809065,-4.548797,-11.158299999999599
15,3.4660223,0.36088115,-1.096362,4.1501756,2.019898,-0.28318456,6.501601,3.6365492,8.380111,-0.19300374,4.9004817,5.8388534,2.394901,2.6404734,-0.66704607,2.8726075,5.1388645,2.0634317,-1.213892,-0.8862169,9.821799999999712
16,-8.357643,-10.882216,-7.852864,-4.466141,-7.51044,-5.9582705,-0.77363884,-6.525723,-0.052699685,-10.466653,-2.8319411,-5.165005,-8.04037,-5.031925,-7.611297,-7.912143,-3.7326686,-4.0506425,-12.815798,-8.723301,-35.128099999999904
