,1_times_lag6,2_times_lag6,3_times_lag6,4_times_lag6,5_times_lag6,6_times_lag6,7_times_lag6,8_times_lag6,9_times_lag6,10_times_lag6,11_times_lag6,12_times_lag6,13_times_lag6,14_times_lag6,15_times_lag6,16_times_lag6,17_times_lag6,18_times_lag6,19_times_lag6,20_times_lag6,test_percentage
0,0.031338573,0.18877244,1.5922921,0.4994471,-0.13948989,-0.24856085,-0.10850698,-1.1566535,-0.2643149,-0.5863256,-0.7068027,-0.83350486,0.45284534,0.20578325,-1.2898902,1.3035202,-1.1491288,1.4150633,1.9686762,0.84068453,6.039900000000216
1,14.158429,15.840497,14.371921,15.697656,14.459633,13.780606,13.050604,13.244848,13.494283,13.723735,14.556317,14.124836,14.930347,15.272958,13.389684,13.096743,12.14932,13.483073,15.386834,14.058368,17.729399999999714
2,12.140003,12.607954,11.266147,12.467709,12.796838,11.300966,11.78347,10.721429,11.547122,11.221605,11.654596,12.061071,12.415148,12.9585085,10.850255,13.6328125,9.998455,12.422229,13.64464,13.868784,4.420100000000275
3,2.1844091,2.2433772,1.2119595,1.3900933,2.1980028,2.4973054,0.9969028,1.3398206,1.4466696,1.3421876,1.8392017,1.1034151,2.6598933,1.6932337,-0.31769943,1.4544033,-0.81163573,1.8586667,2.1901503,2.642008,7.934699999999793
4,7.280925,7.425779,7.3350224,5.7525015,6.355513,6.512637,6.427609,5.784336,5.8643355,5.560225,7.0942464,6.002304,7.8932185,6.429574,5.319027,7.71078,3.795238,6.6818886,6.42927,6.9332905,3.5106000000000677
5,5.805993,7.148889,6.388656,4.625214,6.515128,5.212823,6.2537704,5.3059173,4.3495135,4.008006,7.1250687,5.049261,6.675571,6.5077114,2.95231,6.2390885,3.648779,5.264108,5.9948316,5.2268143,3.595800000000054
6,-13.950114,-13.994756,-12.847592,-15.175723,-14.46288,-14.467733,-13.95131,-14.70904,-15.330561,-16.036634,-14.460579,-15.036336,-13.720323,-13.323496,-16.018574,-12.952913,-16.311539,-13.709944,-13.526387,-14.16799,-18.452500000000327
7,12.600105,12.983381,13.5001745,12.406213,12.7828045,13.259567,13.238598,11.369886,10.989441,11.7791195,12.229822,11.740856,13.201108,11.893369,11.095923,13.278724,9.862794,13.186825,12.301457,11.499946,26.105800000000272
8,21.543217,20.778275,20.847713,19.864193,21.595673,20.649172,21.65738,19.771347,18.990227,19.80806,20.019566,21.502401,22.39347,21.774738,20.238039,23.534468,19.682058,19.912373,21.34362,21.527637,8.077299999999923
9,21.519627,21.02787,21.069555,20.289312,22.577936,22.200653,21.04759,20.970507,22.257706,20.417885,19.990696,21.550394,22.260628,21.070822,21.039213,20.57389,20.668001,20.540625,20.17456,21.529903,30.082700000000386
10,17.371147,15.8538065,16.85472,16.521744,16.907717,18.793186,16.833532,15.658379,17.327858,17.131735,16.546535,17.080873,18.298641,17.005241,16.725481,20.117664,16.677073,18.309084,16.993534,18.11718,13.109999999999673
11,23.326155,24.283329,24.667088,23.928972,25.136148,25.321,22.89212,23.002384,23.78592,24.544888,24.746246,24.397636,25.004862,24.830343,23.983942,24.60692,23.407831,24.896528,23.595009,24.055046,13.498199999999997
12,34.48778,34.068527,33.83165,33.57264,35.11155,33.740425,32.814392,32.829952,34.55628,32.833973,33.321938,34.106075,34.907585,34.857635,31.854515,37.591763,32.04019,36.014324,35.21041,33.987865,45.14260000000013
13,12.000849,12.848553,13.034058,11.785507,13.054698,12.8559885,10.766033,13.494048,11.973262,12.325781,12.793108,13.896524,14.83106,14.529457,10.236475,15.411495,13.090677,12.586346,14.759364,13.44325,12.960499999999683
14,-2.6820436,0.32372594,0.12640667,-2.9279728,-2.261245,-1.4462211,-2.6406736,-1.0175235,-1.3320205,0.10841203,-2.0135922,-3.470357,-0.33411938,-2.5788264,-2.8757076,-0.7364477,-3.3379722,-0.35901272,-0.43404007,-0.93262607,-11.158299999999599
15,-4.15913,-1.1970545,0.25666523,-1.9755559,-3.231306,-1.1298623,-1.1607313,-1.1585156,-2.6811166,0.00955832,-1.5518308,-3.1520433,-1.4187686,-4.2197933,-4.4818406,-0.38980794,-4.5105214,-4.0813327,-1.0075417,-2.0420601,9.821799999999712
16,-17.693462,-11.92217,-10.028284,-13.841251,-15.973891,-12.988807,-14.024294,-13.676841,-17.59523,-13.093438,-13.189759,-14.582717,-12.881485,-13.1196785,-14.050433,-13.633875,-16.422537,-16.351606,-11.936315,-15.437884,-35.128099999999904
17,-19.015224,-15.136766,-13.265711,-14.117841,-14.948353,-15.670353,-16.25502,-15.740944,-16.697025,-15.155947,-15.966198,-17.44535,-16.126099,-16.458572,-16.645538,-17.722872,-20.24701,-15.182559,-14.260584,-17.277058,-34.99170000000004
18,-26.670662,-30.17823,-27.743275,-25.298306,-27.547775,-27.141481,-27.446018,-28.212894,-26.874681,-26.057072,-27.928286,-25.517258,-27.756,-29.193928,-29.994509,-27.484852,-29.357447,-27.434994,-25.707182,-25.696327,-7.175600000000031
19,-19.266138,-21.402044,-17.534954,-20.359087,-19.84817,-21.303402,-19.866713,-22.699362,-20.803755,-18.27224,-18.410627,-19.522171,-20.002361,-19.596436,-22.897104,-20.256695,-22.050714,-20.067608,-19.171213,-17.911966,-33.85350000000017
20,21.940783,19.215939,21.193295,16.695778,23.492048,17.379566,20.679552,16.577011,23.74761,19.216068,20.37447,18.448065,19.271454,18.848648,11.076539,22.054443,15.947453,21.187414,19.751059,20.14235,15.100900000000365
21,-18.755405,-19.73782,-20.433708,-24.09116,-19.798767,-24.428808,-20.313223,-23.198692,-18.801607,-22.571798,-19.615734,-20.937819,-20.152353,-22.211819,-28.210264,-17.341143,-20.413998,-20.471062,-19.926636,-21.60995,25.416200000000117
22,-70.58442,-66.44364,-63.41341,-76.611824,-68.823166,-71.554214,-68.10668,-68.24375,-71.838844,-69.587616,-70.70863,-70.04024,-66.67177,-69.690605,-72.83835,-66.40941,-68.903595,-68.53154,-70.305824,-70.08845,-116.84500000000025
23,-71.91668,-75.83794,-73.253716,-82.017044,-73.203415,-78.99788,-72.845985,-77.085915,-75.008606,-75.18295,-77.025444,-81.09798,-74.07293,-80.84979,-80.86212,-73.70566,-82.39669,-71.39345,-77.52933,-78.58653,-61.39220000000023
24,-84.96209,-87.28958,-87.04887,-89.58865,-88.92808,-90.106155,-85.71095,-88.982216,-90.75497,-87.09851,-89.31126,-94.08062,-82.77793,-87.836685,-88.32481,-81.652824,-91.006,-86.28947,-84.930824,-87.208336,-47.20939999999973
25,-97.329796,-95.09432,-93.31297,-97.32618,-94.09813,-99.08559,-96.73477,-99.81283,-100.68415,-93.10145,-98.57193,-99.61382,-95.855034,-94.59275,-97.93028,-90.57725,-100.14692,-95.831085,-93.50301,-92.50693,-132.19959999999992
26,-19.006283,-25.001215,-24.896122,-27.699583,-17.128815,-26.928673,-18.885538,-27.19409,-23.21852,-20.804249,-26.083345,-25.041304,-24.447449,-27.616386,-29.248585,-19.32284,-34.096123,-21.705547,-23.977024,-23.361567,24.274599999999737
27,18.858976,11.634861,14.592221,12.284279,16.287148,16.210722,16.81007,17.223232,16.909946,15.501632,14.553629,17.246471,22.369583,16.34479,13.205136,20.569122,18.242622,13.868294,16.85014,18.69624,30.833300000000236
28,33.372025,35.310204,39.81197,30.946648,36.26212,31.22695,33.59687,30.901293,35.926083,35.685326,32.26631,31.84959,36.076183,29.706661,30.109241,34.684406,35.219215,32.37268,30.821732,35.358696,14.200199999999768
29,62.999447,55.66063,60.479507,51.956512,62.028107,55.18023,60.27549,51.76935,63.172077,59.148174,60.563995,54.43152,59.40232,52.986626,47.542995,58.09775,56.58072,57.56601,55.91327,54.387123,69.40000000000009
30,20.804184,19.118937,26.823439,16.616835,18.986443,21.541082,19.662745,18.1852,22.142988,20.974176,26.025497,21.050083,23.406815,22.579681,14.624199,23.475485,24.213623,19.94596,19.837713,18.410788,20.465200000000095
31,31.951342,33.80374,37.00096,28.31667,33.92168,29.988657,29.970917,32.10276,32.809353,28.730242,30.50328,25.601818,33.64615,35.306576,31.169262,33.027714,28.594666,39.13306,34.084656,30.68546,40.54959999999983
32,-23.08999,-22.697107,-21.498304,-23.058035,-23.271646,-23.512165,-22.901234,-21.569027,-21.572697,-24.575712,-26.425676,-26.487274,-20.500652,-23.29114,-24.610022,-20.544916,-23.89657,-22.896296,-21.80117,-20.384262,-37.50579999999991
33,-9.012205,-4.8412623,-5.0183177,-7.0153604,-7.888647,-3.260869,-7.3105183,-6.9245214,-9.400844,-6.328413,-7.4103155,-10.109786,-6.5719986,-7.043956,-5.208438,-8.336075,-11.116955,-6.315975,-6.524439,-6.0177336,-32.65990000000011
34,0.60355544,4.2562475,3.964704,3.288948,2.1192644,1.7593571,2.8354297,-1.5851806,-0.4179598,3.677431,0.40618896,-2.3675346,2.9499083,-0.45176947,-0.5168376,5.5374436,-2.9210172,1.7023237,5.9518633,3.1790853,14.346900000000005
35,-6.3748894,-1.0069695,-0.6799935,-0.6873724,-3.927645,-2.0461576,-3.6732378,-3.5269866,-6.2161317,-3.0662599,-1.290379,-2.3960671,-0.27528936,0.31914234,-1.9803003,-1.332403,-5.485562,-7.0385776,0.58611333,-4.1713076,-19.226599999999962
36,19.287952,18.297897,20.613667,16.869804,21.603735,17.281788,20.909443,18.415117,21.129942,18.18449,18.336428,16.725729,19.292805,17.039862,15.33545,18.338125,14.25655,19.905655,18.69824,18.35224,2.3980000000001382
37,27.540014,26.624903,27.76139,23.440079,26.99276,24.331839,29.786259,26.019499,26.6732,25.154432,27.952154,27.496574,27.933044,21.774101,19.191437,25.132734,24.356146,23.389559,24.446827,25.885757,32.715599999999995
38,-1.5192815,2.0051913,5.3280315,-3.761136,-1.1405334,-1.6145856,3.3003511,-2.271015,-0.08169484,-1.7640646,2.226595,-2.5888395,2.0468879,-2.2443085,-4.340664,-2.5505729,-1.586486,-2.301528,-3.1592739,-0.17309046,-17.97360000000026
39,-3.9465222,-3.613381,-0.39796615,-6.4441657,-4.513157,-6.31314,-1.8890487,-8.891278,-3.1408179,-5.050006,-3.7580614,-9.596003,-5.8493147,-4.7594867,-10.106425,-4.9184117,-8.253633,-1.808335,-6.0976973,-5.815521,16.73720000000003
40,15.997523,18.0795,17.249763,14.751167,14.932528,13.487143,16.939432,12.913174,13.682172,13.317907,15.423965,12.522191,17.255674,15.071297,10.772885,18.620502,12.8473215,14.520813,16.841585,14.479156,18.760099999999966
41,20.713642,26.2972,23.977259,22.60707,25.469479,21.40455,22.518665,21.678196,21.882742,20.148123,22.594616,21.29832,24.703201,22.830883,20.92015,26.010172,22.17519,24.494726,22.31583,22.139568,19.533600000000206
42,-12.602711,-12.284482,-11.47785,-11.796988,-10.067144,-13.721873,-12.781765,-12.733134,-13.641785,-14.473959,-14.969569,-11.730503,-10.983191,-12.30375,-11.09518,-8.4440565,-11.277283,-10.984354,-11.519868,-11.500477,-16.46030000000019
43,-15.753963,-17.207655,-16.944536,-18.364391,-15.611722,-16.028091,-19.108624,-17.92844,-17.562546,-17.1408,-19.989824,-15.856783,-14.046155,-17.685875,-15.718604,-15.272427,-15.924601,-16.521185,-16.608786,-15.727022,-18.85699999999997
44,-11.757639,-10.8723545,-11.190922,-13.423429,-10.342506,-11.679071,-13.926989,-15.005257,-13.004725,-11.599964,-15.392469,-13.729147,-9.710786,-11.524321,-11.622283,-6.6296663,-11.009639,-12.072642,-10.289379,-8.708304,-0.26989999999977954
45,-17.849642,-15.188263,-15.906551,-17.98077,-15.736368,-16.158033,-18.929441,-18.78479,-17.865047,-16.432623,-17.524036,-16.370739,-15.126651,-14.335369,-17.1262,-11.779921,-16.117613,-20.244171,-14.424521,-15.031619,-21.22990000000027
46,0.83803046,0.8424617,1.5197903,-0.29309988,2.3966737,2.6199832,-1.2253461,1.5737457,-0.70243347,1.9445288,0.7743331,1.5105823,2.3557172,0.47744358,0.83994603,2.7197795,0.3933847,1.6288301,1.6758258,1.5877222,9.369599999999991
47,1.9787056,-0.62831736,3.0116072,1.0493746,0.17976415,1.9807683,-0.21084523,2.1414323,0.36521304,3.6316366,1.5743903,2.544374,3.6118636,-1.7531292,1.4825109,1.831053,2.2341247,1.3082297,1.0736347,1.2324187,11.388200000000325
48,14.594484,14.266921,16.643724,17.045092,15.116938,13.691579,13.379815,12.53244,16.029728,14.515541,17.210714,13.208458,15.720202,14.693111,13.58315,12.098146,14.329072,12.599064,13.680242,13.298262,-9.687800000000152
