,1_times_lag3,2_times_lag3,3_times_lag3,4_times_lag3,5_times_lag3,6_times_lag3,7_times_lag3,8_times_lag3,9_times_lag3,10_times_lag3,11_times_lag3,12_times_lag3,13_times_lag3,14_times_lag3,15_times_lag3,16_times_lag3,17_times_lag3,18_times_lag3,19_times_lag3,20_times_lag3,test_value
0,3387.443265009117,3389.32331006546,3388.6301981689453,3388.959910083008,3389.4393235923767,3387.775916743469,3389.11663119812,3388.1313263656616,3387.279339122963,3387.8325616600036,3387.713198113632,3388.8865293743133,3387.465993452263,3387.9215511562347,3388.905389476013,3388.4631072761536,3387.446226287079,3389.1901571037292,3387.939550566864,3386.8263810159683,3391.7501
1,3406.244788987732,3406.559066636658,3405.1775482727053,3405.173415048218,3404.389995439148,3405.7309616638186,3405.6079863143923,3405.479405267334,3404.728335244751,3405.1124542785647,3405.761143548584,3405.8157080245974,3404.666437013245,3405.3687113357546,3405.448675973511,3405.606089456177,3405.1891172958376,3405.2313955856325,3405.1487310958864,3405.9587725234987,3409.4795
2,3424.3981239242553,3424.165331069946,3422.9473993225097,3423.3299486083984,3423.2029506607055,3423.3172590179443,3423.7441799087524,3423.475183670044,3423.754471961975,3423.8017007751464,3423.658641998291,3423.975175086975,3422.994929496765,3422.9763309402465,3424.05353755188,3423.480491821289,3422.623461906433,3422.62208480072,3423.8785201950072,3423.820784751892,3413.8996
3,3417.8008088775637,3418.158201665497,3416.9812669464113,3417.1188692756655,3416.5760862537386,3418.365706414795,3417.4346933074953,3417.8194610782625,3417.6121997543337,3417.2505001731874,3417.334389657593,3417.3993692108156,3416.3021247097017,3417.17981812439,3417.426238507843,3417.096585960007,3415.545370430565,3417.1988877960207,3416.4526853271486,3417.3836672016146,3421.8343
4,3424.8144082611084,3426.8074798171997,3425.217461306381,3425.8617333953857,3426.150980908203,3425.6984180992126,3425.586196381378,3425.225717980194,3425.219991165924,3426.1505517547607,3425.5838214939117,3425.6086570804596,3424.3613566940307,3425.256330210495,3425.5631460731506,3426.3681134765625,3424.0868606155395,3425.0334164684296,3424.3549706523895,3425.0074684207916,3425.3449
5,3433.4391001342774,3434.339381086731,3432.435487615967,3433.7504585861207,3432.4271467803956,3433.091801512146,3432.515599119568,3433.1717632888794,3432.5295957206727,3433.4080742477418,3433.547877180481,3433.808986532593,3431.127038824463,3432.9079493164063,3432.9593552230835,3433.4370897888184,3431.734205114746,3433.215025770569,3432.4442666648865,3433.5476587890626,3428.9407
6,3413.0628342086793,3414.5751509124757,3414.050186579895,3415.370769923401,3414.0752052719117,3414.0556072647096,3414.4210218841554,3413.27574486084,3412.9381994659425,3414.4217781478883,3413.539263194275,3414.783792918396,3412.2615961486817,3414.3807024414064,3412.681943362427,3413.8936581069947,3411.8434462005616,3414.914703791809,3412.6625742370607,3413.9470943862916,3410.4882
7,3417.533098986816,3419.50934200592,3418.4592493087766,3418.447034171295,3416.7572029144285,3418.0278652221677,3417.003084471893,3417.705669215393,3416.6884997398374,3418.1409018547056,3418.0610979110716,3419.030946543884,3416.4307783157346,3418.1723506958006,3417.027986815643,3418.465516379547,3416.0222337753294,3418.849615863037,3416.2266033203123,3418.828813365173,3436.594
8,3458.0640813293458,3458.7501336517334,3458.3501950683594,3458.8673154296876,3458.2807446899415,3457.2033406677247,3458.080837387085,3457.5977803649903,3457.0314103546143,3459.208023208618,3457.0131703796387,3458.747352737427,3456.852825302124,3458.6414090576172,3457.952745574951,3457.8878594818116,3457.6611882629395,3457.2873937072754,3457.6281968536377,3458.3447705688477,3444.6713
9,3469.3829088867187,3469.7121668518066,3469.3773508728027,3468.8447466552734,3466.289713925171,3469.3038759887695,3469.084786480713,3468.594142025757,3468.1821108520508,3468.914546078491,3468.268094128418,3469.0812884033203,3467.213130062866,3468.7518644989013,3468.2881823242187,3467.0271044433593,3466.8959208190918,3467.8324442565918,3466.715682095337,3470.065545147705,3474.7540000000004
