,1_times_lag7,2_times_lag7,3_times_lag7,4_times_lag7,5_times_lag7,6_times_lag7,7_times_lag7,8_times_lag7,9_times_lag7,10_times_lag7,11_times_lag7,12_times_lag7,13_times_lag7,14_times_lag7,15_times_lag7,16_times_lag7,17_times_lag7,18_times_lag7,19_times_lag7,20_times_lag7,test_value
0,3385.6641473876357,3388.8227993728638,3391.393923926544,3391.98457543869,3390.5529410125732,3388.2067875148773,3388.052953648758,3384.37837176342,3387.6215948345184,3383.121413874817,3390.458093810272,3390.7257544281006,3393.1455308677673,3391.7871209861755,3387.6399602176666,3388.7626179935455,3387.867519545746,3391.8125206710815,3389.962473082733,3389.6937209846496,3391.7501
1,3402.468960626221,3407.725459916687,3408.5162170959475,3406.014946801758,3406.375156266785,3408.6362885070803,3408.022301538086,3405.70183740387,3406.86940847168,3408.390410287476,3408.820641381836,3408.6192139221193,3409.439667565918,3409.2252739501955,3404.873317582703,3406.8619202209475,3405.8137940002443,3409.1580322814943,3408.39746366272,3407.122437341309,3409.4795
2,3418.266983215332,3420.345876876831,3425.369300071716,3423.5583497924804,3422.4486066741943,3420.3214494628905,3419.577946846008,3418.45415801239,3419.6065084381103,3418.080897514343,3421.8158676071166,3421.7849876327514,3425.3380834503173,3424.2709838790893,3420.1010982437133,3425.186676208496,3420.019770805359,3421.4784013671874,3421.125234786987,3421.686987106323,3413.8996
3,3416.2782852359774,3420.1389546104433,3421.8302535720827,3420.0594324775698,3417.860786408997,3420.8431024261477,3418.1158861824038,3419.288773984528,3418.557045907593,3419.3095364280703,3420.4211430259707,3421.617701978302,3422.185752839661,3422.104584664917,3419.656604737854,3420.8361701675417,3416.9406494804384,3419.7597503372194,3420.492382497406,3422.0713166900637,3421.8343
4,3428.272158104706,3429.5356297080993,3433.6712102478027,3428.080369908142,3426.716184098053,3425.755891758728,3425.8135745113373,3425.0245854442596,3424.313291508484,3425.5163142269134,3430.6692618911743,3432.3109998291015,3432.649229962158,3431.663042980957,3427.8196134155273,3430.439163166809,3425.4988522117615,3428.42152114563,3427.284251171875,3431.7603187149048,3425.3449
5,3431.000604975128,3435.6251715301514,3436.536040174866,3433.985006201172,3432.68039451828,3434.7140120147706,3429.8993934272767,3432.485114443207,3431.7696283935547,3434.780784475708,3434.1790760635377,3436.8696526168824,3436.319704878235,3437.258917677307,3434.8641346572877,3435.5323294281006,3432.207523691559,3430.732758390808,3433.4889601348877,3436.054071295166,3428.9407
6,3414.6767725402833,3419.3571352416993,3420.3679260665895,3417.4419664794923,3414.2508797103883,3416.975910609436,3412.2538122589112,3412.159678881836,3413.2069658691407,3411.958590930176,3416.7029137069703,3417.714073603821,3417.7069620544435,3420.4070038253785,3417.0775255615235,3413.685018008423,3413.2587627822877,3411.9588007385255,3416.204374736023,3417.506644671631,3410.4882
7,3426.052002719116,3431.271370700073,3434.65319710083,3426.6418636352537,3428.1263111145017,3431.1256473571775,3424.2881849319456,3428.139998248291,3424.8489177734373,3428.040575793457,3430.8526981384275,3433.401581576538,3431.421604922485,3435.7690818817136,3429.6856487304685,3428.213072589111,3427.0861843139646,3424.8039024383543,3430.4303672821043,3434.3814552337644,3436.594
8,3451.8619653167725,3455.1157685699463,3457.9899636688233,3453.358310836792,3455.681694168091,3456.7308923187256,3452.2207833709717,3453.213556427002,3450.1639377059937,3451.126133102417,3455.7232362213135,3458.044538635254,3455.641643661499,3463.022056716919,3452.541681427002,3454.254991668701,3452.53136743927,3452.658708709717,3454.571197647095,3456.353641647339,3444.6713
9,3462.1763296783447,3463.592063015747,3466.6220598876953,3459.942643231201,3464.561307019043,3469.5988798797607,3460.9601870239258,3462.97732645874,3463.862935131836,3462.531371182251,3462.529999798584,3467.6058741271972,3465.0662298858642,3468.1121054351806,3461.295033520508,3461.728865689087,3459.8481321990967,3456.4084320724487,3462.870711392212,3466.8277769744873,3474.7540000000004
10,3487.1366656341556,3488.4099276580814,3488.9595721282963,3484.055696777344,3489.259110740662,3489.7036192932133,3485.502609542847,3483.0117171325687,3485.1202414550785,3480.9876182594303,3489.1853392639164,3491.566948226929,3486.304081253052,3493.5238154449466,3483.699455551148,3484.9748242416385,3483.148597053528,3485.600748352051,3486.0305960693363,3487.3298733749393,3487.864
11,3504.1461941375733,3506.530109085083,3512.3689743652344,3505.109147705078,3508.6619164123535,3510.1634480133057,3506.5089241638184,3505.353570617676,3508.370149291992,3508.330730117798,3507.566356338501,3510.3577591552735,3504.9166638031006,3513.453542388916,3503.5163933410645,3503.6560503616333,3505.394378341675,3504.721023239136,3509.839067138672,3507.929649032593,3501.3622
12,3523.004991748047,3522.769417025757,3529.0045053741455,3525.142240740967,3529.6519548675537,3527.982593753052,3525.1324255249024,3525.565885760498,3524.366205432129,3522.981781222534,3526.6343824645996,3526.984207369995,3521.8188917419434,3531.55960486145,3522.6511823913575,3524.4994241973877,3521.4389612457276,3524.355192401123,3525.2211572906494,3525.8522646209717,3546.5048
13,3549.8792332790376,3550.8954192779543,3550.3165067813875,3547.19246784668,3549.775842585373,3552.1450249336244,3553.2301880500795,3550.6445724151613,3549.5301610610964,3548.9175740859987,3550.644007363129,3550.947119393158,3542.936340966034,3552.584808983612,3548.7976717136385,3550.923199333954,3548.6168743751527,3549.3666724346162,3548.696406760025,3546.7678857527258,3559.4653
14,3557.1788536670683,3556.4440037372588,3559.1727404656885,3554.537856018829,3560.506973541069,3557.24735370903,3555.857416308212,3552.7410964134215,3556.6806525352476,3553.169127857971,3558.4501347902296,3557.7007890108107,3551.94727889328,3558.4869987133025,3552.5454186561583,3554.8033942344664,3553.480250275421,3550.4720863464354,3551.4633239868162,3552.028885758209,3548.3070000000002
15,3547.281289774895,3552.848120052338,3554.838945228577,3550.095613319397,3552.709039051056,3554.031593639374,3551.639008838654,3550.7736850566866,3548.844312448025,3548.931380886555,3553.2168105430605,3551.3331268615725,3540.457432109833,3556.525342781067,3546.429679114342,3550.1803171224597,3546.406912762642,3548.57492550087,3551.02752359581,3547.0736897773745,3558.1288
16,3548.9951663864135,3553.913302983093,3553.8245306861877,3547.0008245361328,3548.286859120178,3550.103982533264,3552.9015150917053,3547.4200101745605,3550.0591731918335,3546.8776317489624,3551.2615538490295,3549.4168277633667,3543.703796948242,3552.773032749939,3543.3947769058227,3550.524136151123,3546.692114437866,3545.793137158203,3548.0719114196777,3546.5962081802368,3523.0007
17,3509.933051112366,3516.3116245300293,3514.1317510635376,3512.7078132659913,3513.5102834732056,3512.1272106201172,3517.2019214660645,3508.9540128738404,3515.1331014663697,3516.4016914398194,3516.761360648346,3514.6411447555543,3508.0038032562256,3519.3958060771943,3510.734025958252,3515.3464441329957,3509.976496699524,3512.3053112060547,3511.3212127716065,3509.8969755203248,3488.009
18,3471.3947955932617,3478.6355230178833,3475.887659248352,3475.8186408843994,3472.1390411224365,3472.987611946106,3479.130660232544,3478.462902244568,3476.212643798828,3472.0159522857666,3483.5845252838135,3473.0329429473877,3465.1590148773194,3486.159586128235,3476.847327407837,3480.6268731918335,3475.5074226226807,3479.704301055908,3480.1510211791992,3470.5672809448242,3480.8334
19,3458.659068334961,3466.132122267151,3455.7267334350586,3452.3606521972656,3449.79442142334,3453.1369564422607,3457.2998478302,3460.977467764282,3460.256951559448,3452.6549732574463,3460.8976280578613,3458.71944927063,3459.0887272247314,3462.9644863494873,3454.8240692504883,3459.482959020996,3458.11336635437,3457.610722769165,3460.4696857818603,3454.325310934448,3446.9799
20,3458.612109777832,3462.7955042098997,3459.2808366989134,3458.526588079834,3457.998895285034,3459.910730955505,3453.3495851730345,3465.032638189697,3462.3959757064817,3464.5327774261473,3464.2561794494627,3458.305523512268,3458.330857870483,3462.2208811019896,3460.3697830413817,3463.655715582275,3454.525066969299,3463.387630102539,3464.247373220825,3457.016298887634,3462.0808
21,3434.6147813232424,3437.4949635894777,3434.6704644592287,3436.274439755249,3430.8124761016848,3434.1471051605226,3429.619355145264,3440.1382760437014,3436.6273774536135,3438.0320271881105,3435.058033886719,3432.8339566619875,3430.984993878174,3437.283146801758,3437.5689553649904,3438.069643917847,3438.8052625091555,3440.362202587891,3443.1722325714113,3433.942242565918,3487.4970000000003
22,3431.2973387451175,3424.074674865723,3417.566274902344,3427.588533660889,3418.2968352050784,3428.7143919677737,3415.3331129760745,3420.9748900146487,3422.8641875000003,3426.0965826721194,3431.7402937622073,3423.7463019104007,3426.8404982299808,3417.1540739746097,3420.520017883301,3422.691946289063,3427.1679136962894,3428.271795532227,3426.9552290649417,3417.603628417969,3370.652
23,3330.6409945983887,3334.64023928833,3319.762023498535,3328.657428314209,3321.563838531494,3333.5989299316407,3317.4018664855957,3330.9097438354493,3326.0880389709473,3332.2734294433594,3335.8026881713868,3321.8799930114747,3328.207118560791,3321.438144256592,3324.079604675293,3321.0823398132325,3329.325568725586,3334.2022166748047,3322.974536468506,3327.754550506592,3309.2598
24,3237.1516838500975,3251.5748520324705,3242.4531288574217,3241.20543293457,3236.919094128418,3248.0745354125975,3242.295833630371,3244.688869519043,3237.6025581787108,3239.422588391113,3253.8408813903807,3241.3923531005858,3242.750309033203,3240.2992439697264,3242.0123253295897,3232.136913342285,3254.063114208984,3248.9807129333494,3244.146289868164,3240.55260090332,3262.0504
25,3180.7086794189454,3172.9773332885743,3168.4062502197266,3163.7285463623048,3166.492325048828,3177.010170202637,3176.756599645996,3179.153442602539,3174.944687109375,3167.4522936157227,3184.6482469848634,3176.700271826172,3183.7229692749024,3166.046135168457,3164.8983385375977,3159.9051439575196,3178.940834265137,3171.036384802246,3169.162773352051,3177.2413790039063,3129.8508
26,3136.525157891083,3146.243732891846,3137.789899311829,3127.068295441437,3138.4707407577516,3144.8963474853517,3143.353732548523,3146.0729660614015,3135.649320088196,3137.665852986145,3151.3405022247316,3137.0242919548036,3138.7403978927614,3141.489469013977,3139.04575010376,3129.841434863265,3142.7848400695802,3136.2574781997682,3142.6542791946413,3144.6571650131227,3154.1254
27,3167.0198187164306,3178.950562887573,3174.301383428955,3159.0224041275023,3160.1643776229857,3174.649215155029,3170.3079504302978,3172.2487596801757,3173.8345617584228,3166.4758676818847,3169.7939009002685,3175.6173033050536,3165.542519026184,3164.875982695007,3164.0218080810546,3157.4083613685607,3183.1484770111083,3170.5156759552,3174.86483901062,3170.923640661621,3184.9587
28,3236.4859331237794,3221.5759332763673,3223.389791308594,3219.649774371338,3222.7793024169923,3225.181596575928,3225.64197331543,3221.966565905762,3238.3936746704103,3229.762265979004,3227.2321870910646,3229.9232767211915,3226.068818865967,3220.1441400634767,3215.7923143493654,3215.2506902801515,3228.538026629639,3217.7047670471193,3223.204892932129,3228.3237550842287,3199.1589
29,3244.3143374694823,3249.28235123291,3234.6344516052245,3244.3097445739745,3252.2027995361327,3247.0303218139647,3235.598974920654,3243.7288157714843,3254.8932864440917,3255.5712458862304,3246.674658514404,3243.2747027648925,3240.209753729248,3254.717222906494,3242.684504248047,3246.081980444336,3247.367624975586,3242.8249079956054,3243.3169543518065,3241.0596835388183,3268.5589
30,3284.6896258605957,3292.9357997192383,3281.115963102722,3284.623364569092,3284.433254362488,3291.77329743042,3289.629014135742,3284.7212210906982,3293.910052420044,3287.187426687622,3283.9178124679565,3289.689349295044,3279.1551867736816,3288.124074102783,3277.14679730072,3280.332352758789,3294.23512756958,3292.364102484131,3287.723721624756,3280.0989915145874,3289.0241
31,3314.716633493042,3313.2189986053468,3313.654129678345,3313.1858736816407,3319.7162424865724,3319.389204675293,3313.85493152771,3306.9411894622804,3326.5181452575684,3318.6441370788575,3310.16836612854,3313.8800436798097,3323.289984399414,3311.3517596069337,3311.0540377441407,3312.1123091522218,3310.087456399536,3317.862192803955,3310.2803580108643,3311.946999246216,3329.5737
32,3305.9517193328857,3310.9896755706786,3305.0414867889403,3306.0969582092284,3310.160249758911,3314.9680042755126,3315.592330027771,3312.773639727783,3308.8736820709228,3309.448610354614,3311.211124468994,3304.7795811187743,3299.099910784912,3312.4217987548827,3311.3438778411864,3308.807273913574,3310.9366055023193,3316.94404034729,3308.744146395874,3301.4093227874755,3292.0679
33,3290.764998135948,3304.2578366378784,3296.7328537086487,3292.3643568138123,3290.4224612096787,3302.74541789093,3295.225910005951,3292.196451840782,3293.2192813734055,3294.92359691658,3297.007672129059,3295.2120202163696,3291.479309497261,3293.27084046402,3288.022800741577,3293.633098659897,3296.2044308761597,3291.91430622139,3292.176140954578,3292.294254405284,3259.408
34,3265.3946919517516,3271.4769496994018,3276.6294221954345,3270.9460420684813,3272.047437675476,3274.7758436279296,3275.261995323181,3267.712699897766,3264.4601960258483,3267.6808700637816,3275.6591596679687,3265.438005931854,3263.754086502075,3270.9907054977416,3267.888281829834,3268.6133022384643,3268.415740974426,3267.9976673202514,3268.3580408172606,3264.7762770729064,3273.7549
35,3275.731419703865,3282.452189466858,3278.073335668945,3267.710987589264,3268.2808323120116,3276.8699019168853,3283.507721922302,3274.734789154434,3275.296519181633,3276.688817045593,3278.7486744140624,3272.3751360391616,3266.4898247932433,3280.853415510559,3271.344825289154,3278.698063394928,3273.3420440172195,3272.2143480991363,3273.453058144951,3269.4871154045104,3254.5283
36,3265.3913657196044,3265.172776890564,3268.4555117614746,3263.251900387573,3269.2582575805664,3263.606695843506,3263.199385357666,3260.8936960227966,3266.0941206939697,3264.8878237731933,3266.8174731262206,3267.9840132720947,3259.928696347046,3271.2422797210693,3265.160347653198,3272.5859190948486,3258.8801075942993,3260.626182270813,3260.3092648513793,3262.815750790405,3256.9263
37,3279.2280196655274,3286.3052730072022,3282.5013522613526,3278.996513317871,3283.592763851929,3280.8435248840333,3281.9746589172364,3278.224578808594,3280.604497860718,3280.966920803833,3278.3711890686036,3280.6689586151124,3267.9856757629395,3290.99283213501,3280.2273540008546,3291.9104384887696,3275.217914532471,3282.0938262451173,3284.581401776123,3280.3059520233155,3289.6419
38,3287.4912468761445,3290.752540525818,3285.7142180770875,3286.716217932129,3283.384029325867,3285.334566530609,3281.271311697388,3277.5065755218507,3287.3028780788422,3285.2230910629273,3283.4181594223023,3286.212465223694,3286.081728634262,3290.016505923891,3284.0515398353577,3290.64899605217,3285.4612359375,3282.947985586548,3285.573322710419,3283.919499334717,3271.6683
39,3265.919614640045,3275.1918469341276,3270.505496588516,3274.795893755722,3275.506161061096,3270.1561509044645,3260.3927300842283,3268.4011503131865,3270.154197898674,3271.1074922354696,3270.535809126663,3271.2652043672083,3271.818833542037,3279.4271911056517,3271.7413039849876,3276.1483496101378,3266.156922665405,3272.1480194004057,3269.4919310482023,3271.0560995610235,3288.4055
40,3290.3998336248396,3306.693004196167,3298.214375083923,3300.2126422576903,3300.561864440918,3296.387184207916,3289.3310435466765,3298.469944541931,3291.1194370441435,3296.8672776870726,3297.447905128479,3295.7514277153014,3293.239078586578,3307.886092727661,3298.864315574646,3301.1204457931517,3298.4748445205687,3299.3664146118163,3298.666861122131,3294.261294429779,3307.1656
41,3313.33824175415,3318.32030790863,3311.792053399658,3318.5470868927,3315.460739312744,3319.1997281890867,3310.8679003101347,3316.6372424942015,3312.170534310913,3318.1992627960203,3314.7442356925962,3316.5614587646483,3318.5702478271483,3322.534557519531,3313.158173261261,3315.9316369873045,3316.8091546875,3316.9504625183104,3316.635948358154,3316.1940557342527,3326.6992
