,1_times_lag5,2_times_lag5,3_times_lag5,4_times_lag5,5_times_lag5,6_times_lag5,7_times_lag5,8_times_lag5,9_times_lag5,10_times_lag5,11_times_lag5,12_times_lag5,13_times_lag5,14_times_lag5,15_times_lag5,16_times_lag5,17_times_lag5,18_times_lag5,19_times_lag5,20_times_lag5,test_percentage
0,-9.69762,-10.601174,-12.0155,-4.6242,-9.894569,-10.355977,-13.716754,1.0523306,-0.3708913,-11.358407,-10.562867,-8.079522,-13.482373,-5.4681845,-18.64279,-5.0621405,-13.431714,-2.060813,-17.624266,-16.3441,74.12900000000036
1,59.715218,71.02811,68.175354,74.67581,72.471794,70.29458,70.8679,69.5123,71.0504,75.190186,69.94487,74.779396,77.23972,68.39836,73.30155,71.4534,69.827095,70.95545,68.62817,72.134735,-236.8380000000002
2,-231.49655,-233.39107,-235.31274,-234.91275,-220.92119,-227.13281,-236.96669,-235.63213,-229.3667,-247.72421,-230.46999,-216.87238,-233.64963,-222.54004,-227.13075,-234.39505,-229.93488,-230.98941,-226.3481,-215.31096,61.41000000000031
3,52.957447,49.59917,59.067627,58.691883,47.86967,52.08157,47.128,58.538963,59.55577,56.378002,66.06915,55.072823,60.17058,65.25796,44.15846,57.432537,55.75664,67.38308,52.696285,47.047688,-169.70800000000008
4,-172.7081,-180.18298,-168.52756,-167.83054,-156.3732,-165.0046,-169.9989,-165.80547,-163.99323,-163.62207,-165.52112,-158.26805,-167.03505,-160.88348,-164.74496,-161.07697,-167.44997,-170.60065,-173.65059,-169.5243,6.156999999999698
5,7.006752,9.731729,2.1038897,6.902339,1.9768453,-10.281328,0.75792265,10.002549,9.395436,-1.8164359,4.9042425,8.379733,-0.12939778,12.215298,3.3720827,0.26152107,0.38944176,5.685903,2.6523902,3.083362,-73.26399999999967
6,-85.63739,-80.65824,-72.26524,-73.10889,-66.05857,-66.65755,-84.46447,-79.397026,-75.00801,-66.76997,-67.380295,-67.78756,-65.787704,-72.66191,-78.63422,-63.04808,-69.0467,-62.26195,-63.789814,-72.698204,58.052000000000135
7,52.988636,62.197372,54.660713,58.159756,52.23032,50.576466,52.30967,57.42064,56.886585,56.136234,52.51851,61.232227,52.294956,58.253654,55.44149,54.094837,49.849133,51.52297,54.47783,55.38342,-106.67900000000054
8,-113.361984,-111.0857,-102.76527,-104.474304,-98.65476,-99.782394,-107.87165,-111.21859,-107.39473,-103.51735,-103.205124,-100.51061,-101.2891,-107.15236,-108.751816,-101.84694,-99.84087,-101.07269,-102.594376,-103.07233,12.866700000000037
9,11.090733,16.734985,10.250569,15.236033,9.179616,3.192951,10.663688,14.690561,14.652669,9.867842,14.857624,12.340968,8.867599,15.272259,9.970338,12.860928,9.901923,12.554491,8.509581,10.750935,93.90260000000035
