,1_times_lag5,2_times_lag5,3_times_lag5,4_times_lag5,5_times_lag5,6_times_lag5,7_times_lag5,8_times_lag5,9_times_lag5,10_times_lag5,11_times_lag5,12_times_lag5,13_times_lag5,14_times_lag5,15_times_lag5,16_times_lag5,17_times_lag5,18_times_lag5,19_times_lag5,20_times_lag5,test_percentage
0,-17.364218,-29.435217,-22.26079,-58.29232,-33.490295,-56.9401,-68.99925,-35.44301,-30.81003,-49.78668,-26.505375,-30.990423,-36.113304,-25.566317,-28.309206,-35.142628,-42.45008,-39.94297,-43.675022,-48.779667,74.12900000000036
1,-90.95342,-95.132935,-96.12544,-106.25772,-96.808975,-143.69073,-112.9951,-108.89087,-105.45037,-107.52869,-103.91321,-91.52818,-101.03048,-98.93566,-96.49824,-95.25005,-106.12538,-103.672165,-114.76912,-108.194954,-236.8380000000002
2,-31.417942,-37.786484,-44.835457,-31.352097,-14.955473,-33.64659,-47.68075,-39.16244,-43.07281,-33.081913,-24.64815,-27.39281,-51.62477,-41.251038,-42.22732,-24.466581,-34.374924,-25.94643,-40.812042,-52.02226,61.41000000000031
3,23.714489,13.803401,6.1128964,-9.67362,-8.25834,-13.488648,-11.3537445,-7.528752,-8.016592,-14.003324,13.790267,26.2223,6.497639,25.83779,5.8327513,-7.1864686,-17.444042,12.973376,-7.849875,-24.829813,-169.70800000000008
4,-36.42709,-42.49889,-59.814545,-66.841545,-41.744213,-79.15065,-56.975338,-91.48516,-72.282166,-69.55934,-52.640366,-62.727882,-69.20349,-67.04242,-50.52508,-52.823215,-66.686646,-66.470795,-72.337105,-72.41883,6.156999999999698
5,-31.047804,-46.254635,-42.69256,-62.000057,-45.87902,-69.741356,-84.4218,-70.729324,-74.937645,-52.979637,-57.689323,-39.247623,-61.22606,-60.14618,-60.93098,-60.07149,-48.408722,-64.74484,-57.978775,-64.275505,-73.26399999999967
6,-6.406448,-3.1170402,4.135672,-25.663124,-16.748718,-16.924501,-5.1584835,-45.89812,-30.613598,-19.497526,-9.576286,2.4097316,-40.44547,-18.75491,-8.598029,-22.558535,-27.174318,-19.778114,-13.685027,-21.381475,58.052000000000135
7,-39.76242,-41.601765,-40.271935,-57.683422,-45.923412,-61.68917,-74.94431,-66.7393,-65.05514,-48.558308,-49.37329,-45.43803,-59.770668,-56.09866,-56.17821,-54.71614,-39.900127,-53.37497,-56.76832,-57.66448,-106.67900000000054
8,-41.88607,-39.119717,-36.835308,-61.19241,-44.46218,-47.069466,-39.116165,-64.06787,-56.954727,-53.785698,-48.785835,-33.811733,-67.52917,-57.20908,-51.372368,-53.04965,-46.87186,-44.558197,-49.411537,-57.184402,12.866700000000037
9,-25.781778,-25.368088,-11.534632,-27.46688,-24.103373,-25.081177,-43.603348,-37.38834,-36.364864,-30.016193,-17.146223,-31.243998,-30.932821,-33.96324,-37.84522,-35.10971,-14.709529,-34.44151,-33.97381,-30.409992,93.90260000000035
