,1_times_lag3,2_times_lag3,3_times_lag3,4_times_lag3,5_times_lag3,6_times_lag3,7_times_lag3,8_times_lag3,9_times_lag3,10_times_lag3,11_times_lag3,12_times_lag3,13_times_lag3,14_times_lag3,15_times_lag3,16_times_lag3,17_times_lag3,18_times_lag3,19_times_lag3,20_times_lag3,test_value
0,3276.9917912826536,3273.0675893173216,3282.9287605628965,3271.8007369384763,3280.6796408042906,3279.662920509338,3283.1662497863767,3286.2913155899046,3269.29925302124,3275.022897277832,3281.6389356002805,3278.8822770462034,3279.649410758972,3282.15445998764,3268.691390548706,3269.4765487060545,3280.509828601837,3273.4520268783567,3287.29645088768,3276.9541201934812,3361.84
1,3437.669475402832,3430.9913442993166,3436.5442388916017,3426.8035238647462,3428.47680267334,3428.8114126586916,3435.831394042969,3434.180644836426,3435.1996115112306,3437.093776550293,3432.1310232543947,3429.55354675293,3435.9060934448244,3434.608478393555,3430.867801513672,3433.6459310913087,3428.7889059448244,3435.9808462524416,3453.0781744384767,3429.034305419922,3125.002
2,2893.8825236816406,2894.1263896484375,2893.7182322998046,2894.754502441406,2892.4694682617187,2894.8505565185546,2889.7829448242187,2884.4687358398437,2899.4100810546875,2891.132096435547,2899.7580577392578,2886.860367919922,2888.665116455078,2902.401200439453,2897.1502696533203,2881.1657268066406,2893.967148925781,2882.2296916503906,2888.749375488281,2894.717347290039,3186.4120000000003
3,3239.3211796875003,3241.924516021729,3251.646527587891,3241.797879516602,3247.4822476501467,3238.3028996582034,3244.739518463135,3247.63620501709,3233.9155247802737,3242.6628659362796,3248.547093688965,3245.864529907227,3247.069985687256,3247.9583333129885,3240.086728393555,3240.0769551391604,3246.0308011169436,3241.114976226807,3254.844472229004,3247.2896168823245,3016.704
4,2856.554509643555,2848.242772583008,2853.8105826416017,2845.85162878418,2841.920751098633,2846.82526159668,2852.0061392822267,2851.8893942871096,2856.44000769043,2847.764760498047,2851.457646850586,2844.0450949707033,2851.29694128418,2857.3205618896486,2848.980031494141,2837.6289114990236,2854.6515402832033,2837.001821044922,2860.7406973876955,2848.548436645508,3022.861
5,3026.560383020401,3029.5069951400756,3031.9862136230468,3025.6435846672057,3027.957831321716,3026.588465867996,3029.303280769348,3029.080139575958,3019.268817840576,3026.220718799591,3028.115069328308,3027.941778121948,3027.9760979995726,3031.183826385498,3021.1091867074965,3024.4774689064025,3031.070934234619,3024.831818519592,3031.0537108764647,3030.433471618652,2949.597
6,2880.9763106079104,2872.888015625,2879.9811552734377,2873.741157409668,2871.9188231201174,2876.1055906982424,2878.2334517211916,2879.385612365723,2878.5611418457033,2877.5132368774416,2880.9666060180666,2876.351135131836,2879.569869873047,2878.497932312012,2873.594581481934,2871.3774641723635,2882.155952331543,2874.6368254394533,2886.8308371276858,2875.050536987305,3007.6490000000003
7,3061.5555818786625,3060.4871080627445,3066.173925231934,3062.4228571166996,3067.7217119445804,3063.2448480834964,3064.247659515381,3063.070829223633,3059.879590820313,3062.980035614014,3066.6564729919437,3065.4444864501957,3065.0831583251957,3066.2411020507816,3063.8471735229496,3060.84634954834,3064.013437103272,3063.945165466309,3071.3774431457523,3065.751321624756,2900.97
8,2798.6953646850584,2794.685782165527,2797.0936419677732,2796.5176608276365,2794.634268493652,2796.5037600708006,2795.770552368164,2794.0838687133787,2799.2189166259764,2793.4485842895506,2796.6601550292967,2791.850744934082,2796.4674822998045,2801.864981384277,2797.6536624145506,2789.4744631958006,2796.9541537475584,2790.3707186889646,2797.6743533325193,2797.712088317871,2913.8367
9,2924.4603190795897,2925.849471606445,2928.456010379028,2925.998813189697,2927.38002447052,2923.5216908828734,2925.823386706543,2926.4456544296263,2920.7153487579344,2925.0637612716673,2925.5300250427244,2926.03645566864,2925.6851897613524,2927.9671235458372,2922.0400290863035,2924.220998324585,2927.042634524536,2924.9649234191893,2928.425099887085,2927.569960154724,3007.7393
