,1_times_lag5,2_times_lag5,3_times_lag5,4_times_lag5,5_times_lag5,6_times_lag5,7_times_lag5,8_times_lag5,9_times_lag5,10_times_lag5,11_times_lag5,12_times_lag5,13_times_lag5,14_times_lag5,15_times_lag5,16_times_lag5,17_times_lag5,18_times_lag5,19_times_lag5,20_times_lag5,test_value
0,3270.346782241821,3258.2757830963133,3265.450210128784,3229.418679748535,3254.2207045898435,3230.7708983764646,3218.711747680664,3252.267991577148,3256.9009700164793,3237.924321685791,3261.2056250915525,3256.720576797485,3251.597695861816,3262.1446833953855,3259.4017939910887,3252.5683722839353,3245.2609191284178,3247.768029724121,3244.0359778747556,3238.931333099365,3361.84
1,3270.8865774536134,3266.7070654296876,3265.7145574951173,3255.5822790527345,3265.0310247802736,3218.149265136719,3248.844898071289,3252.949130859375,3256.389629211426,3254.3113134765626,3257.9267919921876,3270.3118170166017,3260.809520568848,3262.904338684082,3265.341762390137,3266.5899465942384,3255.7146185302736,3258.167835083008,3247.070880737305,3253.645046081543,3125.002
2,3093.584057952881,3087.2155162353515,3080.1665431518554,3093.6499034423828,3110.046527053833,3091.3554088134765,3077.321248199463,3085.839558746338,3081.929188873291,3091.920087005615,3100.3538505096435,3097.6091891784667,3073.377228881836,3083.7509624023437,3082.774678375244,3100.5354186553955,3090.6270762939453,3099.055569793701,3084.189957763672,3072.979741241455,3186.4120000000003
3,3210.1264889831546,3200.2154009933474,3192.5248964424136,3176.7383797760012,3178.1536601181033,3172.9233515853884,3175.0582554931643,3178.883248149872,3178.3954079742434,3172.4086764450076,3200.202266990662,3212.634299575806,3192.90963917923,3212.2497895355227,3192.244751274109,3179.2255313987735,3168.9679577941897,3199.385376274109,3178.562125026703,3161.58218699646,3016.704
4,2980.276910308838,2974.2051100769045,2956.889455322266,2949.8624548950197,2974.959786895752,2937.553349975586,2959.7286620178224,2925.2188391723635,2944.4218344726564,2947.144658569336,2964.0636343994142,2953.9761176147463,2947.5005087890627,2949.6615805664064,2966.1789183654787,2963.880784515381,2950.0173544921877,2950.233205322266,2944.366895202637,2944.285169128418,3022.861
5,2991.8131961212157,2976.606365142822,2980.1684417114257,2960.860942779541,2976.981979309082,2953.119644104004,2938.439201293945,2952.1316756591796,2947.923355041504,2969.881362854004,2965.171676574707,2983.6133765563964,2961.634941040039,2962.714820800781,2961.930019317627,2962.789508758545,2974.4522780761718,2958.116157470703,2964.882224975586,2958.585494934082,2949.597
6,2943.1905521125796,2946.479959842682,2953.732672092438,2923.9338759155276,2932.8482817382815,2932.672498580933,2944.438516494751,2903.6988791198733,2918.983402130127,2930.099473831177,2940.0207136840822,2952.006731626511,2909.1515310974123,2930.8420904846193,2940.9989708633425,2927.038465377808,2922.4226816864016,2929.8188856811526,2935.9119728775026,2928.215524551392,3007.6490000000003
7,2967.8865793457035,2966.0472353210453,2967.377065490723,2949.9655779113773,2961.7255876770023,2945.959829162598,2932.704686950684,2940.909696411133,2942.593862365723,2959.0906923522953,2958.2757089843753,2962.2109697570804,2947.878331970215,2951.5503404846195,2951.470788787842,2952.93285925293,2967.7488725891117,2954.2740305175785,2950.880681823731,2949.9845216979984,2900.97
8,2859.083929748535,2861.8502833557127,2864.1346919250486,2839.777590484619,2856.507818908691,2853.9005343627928,2861.853834838867,2836.90212890625,2844.0152728271482,2847.184302062988,2852.1841647338865,2867.15826675415,2833.440832824707,2843.760920257568,2849.597632141113,2847.9203517150877,2854.0981394958494,2856.4118029785154,2851.5584628295896,2843.7855975341795,2913.8367
9,2888.0549216644285,2888.468612231445,2902.302068270874,2886.36981920166,2889.7333274261473,2888.7555232421873,2870.2333522216795,2876.448360003662,2877.4718356506346,2883.8205066101073,2896.6904769317625,2882.5927024261473,2882.903878726196,2879.8734584228514,2875.9914813415526,2878.7269893066405,2899.127171076965,2879.3951907531737,2879.8628917114256,2883.4267077819823,3007.7393
10,2962.797031628418,2965.9421160095217,2990.85817550354,2958.6377260559084,2956.1066896789553,2965.758754956055,2968.029709088135,2953.369209515381,2967.8521425598146,2978.594188916016,2974.5333216064455,2980.0910017364504,2961.9644281738283,2963.853626477051,2964.5858690612795,2955.9497797363283,2976.504240261841,2962.435112225342,2969.3132250183107,2967.5057451599123,2976.6938
11,2948.267316845703,2965.748498944092,2974.7028519189835,2949.3886471069336,2956.9464721954346,2969.4933386123657,2952.23357394104,2952.5319118774414,2955.0317611968994,2969.151060131836,2965.8615598953247,2968.1784506118775,2952.9581127441406,2962.8635635650635,2955.8567524230957,2963.8432283676148,2969.2625351226807,2967.1596069610596,2956.9217891967774,2946.9541721618652,2880.4816
12,2934.87857265625,2935.0795766845704,2966.3699056640626,2944.6432439819337,2927.525068475342,2952.267488671875,2943.769384576416,2936.8845273986817,2941.5405599609376,2946.7856618896485,2948.426653100586,2947.240099145508,2936.811834527588,2938.761240197754,2945.9278661743165,2950.090875817871,2932.98599453125,2950.4446126953126,2941.606756402588,2929.689603997803,2916.5624
13,2840.1141578125,2844.920828955078,2852.6924659179685,2835.6717444824217,2846.3636542724607,2843.1885901855467,2835.0292197631834,2828.2931510375975,2845.492034094238,2843.616904394531,2850.1413642333982,2840.9533912109373,2840.419577734375,2849.45822824707,2846.767150061035,2841.761107580566,2837.8949271606443,2830.2424384521482,2839.0063697265623,2830.545256750488,2938.5149
14,2781.1619336914064,2782.6302106689454,2793.265342504883,2767.754112036133,2798.05315378418,2762.510963232422,2761.197776586914,2761.8618696044923,2780.396980078125,2793.92163828125,2786.9939802001954,2787.9264142822267,2772.180640966797,2775.2202985595704,2787.048057348633,2786.025398046875,2784.1207044433595,2769.2469709228517,2771.6902387451173,2768.973106176758,2749.7854
