,1_times_lag4,2_times_lag4,3_times_lag4,4_times_lag4,5_times_lag4,6_times_lag4,7_times_lag4,8_times_lag4,9_times_lag4,10_times_lag4,11_times_lag4,12_times_lag4,13_times_lag4,14_times_lag4,15_times_lag4,16_times_lag4,17_times_lag4,18_times_lag4,19_times_lag4,20_times_lag4,test_percentage
0,-4.05943,-0.2102392,-2.6089973,-3.04996,-1.3634751,-1.8607432,-2.5327113,-2.863084,-4.358141,-3.1544614,-2.5272925,-3.2055,-3.2849164,-1.1287285,-1.2314867,-2.3669827,-2.8797545,-4.630261,-3.9980617,-2.8945146,15.612999999999829
1,-17.939535,-19.609419,-18.54672,-18.734306,-17.360838,-18.22364,-17.683193,-21.52208,-19.930634,-18.558237,-18.786766,-16.509623,-19.797354,-18.565195,-17.31817,-18.18101,-19.406843,-20.746492,-18.563282,-19.265387,-22.18100000000004
2,-4.585826,-2.8964508,-3.0904143,-1.3157309,-2.4112089,-4.30602,-3.5604653,-4.421236,-3.3460755,-2.775526,-3.9235997,-2.893119,-2.6548338,-4.5770206,-2.6064734,-4.396063,-5.967497,-5.196542,-6.018829,-3.4369888,-9.434999999999945
3,-17.936321,-14.765075,-15.786284,-19.131296,-17.130554,-19.047125,-18.595142,-18.544346,-17.934334,-15.628939,-15.786229,-20.611574,-17.024256,-19.751524,-12.672895,-18.245077,-19.240433,-18.177645,-19.087027,-18.132235,-33.33199999999988
4,-3.0423446,-2.0267668,-0.6875913,-1.2486787,1.1868781,-0.7288858,-1.2153643,-0.011677003,-1.7541734,-0.784184,-0.38441607,0.01972095,-0.03687495,-2.483911,0.3671341,1.8305081,-2.9222777,-0.22318183,0.37968832,0.4899667,9.821999999999662
5,8.475814,11.921888,10.5939665,11.058111,11.181271,9.899215,12.031575,9.294303,8.923136,9.879543,10.78338,10.794374,12.626639,11.133374,13.224665,10.70542,10.263622,10.411336,10.83293,13.561797,-2.618999999999687
6,15.331352,14.184019,14.194438,14.404982,15.630967,14.067079,16.395006,15.165072,11.013996,12.433895,13.68942,13.18843,14.846942,13.201732,15.573369,15.520924,12.8133545,14.9934435,15.238819,15.081432,10.710999999999785
7,-4.234669,-5.193831,-6.7075653,-3.322905,-3.1641812,-5.4100423,-2.7077193,-4.1207266,-4.424846,-4.1528435,-6.587879,-2.3041096,-4.012647,-5.269667,-3.9094865,-4.7691035,-6.0739617,-3.9553683,-5.7100744,-4.674702,-11.449999999999818
8,2.7772126,1.3532237,2.5117924,1.4452219,4.378815,3.6858196,2.7330737,3.8488388,2.1387315,2.4391491,2.8357759,2.851423,3.7180545,0.6951785,4.166978,4.0047903,1.2816969,3.277027,2.4587896,1.8109506,15.704999999999927
9,3.659772,7.0852575,6.043832,5.956045,7.872228,6.005817,7.357259,6.274111,5.002479,5.3874083,5.293985,5.348829,7.7081814,6.0241785,8.378897,6.5662427,4.5316,6.908874,7.26771,7.1102033,1.181999999999789
