,1_times_lag5,2_times_lag5,3_times_lag5,4_times_lag5,5_times_lag5,6_times_lag5,7_times_lag5,8_times_lag5,9_times_lag5,10_times_lag5,11_times_lag5,12_times_lag5,13_times_lag5,14_times_lag5,15_times_lag5,16_times_lag5,17_times_lag5,18_times_lag5,19_times_lag5,20_times_lag5,test_percentage
0,-8.870468,-7.7281833,-6.634803,-7.0274057,-8.968972,-9.727271,-10.316931,-8.611258,-8.636365,-6.6924934,-7.005436,-7.9900002,-7.618447,-8.009009,-9.6040745,-10.038613,-8.241374,-7.783337,-7.5035267,-7.4450517,15.612999999999829
1,-23.82347,-23.021936,-20.832531,-22.31276,-23.096432,-24.342966,-22.84171,-22.946756,-24.487137,-21.388891,-22.398802,-23.608686,-24.483212,-24.939434,-24.342823,-23.422995,-21.173498,-22.000473,-24.690712,-22.763288,-22.18100000000004
2,-17.424717,-16.465855,-15.762714,-15.489534,-16.835346,-17.868166,-16.217916,-16.550735,-16.248743,-15.063449,-15.49689,-17.09825,-17.296375,-15.223984,-18.92928,-17.277449,-16.283077,-15.3119335,-15.667142,-14.635094,-9.434999999999945
3,-29.86499,-27.298393,-29.314219,-28.205498,-29.039799,-31.295176,-29.114075,-27.770052,-29.380524,-29.134274,-29.990986,-29.111185,-29.454239,-27.967648,-29.94666,-28.729687,-27.988321,-28.811686,-29.2796,-29.40034,-33.33199999999988
4,-5.5559044,-6.943496,-7.252192,-5.8716106,-7.3210487,-8.1868105,-5.6971865,-6.9845757,-6.417725,-5.514024,-7.3575277,-5.257411,-7.6753755,-4.9639397,-7.94321,-6.411747,-8.36266,-3.8927312,-6.704929,-6.5630426,9.821999999999662
5,8.796366,8.673068,7.6100307,8.335139,6.453819,7.5408196,8.464446,8.314358,9.297647,8.845467,7.526662,10.397702,8.126941,8.800659,6.883636,9.03534,8.7350445,9.313831,7.3102393,9.128413,-2.618999999999687
6,7.9735155,7.8451395,7.9343143,8.116705,7.214159,7.4187326,7.6086154,7.0667553,8.412801,7.929098,7.0832157,8.963277,7.800144,8.382278,7.7115245,7.82021,8.832265,8.042652,7.4291654,8.897745,10.710999999999785
7,-6.050491,-5.9725637,-4.8535776,-6.28873,-7.011077,-6.2316937,-5.307921,-6.3248696,-5.131444,-4.738545,-5.0449,-4.825643,-4.5993686,-5.6710644,-7.1838913,-6.2524877,-5.1581736,-5.6312594,-6.030471,-5.137619,-11.449999999999818
8,6.301178,6.74459,6.223337,7.107781,6.176179,6.445283,6.1964912,6.2469835,6.529806,6.8584146,6.2629647,6.6502304,5.52118,6.1870265,6.3939734,5.750648,6.7473035,6.798192,6.810198,6.3975987,15.704999999999927
9,9.059784,10.810166,9.941813,9.576102,9.270326,9.81178,10.046097,10.602715,10.128563,9.683834,10.172079,10.812327,10.0296755,9.987375,9.021835,9.609216,10.9704485,10.08907,8.860483,9.551311,1.181999999999789
10,6.926814,7.572467,6.9313874,7.428358,6.32723,6.428443,6.289962,6.822844,6.982025,7.5450277,6.2148657,7.548286,6.5701528,6.8404655,7.500972,6.2113795,8.336068,7.305172,6.78249,7.2502666,14.860000000000127
11,1.707046,1.7604196,1.6396171,1.0297897,1.1207335,1.3989811,2.1763358,2.0480375,1.9508071,2.4634805,1.9485344,2.0047235,2.173111,1.8510423,1.6211479,1.1162263,2.0592825,2.130073,1.0895092,1.4145651,-0.5590000000001965
12,5.4341373,5.456938,5.271007,5.7770724,5.16702,5.3216257,5.3239226,5.2893357,5.33948,5.5063357,5.568601,5.2737284,4.703476,5.5972705,6.0073953,4.9395375,5.626889,4.981621,5.2335196,5.5675073,6.3080000000004475
13,5.1233172,5.122342,4.602475,4.911398,5.2042828,4.293063,5.2733054,5.3720164,4.623471,5.1825233,4.8303566,4.8845506,4.5802135,4.7901316,4.644166,5.001063,4.550215,4.6462054,3.6734858,4.434636,9.324999999999818
14,-1.406323,-1.1971818,-2.301533,-0.84953004,-2.3232431,-2.597544,-2.3222778,-1.7302355,-1.96504,-1.9890052,-2.3360941,-2.1447098,-2.4081852,-1.8073237,-2.0910616,-1.8993206,-2.2542813,-2.1766593,-2.7581625,-2.0664344,-1.4969999999998436
15,1.6023526,0.9169104,1.2787604,1.0873259,0.7561691,0.9704208,0.9939124,0.8677954,0.82918274,1.5082532,0.82770693,1.1738887,0.5123364,1.2659904,0.56437814,0.22104335,0.21994367,1.0207924,0.8178495,1.1604445,-2.406000000000404
16,-4.7904882,-4.598072,-4.627954,-4.679708,-4.2342033,-5.2108617,-4.775061,-4.801273,-4.5496197,-5.12443,-5.2066903,-5.5891385,-5.2709374,-4.987652,-4.4155946,-5.1348023,-5.579507,-5.254989,-5.339467,-5.2689195,4.1840000000001965
17,-17.965229,-17.787384,-18.134972,-17.908466,-18.776459,-18.506453,-18.937359,-18.374178,-18.694962,-18.598753,-18.326729,-18.763344,-18.753565,-18.988575,-18.373348,-17.861452,-18.4353,-17.854221,-19.034431,-18.631472,-31.76299999999992
18,-6.8663697,-6.915593,-6.146654,-6.653443,-7.4716926,-7.5794992,-7.5357127,-7.213546,-7.7068105,-6.873929,-6.819785,-7.3940496,-7.6608915,-7.8379884,-7.789309,-7.8405886,-6.9824667,-6.426024,-7.001039,-6.7283254,-5.862999999999829
19,-0.83282447,0.58694816,0.38847244,0.119378135,-0.47392103,-0.6433931,-0.31729302,-1.060357,0.22005738,-0.36367074,-0.64587355,0.04353659,0.39550397,-0.32931748,-0.27278054,-0.8443582,-1.4588629,0.9404283,0.20534807,-0.6149043,5.161999999999807
20,0.8550378,1.7270646,2.1042113,2.0206008,-0.15536672,1.1562903,0.8233255,0.05327791,0.33791935,2.157503,1.4111928,1.4020598,0.9973997,1.3775616,2.2097955,1.3812213,2.1158204,1.9481063,1.8203149,1.8552921,23.748999999999796
21,-2.7453518,-3.9636283,-2.2236414,-3.502737,-4.48862,-2.9644156,-4.2917647,-4.56843,-4.180416,-2.6535041,-3.5871902,-4.139718,-3.0341825,-4.1681843,-4.747912,-4.081663,-3.3289747,-2.0294685,-4.106142,-4.1980047,3.218000000000302
22,-2.8277636,-2.3859868,-2.8158317,-1.7282902,-3.1499968,-4.0738015,-3.8185678,-4.5291767,-3.7502377,-3.3540082,-3.0483317,-3.1704261,-3.8219497,-3.5902402,-4.264597,-4.2340956,-3.2358046,-2.286799,-2.9495754,-2.085051,-4.108000000000175
23,-2.431433,-0.19566095,-3.0208755,-2.4639213,-2.9505727,-2.8654451,-1.551999,-2.963768,-3.3434145,-2.0195198,-3.5123959,-3.003529,-2.2591999,-1.3623188,-3.725625,-2.1433349,-1.9728756,-1.5869592,-2.1473622,-1.6297233,-13.800000000000182
24,1.333781,2.5742965,3.17939,2.268292,2.3292387,0.32517877,1.554146,0.9691421,1.7684451,2.6906872,1.182462,2.04635,1.7497342,2.4695652,1.6272385,2.692985,2.3061137,2.5837889,1.8802376,2.7374887,7.076000000000022
25,4.020516,5.399542,6.2857065,6.4414372,4.6880803,4.5338335,5.154697,4.648296,4.491409,6.1510496,4.918926,5.8567576,4.7594376,4.026841,4.2835155,4.899287,4.560541,6.1772037,5.2717123,5.3768597,2.1510000000002947
26,18.085073,19.458748,18.881891,19.538462,17.68474,18.85299,18.784899,18.15453,18.685751,18.872007,18.53232,18.306046,17.777887,18.76357,18.646027,18.608078,18.68091,19.354286,18.307522,18.632505,26.402999999999793
27,14.461069,14.52091,15.76197,14.536495,14.846263,14.466074,15.59254,14.485889,14.830924,14.643965,14.6198435,14.515122,15.476487,15.265746,14.613578,15.727694,14.871551,15.710567,14.863172,14.187189,5.135000000000218
28,23.735767,24.837872,25.218546,24.420162,23.590714,25.227028,24.364067,23.946785,24.078514,25.007607,24.915752,24.752985,23.477558,25.064577,24.992052,24.8013,25.657005,25.520325,25.235062,25.009823,39.18199999999979
29,32.71752,33.448666,33.5707,32.54241,32.463737,33.88077,33.60456,33.765045,33.077217,33.62216,32.473904,32.797123,33.126232,33.27771,33.807335,34.05876,33.66189,35.432335,33.354458,32.386913,23.43899999999985
30,48.405483,49.670677,50.04187,49.528027,48.41888,50.244865,48.558907,49.04115,49.40529,50.065933,48.726463,49.53545,47.972343,50.556732,50.936626,49.33852,51.00599,50.129227,49.429985,49.637543,63.44300000000021
31,28.906002,29.404476,30.696789,28.688131,30.096916,28.791346,30.035168,30.042654,29.899813,30.090054,28.021358,30.354149,29.672281,30.071455,30.557158,29.903624,31.757034,31.534788,29.275927,29.608152,7.472000000000207
32,27.569668,28.039106,27.70128,27.124174,28.371634,27.101854,27.723148,28.822443,28.230093,28.002193,27.129217,28.949743,25.924528,29.031507,29.09889,27.663166,30.305143,29.188591,27.551964,29.166904,-9.358000000000175
33,16.061598,16.406528,15.075652,14.7472925,17.13719,14.855093,15.951166,19.242004,16.835821,16.538317,12.893032,15.717838,16.372349,16.558064,15.795459,16.969059,15.126428,16.393871,15.383929,16.020708,28.240000000000236
34,-4.849803,-4.888107,-3.6162138,-5.0387864,-5.4928746,-4.0437174,-5.6698065,-3.5795681,-3.9596496,-5.2150035,-4.973981,-5.7684183,-4.3015676,-3.4207778,-2.897518,-2.0247133,-4.926667,-4.724985,-3.841527,-3.576151,-20.84900000000016
35,19.310188,19.77146,19.028948,18.712233,17.652952,18.88221,18.469227,20.51432,17.860792,20.529171,17.75196,19.247128,17.54555,19.786903,17.28145,19.822216,21.051506,18.147913,17.112963,18.637833,46.21799999999985
36,14.488526,11.956592,14.637989,14.243012,13.665891,13.249805,16.208023,11.6054945,14.430292,14.61762,12.799668,14.510254,14.051024,15.788683,13.334339,15.086179,12.180409,14.4283905,14.673997,13.408275,-6.266999999999825
37,-1.531106,0.5082352,-0.31237996,-0.47530866,0.28366306,-1.7000508,-0.31172803,-1.848197,-0.81850326,-1.8562143,-0.004034698,-1.7354074,-3.281371,-0.7747513,0.0017788708,-1.6608462,1.5783062,-1.5424839,-1.387784,-0.82463026,-6.132000000000062
38,-27.68917,-29.024883,-26.673761,-27.848082,-25.957699,-28.775074,-26.535519,-27.429316,-27.461021,-25.705349,-25.242758,-27.990196,-29.362856,-26.875238,-29.532616,-27.046638,-26.731396,-26.153706,-27.946297,-27.681004,-35.76399999999967
39,1.0473813,2.2483745,2.0043757,3.43002,2.2604597,0.883378,1.6263167,0.49142954,1.9880648,1.780459,0.8366188,0.6188555,-1.0721819,1.0943401,1.6270498,2.6324859,2.7514915,3.318081,1.8648149,0.8928351,3.67699999999968
40,18.675974,18.857342,19.349415,20.313358,17.056143,18.157919,18.51574,18.605026,18.558474,20.31134,18.54146,18.953526,18.830498,20.012405,17.461716,20.490915,20.214268,17.763973,17.906464,18.732237,34.215000000000146
