,1_times_lag5,2_times_lag5,3_times_lag5,4_times_lag5,5_times_lag5,6_times_lag5,7_times_lag5,8_times_lag5,9_times_lag5,10_times_lag5,11_times_lag5,12_times_lag5,13_times_lag5,14_times_lag5,15_times_lag5,16_times_lag5,17_times_lag5,18_times_lag5,19_times_lag5,20_times_lag5,test_percentage
0,21.277308,22.447306,21.585112,22.268742,21.954582,22.73048,22.668112,21.250292,22.269182,21.552107,21.65075,22.9496,21.985685,22.3603,21.486586,21.516987,20.80329,22.515394,21.570562,22.577686,15.612999999999829
1,15.405053,16.390844,14.901602,14.634341,15.246744,15.704064,15.666083,16.417141,15.517017,15.70282,16.524662,14.563916,15.766863,14.824474,15.339444,15.375751,14.535303,15.237702,16.47519,15.4799385,-22.18100000000004
2,-22.194044,-20.115852,-22.264973,-20.268145,-20.824492,-20.990406,-20.70669,-22.513372,-20.033756,-21.346594,-20.592342,-21.572016,-22.088781,-19.859589,-20.79106,-21.871237,-21.109709,-21.817787,-21.260841,-21.860264,-9.434999999999945
3,-8.903618,-8.653778,-8.8995,-8.464654,-10.545043,-8.626067,-8.095122,-9.059984,-8.8762,-8.971361,-10.401892,-9.15262,-8.202068,-7.9435263,-9.065525,-8.785954,-8.782614,-9.094887,-9.209389,-9.044985,-33.33199999999988
4,-31.988832,-32.054916,-32.566658,-32.599953,-33.258347,-32.566593,-33.764782,-32.93983,-32.8126,-34.043873,-31.68986,-32.523323,-31.709766,-34.56787,-32.497234,-33.169113,-31.249657,-31.383759,-32.041523,-33.068733,9.821999999999662
5,9.633934,10.461163,8.654363,10.465319,10.405371,9.567669,9.606875,10.678379,9.480657,9.4362545,10.007732,9.911885,9.614841,9.545407,9.421535,9.984442,7.6171975,8.460796,9.430896,9.915604,-2.618999999999687
6,-2.1863368,-1.8636693,-2.356561,-3.8470113,-2.8539164,-2.4683707,-2.1264634,-2.3692446,-1.9285194,-2.584173,-1.2859143,-2.952974,-2.334656,-2.7173018,-2.9385066,-1.7051383,-3.4936852,-1.6999452,-2.9795794,-2.697011,10.710999999999785
7,10.696866,10.611126,11.304497,9.957249,10.845616,10.91634,9.770677,10.729828,11.597041,10.736543,11.099334,10.089398,9.926742,10.150573,10.807967,11.16961,9.6916065,10.516438,9.869743,10.734083,-11.449999999999818
8,-11.692296,-11.873727,-12.050746,-10.540446,-10.754158,-10.940001,-10.2799015,-12.599981,-10.643297,-11.751327,-9.455381,-12.547158,-11.762936,-10.48424,-11.857438,-11.100341,-11.603792,-11.983217,-11.57165,-10.521125,15.704999999999927
9,14.877779,14.894426,15.742439,15.269996,15.707968,15.789634,15.022909,15.512691,15.249658,15.561503,14.913729,15.49199,15.102484,14.90556,14.934298,15.10465,14.1653385,15.180971,14.462439,15.85901,1.181999999999789
10,1.2916485,0.9904967,0.50556034,0.8942697,1.2975829,1.809301,1.1869355,1.071355,1.4121871,1.3473728,1.0742575,0.28633124,1.6162738,0.62909144,1.3942649,0.63623816,0.8625858,1.284212,1.6996539,1.6988059,14.860000000000127
11,14.292514,14.456792,14.631114,13.842593,15.046329,14.342955,13.862635,14.861541,14.292007,14.27225,15.139622,14.222529,14.506874,13.79433,13.922375,14.033159,13.321199,14.1726055,13.994738,15.030781,-0.5590000000001965
12,-1.0538961,-0.9537429,-1.1939622,-0.042491384,0.2806032,-0.39059433,0.0011996366,-0.8237227,0.1523805,-0.77575386,-0.08321392,-1.3517585,-0.5371608,-0.21772358,-0.58325595,-1.037779,-0.8615501,-1.0768586,-0.25661832,-0.21942694,6.3080000000004475
13,5.627858,6.2460837,5.730164,5.941268,5.8308325,5.7649927,5.70019,6.3303404,6.177577,5.8294277,6.7164035,5.8324614,6.2977724,6.184538,5.537997,6.2705665,5.3644137,5.2583795,6.48538,6.609955,9.324999999999818
14,8.647296,8.916029,8.791705,8.869677,8.920317,9.154991,9.858125,9.102422,9.129792,8.573355,8.746075,9.3138895,9.022105,8.717469,9.119078,8.560154,8.479401,8.994238,9.086895,9.131752,-1.4969999999998436
15,-1.6598414,-0.9270993,-1.4498876,-1.2923543,-1.632328,-1.6022612,-1.6422938,-1.502059,-1.2318516,-1.3497531,-0.98475003,-1.86275,-1.8931489,-1.4500016,-1.1813638,-1.1348768,-1.6062347,-1.453854,-0.8891096,-1.1079706,-2.406000000000404
16,-2.3867865,-2.3500063,-2.6588545,-2.4427285,-2.702247,-2.2603562,-1.9137036,-2.515842,-2.3993907,-2.5261676,-2.3830988,-2.8748794,-2.1984744,-2.249427,-2.0945892,-2.18348,-2.6987152,-2.7661695,-2.3888953,-2.672738,4.1840000000001965
17,4.109108,4.2339215,4.2227793,4.364525,3.7954888,4.03409,4.2903214,4.3291903,4.0714216,3.7574437,3.8817518,4.2343445,4.25452,3.9818592,4.201448,4.3338447,3.9079483,4.2480326,4.3489795,4.0937996,-31.76299999999992
18,-30.700361,-29.553068,-31.606104,-30.008907,-30.868673,-31.065948,-31.03821,-31.78509,-29.9788,-31.244091,-30.495907,-31.013033,-30.748995,-30.345245,-30.358206,-31.560644,-29.996815,-30.022434,-30.998737,-31.129839,-5.862999999999829
19,-5.264496,-5.9870954,-6.2288966,-5.3361855,-6.442477,-6.4440985,-5.828535,-5.227419,-5.0762496,-5.341291,-6.2435446,-5.131066,-5.6111484,-5.729684,-5.8380146,-5.515554,-5.768349,-5.6264515,-5.6398644,-6.0019517,5.161999999999807
20,5.7496347,5.1299887,4.8841004,4.4857593,4.582094,5.6460214,5.4983864,5.062012,5.5663886,4.6848636,5.4733114,5.1592607,5.0443916,4.070956,5.1323195,5.5523543,4.935359,5.3647203,4.6581335,4.843851,23.748999999999796
21,25.02935,23.893991,23.574476,22.067055,24.03257,24.164825,23.670208,25.062887,24.437754,23.526976,23.826366,23.669348,23.294222,22.248512,23.911167,24.7358,22.180134,23.643915,23.076147,23.690357,3.218000000000302
22,2.7100887,2.036094,2.9310315,3.0580869,4.0082016,3.37218,3.3605232,1.8295643,3.6535254,2.939082,3.4249947,2.3442206,3.294177,3.8515782,3.3147378,4.2704883,2.6605558,4.0055985,3.5635226,3.85218,-4.108000000000175
23,-4.6101336,-4.4531927,-4.864591,-3.7423444,-4.0852284,-3.4275453,-3.1277614,-4.244749,-4.1124754,-3.9011881,-4.132711,-4.8777614,-4.478409,-3.3904598,-4.043269,-3.881857,-4.648336,-4.6688848,-4.43328,-4.145523,-13.800000000000182
24,-13.89189,-13.1963825,-13.595321,-13.9931965,-14.214973,-13.168509,-13.10679,-13.305541,-12.974333,-14.035621,-13.551248,-13.158195,-12.783937,-12.803536,-13.179992,-13.576099,-12.746574,-13.504969,-13.601128,-13.169201,7.076000000000022
25,7.0772877,7.544603,6.740421,7.5925245,6.924239,6.7572103,6.828806,7.221179,7.0745296,7.297598,6.81828,7.159962,7.0780745,7.119335,6.5231915,7.422753,6.6324954,6.445159,7.097386,6.3809385,2.1510000000002947
26,2.7630076,2.4614742,1.946595,1.9881349,1.6921842,2.3878443,2.8065062,2.2086518,2.2770047,2.2998564,2.6176898,1.7862849,2.4162548,1.4554194,2.4872847,2.5565138,1.7861735,2.0021243,2.2593338,1.7025222,26.402999999999793
27,26.335072,25.488,25.899265,25.586388,27.2062,25.986183,25.524199,26.356234,26.489695,26.049608,26.015894,25.627966,25.817984,24.834438,26.730127,26.064451,24.773914,26.344923,24.857323,26.669695,5.135000000000218
28,4.6874332,4.2754717,4.8295503,4.9373393,5.865959,5.054888,4.8576837,3.806853,5.6282597,5.088131,5.316771,4.0706334,4.9199634,5.0671177,5.213678,4.8802395,4.5574865,5.2984858,5.464557,5.298835,39.18199999999979
29,37.07743,37.68102,37.49491,36.823742,39.67143,37.81369,36.89757,38.343803,36.986732,37.709038,38.013477,37.17597,36.725685,37.017258,37.68941,36.93836,36.903267,37.70007,36.58625,38.9414,23.43899999999985
30,21.436787,22.32605,21.141123,21.824684,22.528362,22.154745,23.912813,22.761665,22.920568,21.428282,22.12198,22.822763,20.933813,21.902927,22.964836,21.77916,21.860596,22.465315,22.88696,22.612902,63.44300000000021
31,59.01845,61.668774,60.81628,59.73162,64.84086,61.056553,60.07628,62.826527,59.885826,60.915718,61.428898,60.453514,59.308285,60.473663,60.29845,59.141563,59.01947,60.346813,59.90516,62.89425,7.472000000000207
32,5.9487696,7.2432947,6.1191955,7.98581,8.036494,6.763468,8.142767,6.6113734,8.396046,7.4295654,7.833344,5.0800376,6.7300816,7.048672,7.4480395,7.0653615,7.2087436,7.8101063,9.031408,9.117661,-9.358000000000175
33,-11.797269,-7.2669315,-9.5652075,-8.189232,-9.238511,-8.181206,-7.504994,-7.9280167,-9.747646,-8.775729,-8.227293,-8.949174,-9.749722,-6.017274,-7.8859463,-10.562651,-8.694355,-9.425205,-9.109144,-9.510687,28.240000000000236
34,26.02844,27.80619,26.900244,28.616728,26.895506,27.064228,28.997711,28.340479,26.396807,26.216686,26.19746,28.994173,27.397678,27.766075,27.32234,27.108839,26.943844,27.898773,27.383394,27.279259,-20.84900000000016
35,-20.994625,-17.724878,-19.413536,-20.03991,-22.243412,-19.925724,-20.154438,-20.589333,-19.81034,-19.980343,-18.924366,-21.590078,-22.050371,-19.712757,-20.729753,-20.473188,-20.535309,-20.563686,-17.642088,-20.173996,46.21799999999985
36,43.667225,43.776756,45.437283,44.87317,46.232117,45.23445,43.82401,45.47557,44.756805,45.579117,44.202625,45.248093,44.205624,44.05609,45.24651,43.93859,42.869156,45.554066,42.003838,46.420258,-6.266999999999825
37,-7.228688,-6.0652304,-7.224486,-5.6048045,-4.3598647,-4.5215654,-5.518448,-6.086295,-4.4460154,-5.527136,-6.056543,-7.815445,-5.356937,-6.2705326,-5.62218,-7.6731715,-6.4925017,-5.855085,-5.3296604,-4.413761,-6.132000000000062
38,-7.081753,-5.5050726,-6.0720334,-4.4890094,-4.7712693,-5.3729224,-6.073296,-3.885186,-6.1601267,-4.917737,-4.5921745,-6.3547397,-7.064027,-4.9002967,-5.373687,-5.460299,-6.932906,-6.331896,-6.0995464,-5.2736607,-35.76399999999967
39,-35.091736,-34.41159,-35.223125,-36.01612,-34.947372,-35.087307,-34.025963,-35.190926,-33.965027,-35.478954,-33.519535,-34.43655,-33.486706,-34.50831,-35.856464,-35.03193,-33.043903,-33.861324,-36.448677,-34.035496,3.67699999999968
40,3.5533803,4.2226734,3.115153,4.565431,3.733806,3.1009474,3.4454944,4.062764,3.8206449,3.50545,3.376938,4.0338264,3.7888947,4.3367004,3.1672988,4.0641203,3.3745255,2.6902158,4.959921,2.9595175,34.215000000000146
41,35.514427,34.20232,33.21067,32.90616,34.447784,34.83506,34.669758,34.386627,34.847095,34.046318,33.9036,32.81769,33.404495,32.387634,34.65273,35.214333,31.527376,33.694237,34.536976,33.60607,-8.297000000000025
42,-7.291622,-6.2164283,-7.4136133,-6.7246304,-7.7128124,-7.8497467,-7.867364,-8.531187,-7.239073,-7.440589,-7.5668635,-9.0305605,-8.94379,-7.3142414,-8.613194,-6.666344,-8.39798,-7.112132,-7.055435,-8.69814,1.8489999999997053
43,0.85596156,0.9730138,1.1548979,2.4201279,2.835559,2.1731617,2.3901205,0.81450117,2.1735191,1.4858962,2.3273387,1.0148995,1.5244303,2.8345804,2.3716648,1.8600458,2.234367,1.3149515,1.171628,2.1963463,-22.955999999999676
44,-23.327831,-21.893633,-22.157145,-22.876842,-22.5289,-21.635185,-22.55831,-22.39084,-21.228935,-23.525972,-21.283705,-22.14053,-21.253517,-22.382912,-22.065619,-22.368628,-20.924257,-21.451359,-23.211874,-21.214516,24.690000000000055
45,23.520842,24.49461,24.390245,24.690409,24.510426,24.731628,23.568613,24.38907,23.624945,25.273798,24.625324,23.77891,22.9757,23.418541,23.067179,23.766146,21.417206,23.374475,23.394457,24.423674,13.92699999999968
46,14.787345,14.596315,14.026805,12.53252,13.923697,14.722287,14.491492,13.662661,13.886585,14.314643,13.935653,12.932506,14.121906,12.909267,13.8333435,15.41008,12.541306,13.615526,14.215799,13.393236,0.20600000000013097
47,-0.33137217,-0.13770804,0.781018,0.35604644,0.6805514,-0.47433838,-0.53562194,0.466773,1.2610413,0.9273363,1.2432903,-0.21203429,-0.371579,-0.89071816,0.34541705,0.13790938,-0.4509011,-0.10569983,-0.13996515,0.17943852,-8.628000000000156
48,-9.754832,-9.380671,-9.219038,-7.3208947,-8.345526,-9.016607,-7.042234,-9.372833,-8.326326,-8.763902,-8.438823,-9.106811,-9.094888,-6.9511237,-8.806071,-8.638178,-8.86039,-9.803951,-8.494647,-8.310087,-11.89599999999973
49,-12.164235,-10.885231,-11.315106,-12.235173,-12.051897,-11.807219,-12.362598,-11.516483,-11.675409,-11.718076,-11.757122,-11.7624,-11.72337,-11.54039,-11.7481365,-12.751596,-12.07106,-11.168804,-10.676121,-11.922335,11.11999999999989
50,11.386704,11.622581,10.867098,11.46777,10.776557,11.343002,10.706694,11.112732,11.017858,11.060623,10.790005,11.167889,10.824534,10.568999,11.222153,10.876433,9.977272,10.523296,10.73797,10.304403,-22.501000000000204
51,-21.735601,-21.474974,-22.59535,-21.841906,-22.62014,-21.705528,-22.110888,-23.09902,-21.79659,-22.02218,-21.37431,-22.561216,-22.169872,-22.18554,-22.396845,-22.553343,-21.452415,-21.308052,-22.159273,-22.399357,-18.77099999999973
52,-18.909887,-17.659674,-18.994001,-18.658083,-18.58912,-18.654888,-17.803637,-17.479702,-17.495546,-18.418217,-18.604254,-18.508173,-17.808477,-17.724115,-18.295732,-17.909508,-17.99597,-18.459955,-18.640505,-18.936413,3.5029999999997017
53,4.061404,3.2804418,3.9129179,3.3950484,2.9068742,3.6674654,2.9680424,2.940855,4.0028076,2.9569428,3.4661326,4.024412,3.7366776,2.477306,3.6881692,3.8431954,3.6048975,3.454451,2.0503256,3.3567743,-16.317000000000007
54,-14.997956,-14.788725,-16.03182,-15.9241085,-16.225246,-15.042291,-15.825307,-16.347399,-16.574846,-17.01611,-15.606618,-15.81144,-15.871169,-15.754167,-16.45137,-15.028879,-15.30015,-15.093087,-15.511938,-16.5474,27.00900000000047
55,27.015802,25.669409,27.150942,26.118038,28.638044,27.495747,25.664858,27.171583,28.008509,26.551521,26.573124,26.49481,26.557442,25.386597,27.720697,26.792646,25.389605,27.085205,24.311602,27.620445,17.029999999999745
56,17.34887,16.297178,16.800953,16.155458,17.839224,17.52948,17.171572,16.294146,16.48458,16.555847,16.735758,15.899262,16.491362,15.765764,16.618937,17.599422,14.884045,16.98114,17.138548,16.421394,31.14300000000003
57,30.28411,30.167099,30.222921,29.339304,33.04087,29.732718,29.33814,31.136475,29.78818,29.335646,31.515327,29.030966,29.762947,29.100445,29.63886,30.18135,28.754988,29.813171,29.689526,30.937553,22.3779999999997
58,20.630455,20.4889,21.245598,21.282621,22.16676,22.431765,22.766897,19.645084,22.115866,20.253712,20.048355,21.354105,20.36474,20.997608,22.149775,21.470114,20.975943,21.343906,20.249702,21.894594,17.386000000000422
59,15.236528,17.519161,15.19874,16.668016,16.618856,15.855089,16.270807,16.781473,15.939808,15.330279,17.469795,15.278052,16.619972,17.100376,15.891675,15.855057,15.66514,15.580332,17.574558,17.379766,23.034999999999854
60,20.336466,22.430063,20.898117,22.34535,21.525938,22.882896,22.911833,23.324377,21.270018,20.810122,20.798374,22.63389,20.947796,22.180515,21.606712,20.694254,22.138525,21.51038,22.119955,22.525646,-4.0349999999998545
