,1_times_lag3,2_times_lag3,3_times_lag3,4_times_lag3,5_times_lag3,6_times_lag3,7_times_lag3,8_times_lag3,9_times_lag3,10_times_lag3,11_times_lag3,12_times_lag3,13_times_lag3,14_times_lag3,15_times_lag3,16_times_lag3,17_times_lag3,18_times_lag3,19_times_lag3,20_times_lag3,test_value
0,2174.471350447655,2174.631498829842,2175.3545447750093,2173.40512623024,2173.436529771805,2174.7236174507143,2173.5720049304964,2174.0374494953157,2174.1812213821413,2174.526803271294,2174.074859039307,2174.7934882802965,2175.716298000336,2174.294054643631,2174.720162288666,2174.3580261631014,2175.402238146782,2174.8432361049654,2175.027869598389,2173.912838594437,2191.855
1,2171.0155796813965,2172.0555729675293,2172.2066788482666,2170.707210998535,2171.162046890259,2172.098890762329,2171.574753265381,2171.6467613983154,2170.6502003479004,2171.0798516082764,2171.382296066284,2170.7548794555664,2172.373829345703,2170.747345428467,2171.213341217041,2171.109508972168,2173.023992996216,2172.6034035491944,2172.1240410614014,2171.021114807129,2169.674
2,2157.731599067688,2158.459397529602,2158.115301345825,2156.973654006958,2158.5654270401,2158.2891914596557,2158.4666836013794,2158.0269930114746,2158.1298458328247,2159.236303543091,2158.7792560806274,2158.8867952575683,2159.159851287842,2158.0060722579956,2157.8670379867553,2157.9850933303833,2158.9042379608154,2158.504913543701,2158.0440256347656,2158.9446327438354,2160.239
3,2137.540603317261,2138.031570114136,2138.041183151245,2137.727353729248,2137.9202114715576,2137.1788403167725,2138.1614605560303,2136.548061050415,2137.831975616455,2138.143737472534,2137.8838707580567,2138.2170502319336,2138.4163071289063,2137.3105923309326,2137.860681213379,2137.0599762573243,2138.374440826416,2137.124570526123,2138.0571705474854,2137.728444732666,2126.907
4,2125.5452302045824,2125.616203004837,2124.5251082725526,2125.4929377384187,2125.753695184708,2125.9889038748743,2125.506203705788,2125.424988204956,2125.8504390068056,2125.396248275757,2126.0720247573854,2125.62024801445,2125.647622878075,2124.466882640839,2126.2205016560556,2126.03195303154,2125.5158378429414,2125.7891901082994,2125.149431521416,2125.684504205704,2136.729
5,2148.4055165328978,2147.725634483337,2148.140748886108,2147.913905052185,2147.8739527740477,2147.4501294174192,2147.756582168579,2146.7111052551268,2148.7214421310423,2147.38361063385,2148.6169117965696,2148.381720451355,2146.8511542358397,2147.3828867950438,2148.442379859924,2147.5247916259764,2148.451114562988,2148.0492848434446,2149.178759483337,2147.2774561920164,2134.11
6,2144.14679561615,2144.2147677993776,2143.56365524292,2144.989587173462,2143.946133003235,2143.5080350494386,2144.163990364075,2144.7521632766725,2144.8331817245485,2144.1178611373903,2144.79398475647,2144.364731178284,2144.29731880188,2143.336357460022,2145.113701210022,2143.853582725525,2145.3901504135133,2143.8531411743165,2144.1926559066774,2143.843017921448,2144.821
7,2138.1743358573913,2138.5491293869018,2138.8916000328063,2138.350366493225,2138.290410419464,2137.959871669769,2139.1213973960876,2138.0937060317992,2139.028318305969,2138.5882114372253,2139.429551979065,2139.3202775917052,2138.924879928589,2139.322997947693,2138.8586091003417,2137.7964610061645,2139.9845122299193,2137.7814902267455,2139.6583794555663,2138.6585272750854,2133.371
8,2137.6782652816773,2138.46545142746,2137.8632361373902,2138.0995351753236,2138.467320152283,2138.492645450592,2138.283271499634,2138.6886879882813,2138.234995552063,2138.6398121795655,2138.452701755524,2138.3255941352845,2138.6499845466615,2138.1604616127015,2138.941697784424,2138.711730190277,2138.917844482422,2138.8786870918275,2138.8618328056336,2138.185176082611,2149.076
9,2159.1097705612183,2158.828229690552,2159.3109243164063,2158.266121650696,2159.106625343323,2158.8114249954224,2159.1911666641236,2158.257074142456,2159.4814317474365,2159.2631824264527,2159.142861152649,2159.268997932434,2158.6361959228516,2159.849971557617,2159.562490249634,2159.3270709762573,2159.974696899414,2159.6152141342163,2160.703055168152,2158.680862213135,2150.258
