,data_pre_value
0,-12.6597050318221
1,-27.712336977392475
2,-39.026181851592554
3,-16.706064518510452
4,21.289442154191224
5,-30.021047648227864
6,-55.02916889840053
7,-11.2996905924851
8,7.092886490858273
9,-73.21020116009475
10,-94.45402802181958
11,87.52705881353376
12,-2.8876071036183752
13,-121.05573108469692
14,66.34953483019102
15,69.86268533867384
16,-43.84391259534597
17,22.091035269731506
18,64.1664703791892
19,2.2392594563444597
20,-13.51400888783462
21,55.476633036924724
22,146.40236665181624
23,66.31363623644567
24,2.797288724303387
25,30.121842191927122
26,-16.07224417817462
27,-64.39390393201774
28,5.464301771688945
29,-1.1358711440505758
30,-56.8410005838305
31,-35.464916980097115
32,22.79319430611251
33,60.53852449836437
34,-16.80261790627236
35,-73.66809238047688
36,-55.446897149263165
37,27.24788653183064
38,57.18746575294528
39,10.150247259468564
40,14.97314199727986
41,-24.902134006562
42,-83.86898075161746
43,-32.22010739082543
44,96.38413610322964
45,-82.21723599045134
46,-42.565492519198386
47,74.92210605067962
48,-27.421519407607587
49,44.41944482426035
50,49.55393458431845
51,30.709863718670096
52,-46.42798313979705
53,28.34466030439032
54,126.74155721589193
55,57.03149678044477
56,-26.885601609628285
57,-3.6695804654036106
58,41.942624129517206
59,-3.7943376585242348
60,15.01281526540506
61,-26.925551251408983
62,-60.91841588007629
63,-17.998595331228966
64,17.129027629870496
65,33.57117662947444
66,-7.683060987838331
67,-20.511349086366728
68,-44.86394310218351
69,5.507586935890915
70,-23.68544075469903
71,-36.346537775262846
72,25.145281263799937
73,17.234473445259244
74,11.985877724641355
75,34.064361149611514
76,46.79617739475178
77,0.11513535173197553
78,-36.25067432739878
79,-35.484750167927885
80,30.703543058698322
81,7.68372125512267
82,-0.3586896146125138
83,30.245114165922274
84,-39.51480749348954
85,-28.22810073809038
86,-11.143864807168292
87,-31.863124960459803
88,-60.497154157272035
89,24.954708040747626
90,-16.919003519811575
91,31.554693051736393
92,9.949141605655765
93,-16.288120066720907
94,20.518569338037423
95,-19.798585862627228
96,-5.981083735790591
97,-0.7398267424770983
98,0.015067363451534144
99,-4.6556782921313005
100,35.00844822536614
101,-15.139524817145752
102,-13.223298974063347
103,-25.88561650614413
104,-18.465393588493026
105,-22.820106680220555
