,restore_value
0,2820.310294968178
1,2811.4176630226075
2,2798.5138181484076
3,2822.5439354814894
4,2894.1594421541913
5,2823.508952351772
6,2767.400831101599
7,2812.510309407515
8,2829.0728864908583
9,2688.9197988399055
10,2554.4859719781803
11,2782.6670588135335
12,2678.7723928963815
13,2459.944268915303
14,2685.899534830191
15,2725.862685338674
16,2619.096087404654
17,2720.7210352697316
18,2795.366470379189
19,2734.459259456344
20,2702.7459911121655
21,2756.8066330369247
22,2850.362366651816
23,2813.613636236446
24,2782.3972887243035
25,2774.4018421919272
26,2697.7577558218254
27,2613.2760960679825
28,2696.714301771689
29,2719.8041288559493
30,2671.2789994161694
31,2691.335083019903
32,2761.7631943061124
33,2847.1085244983647
34,2766.217382093728
35,2691.641907619523
36,2694.0331028507367
37,2774.5778865318307
38,2809.1974657529454
39,2723.0702472594685
40,2731.91314199728
41,2687.027865993438
42,2559.8210192483825
43,2556.039892609175
44,2754.93413610323
45,2530.4027640095487
46,2562.4345074808016
47,2715.7921060506796
48,2554.4584805923923
49,2658.86944482426
50,2694.2439345843186
51,2693.54986371867
52,2558.0420168602027
53,2641.50466030439
54,2783.611557215892
55,2699.221496780445
56,2637.1043983903714
57,2652.6304195345965
58,2719.7826241295174
59,2702.5956623414754
60,2723.652815265405
61,2666.204448748591
62,2609.2215841199236
63,2652.291404668771
64,2651.6890276298705
65,2672.9711766294745
66,2659.2569390121616
67,2649.398650913633
68,2603.186056897817
69,2660.3075869358913
70,2611.984559245301
71,2593.3834622247373
72,2688.5652812638
73,2689.864473445259
74,2683.9058777246414
75,2731.8543611496116
76,2769.866177394752
77,2727.835135351732
78,2693.879325672601
79,2675.965249832072
80,2753.1635430586985
81,2727.813721255123
82,2712.6113103853872
83,2763.2551141659224
84,2684.9251925065105
85,2705.0618992619097
86,2716.6161351928317
87,2689.46687503954
88,2629.362845842728
89,2748.964708040748
90,2688.3509964801883
91,2766.174693051736
92,2756.8191416056557
93,2732.5118799332795
94,2792.8685693380376
95,2750.571414137373
96,2773.0489162642098
97,2781.260173257523
98,2786.8650673634515
99,2770.974321707869
100,2817.498448225366
101,2764.520475182854
102,2760.5267010259367
103,2736.704383493856
104,2748.854606411507
105,2726.9398933197795
106,2740.3970596512
107,2678.193104937637
108,2731.2273095667942
109,2686.618683623379
110,2731.9598466953053
111,2732.783775661371
112,2730.166193355483
113,2698.449983353346
114,2769.1151260828397
115,2794.43936647949
116,2795.4298497072177
117,2799.7422487385666
118,2752.6454090385555
119,2851.4830327659515
120,2821.824884926957
121,2799.1889013412833
122,2813.5179642737
123,2805.6297349270267
124,2776.2631153554466
125,2803.239362630625
126,2799.624803594134
127,2795.669991076311
128,2826.7623461537573
129,2794.792943228071
130,2804.0594610684952
131,2786.434856922154
132,2825.160633137813
133,2813.3180997022564
134,2825.3115227669405
135,2837.0007214003294
136,2856.051954057929
137,2864.1876902799213
138,2847.265629985062
139,2831.3784033493953
140,2788.767105708181
141,2814.2611698752303
142,2888.4479924847938
143,2821.4589734008982
144,2853.234664991097
145,2854.3036465610057
146,2839.6915870146677
147,2842.0862041834125
148,2842.2660733362427
149,2838.8117185736223
150,2890.737590870338
151,2918.380354956988
152,2904.388644299562
153,2937.870409730984
154,2874.778583573707
155,2905.087098970019
156,2887.8397956157582
157,2860.7530370681125
158,2859.148582201235
159,2862.4217231166267
160,2883.6567777969703
