,1_times_lag6,2_times_lag6,3_times_lag6,4_times_lag6,5_times_lag6,6_times_lag6,7_times_lag6,8_times_lag6,9_times_lag6,10_times_lag6,11_times_lag6,12_times_lag6,13_times_lag6,14_times_lag6,15_times_lag6,16_times_lag6,17_times_lag6,18_times_lag6,19_times_lag6,20_times_lag6,test_percentage
0,1.9620224,2.1864316,0.9751626,0.6176057,0.93503803,0.99771136,0.24626926,0.9654044,0.102357715,1.946333,2.51194,1.9486835,-0.5887923,1.3454732,-0.0313628,1.2888832,-0.1325166,0.85086465,2.0365098,0.5065865,6.160000000000309
1,6.5001674,5.86476,4.968979,4.790324,5.0682487,5.2287827,5.7702436,5.5735064,4.254659,6.351278,6.991864,7.687303,4.0409026,6.358766,5.6866817,4.6674333,4.580988,5.0424566,6.2782393,5.288393,-1.5900000000001455
2,20.300856,19.529535,18.275215,18.711008,19.44021,17.960121,18.257933,19.399256,17.454958,20.54692,19.67776,20.149271,18.772959,19.339125,19.689077,19.05375,18.039473,20.269829,19.253544,18.903097,1.7100000000000364
3,21.753325,22.37886,20.54172,21.520994,22.493086,21.05147,21.23772,22.52945,20.755621,23.096596,23.651848,23.13743,20.082722,21.910398,22.907898,21.04731,20.902756,21.739511,23.16277,21.698765,33.61999999999989
4,-1.3603107,-1.51769,-4.2613096,-2.0992928,-1.3422868,-2.0058284,-1.4744037,0.3815546,-2.984625,-1.247563,0.2780884,0.29958335,-3.759948,-0.20523569,-1.2653916,-2.994383,-1.5991241,-2.2482316,0.21740559,-1.5773846,-19.33999999999969
5,4.4586134,1.7937325,0.97515154,2.3661802,2.3834496,1.4346657,2.244484,4.78542,2.3810105,3.4127026,3.5443702,3.010642,2.300621,2.9884305,3.1221938,2.6985264,2.9038532,3.7315044,2.8398094,3.0982704,-31.100000000000364
6,-19.333307,-19.713867,-18.645094,-18.290602,-18.699999,-16.804585,-18.541864,-18.66719,-18.541773,-16.323614,-18.762684,-19.155064,-18.176092,-18.76921,-17.585165,-18.337957,-16.637575,-17.782312,-17.962673,-16.54732,1.3800000000001091
7,-64.82545,-64.68014,-66.597755,-65.5835,-66.6519,-63.238384,-65.43347,-64.75313,-63.742775,-65.24967,-63.751453,-63.726547,-67.12776,-66.68241,-67.9604,-64.95197,-65.63825,-67.146454,-60.99329,-67.06583,-1.8299999999999272
8,-94.28697,-94.515434,-97.100136,-96.08053,-96.62493,-92.025024,-93.79154,-93.54317,-92.79122,-94.76111,-91.02002,-90.2627,-97.512985,-95.240555,-94.86708,-94.321815,-95.17987,-94.52648,-91.76396,-92.82387,-59.84999999999991
9,-62.119503,-58.951984,-61.166687,-62.030807,-61.961563,-60.93222,-59.26682,-60.367836,-60.06983,-59.534977,-58.935944,-59.48603,-62.11007,-61.388905,-62.420498,-58.83348,-59.11663,-59.72137,-60.901447,-62.835094,-113.19000000000005
10,2.9018102,6.0710387,7.941123,6.8732305,2.2511013,4.3709106,2.6464148,4.7073092,5.84897,6.1793656,8.40384,8.477521,3.08755,-0.8536303,9.175315,4.3283224,9.106387,4.597079,6.893105,4.1283326,46.19999999999982
11,-54.825893,-50.817986,-56.699184,-52.43847,-54.669525,-49.72095,-51.527702,-53.534096,-52.76198,-53.1247,-53.889565,-51.651424,-58.39436,-54.07964,-53.180977,-55.690567,-50.18646,-59.060654,-48.559513,-57.0374,-13.480000000000018
12,-58.9189,-63.395046,-61.1944,-63.498745,-66.57281,-60.25541,-62.724155,-63.383472,-63.232533,-61.10528,-54.96616,-60.0743,-64.98968,-63.102974,-62.958675,-62.33515,-59.917313,-60.647697,-60.885002,-62.467175,-100.65999999999985
13,10.759325,10.351242,14.690657,13.086473,7.4497623,13.429017,11.649147,6.6582785,8.173905,15.793583,11.157384,13.231365,10.723032,10.916831,12.366995,11.48333,12.9705515,16.766962,8.590809,12.861193,38.55000000000018
14,-1.9346998,3.6087372,-1.7172,3.3337002,1.4023724,1.149316,-1.7215891,-3.5487132,0.046764404,-0.3923711,-1.4043909,3.6420524,-1.2537014,-2.3219461,-1.177607,0.18812484,-1.6230009,-2.614142,2.7938266,-5.7581406,36.44999999999982
