,1_times_lag7,2_times_lag7,3_times_lag7,4_times_lag7,5_times_lag7,6_times_lag7,7_times_lag7,8_times_lag7,9_times_lag7,10_times_lag7,11_times_lag7,12_times_lag7,13_times_lag7,14_times_lag7,15_times_lag7,16_times_lag7,17_times_lag7,18_times_lag7,19_times_lag7,20_times_lag7,test_percentage
0,-1.9561789,-5.0988197,-3.3784165,-5.287294,-0.8754446,-3.7413392,-3.4719567,-4.396395,-2.443458,-1.2898132,-4.8684893,-3.0440354,-1.9149095,-5.117825,-5.3280716,-1.476964,-1.7623237,-2.553138,-3.7896307,-2.852781,6.160000000000309
1,0.21189635,-1.3817422,0.25247648,0.5591053,1.0764498,-0.8367226,-0.50286835,-0.9226659,2.2002041,0.74318767,-1.9705967,-0.42279238,-0.09243131,-0.27174067,-1.5637393,2.351365,0.52797276,0.730854,0.42762104,3.2610428,-1.5900000000001455
2,14.834046,13.781802,15.541397,15.0370455,16.745224,14.276604,15.679724,12.951645,16.596546,15.3150625,13.16274,14.190856,15.466534,13.055188,11.357915,16.451445,14.902134,15.251791,15.999115,15.709397,1.7100000000000364
3,18.706684,17.923702,15.488563,16.933605,17.15824,16.904646,17.191742,14.930069,18.556978,19.301336,14.619338,17.892372,17.3303,17.45901,13.710127,18.111275,19.627525,14.126251,18.952953,18.119623,33.61999999999989
4,-6.1987147,-4.3073654,-7.3189354,-8.506371,-6.309597,-2.7836542,-4.0091977,-9.442982,-4.6115003,-4.857279,-8.691869,-3.9437628,-6.1179233,-5.6106477,-8.530925,-5.833091,-6.461039,-10.776729,-6.7176223,-2.6331835,-19.33999999999969
5,-3.3115032,3.878514,-0.7876261,-0.9809029,1.813202,0.094353,-1.0112101,-4.568273,3.0175402,-1.9210558,-0.2607648,-2.9918382,-0.4392532,0.119436614,-1.5110563,-0.93285763,1.1388412,1.1133438,1.7282547,3.5721397,-31.100000000000364
6,-0.20715208,0.74802876,-6.0618105,-2.8988492,-4.7970767,-1.6541626,0.8933452,-5.5131807,-3.0007102,-5.3338346,-4.108643,-3.309393,-3.596914,-2.1718516,-2.7547748,-0.31338248,0.6305112,-3.3531878,0.06999104,-2.281063,1.3800000000001091
7,-60.45843,-55.21762,-60.129787,-61.41505,-59.50602,-59.20978,-54.899513,-60.000584,-55.493736,-58.702515,-59.74238,-56.8364,-55.81538,-53.607994,-55.258793,-57.668777,-56.273888,-57.79829,-56.694675,-58.30057,-1.8299999999999272
8,-101.68357,-90.13142,-96.3119,-100.35459,-95.56442,-97.73914,-91.12873,-93.37865,-88.073746,-97.03081,-97.79086,-95.57048,-96.520966,-94.762726,-89.34716,-92.35271,-89.51548,-88.68467,-95.0469,-92.756805,-59.84999999999991
9,-59.38588,-49.737923,-54.966206,-58.72912,-63.200954,-66.3328,-57.108814,-56.06485,-56.230698,-64.30755,-59.059326,-60.630947,-60.923054,-55.924202,-48.322426,-58.45035,-49.387558,-49.88954,-50.225323,-59.91001,-113.19000000000005
10,33.14306,34.39703,27.43303,26.360718,25.322699,26.246279,36.20292,18.644793,27.148396,21.561909,29.177813,25.33049,23.800018,30.815079,34.130283,22.466658,39.783813,34.230648,36.78451,28.371195,46.19999999999982
11,-59.85493,-55.84496,-72.595375,-66.87149,-67.54648,-57.865875,-46.78992,-63.628754,-58.82758,-71.60564,-68.00091,-61.045307,-57.934864,-55.10524,-60.915825,-66.48885,-60.752518,-68.666214,-64.23207,-67.21662,-13.480000000000018
12,-60.686184,-56.20942,-59.41473,-67.04771,-51.546276,-59.533047,-51.035606,-52.961304,-46.04968,-62.448277,-64.901215,-54.85388,-51.705338,-56.793953,-51.72323,-52.69111,-46.810593,-49.387913,-61.561043,-48.717644,-100.65999999999985
13,17.528847,11.801933,15.033172,21.087454,23.556322,11.684393,31.889744,19.691547,29.461546,9.968914,16.268105,17.43351,17.257671,15.559176,23.063492,18.392832,24.98301,32.988506,20.287518,21.710567,38.55000000000018
14,10.50786,4.1956754,5.612944,1.9346352,5.7087107,2.436159,18.174717,6.067414,5.719306,4.510002,5.96651,5.845674,13.599948,12.253987,4.191283,1.3771552,9.315079,8.446547,7.301675,-0.19118722,36.44999999999982
15,3.1119468,7.529133,1.6233996,0.8355305,13.876985,6.7696104,6.37882,5.3843703,14.109521,10.38181,-1.8596141,5.186089,9.398766,12.105573,4.2592926,6.7201157,6.338588,1.7358042,4.03013,11.613584,6.940000000000055
16,28.077381,31.49762,29.521008,28.738153,31.971584,29.999533,35.022404,29.246054,38.149937,19.692724,26.990274,21.954973,29.465017,22.750717,26.289345,37.34474,36.02307,31.637602,35.52947,33.06923,35.690000000000055
17,15.164165,9.581026,5.1315513,5.556579,15.416723,17.615282,18.733196,7.609796,6.756292,12.4306755,11.826319,7.983419,10.457156,19.724594,7.642083,12.866017,19.65692,11.927271,16.260782,13.151384,32.56999999999971
18,-27.657745,-27.615103,-29.940754,-27.98823,-24.707567,-24.748144,-26.510132,-30.788654,-23.667402,-26.206642,-37.885475,-27.425716,-30.324415,-22.328867,-27.764297,-24.21625,-25.248981,-30.07656,-27.960178,-24.971752,1.0199999999999818
19,-30.167404,-23.344559,-27.377127,-22.175549,-27.07951,-31.181858,-23.705845,-31.575806,-20.77476,-31.405165,-38.132343,-27.070332,-29.125578,-27.624262,-32.679535,-27.247166,-22.80791,-28.821875,-23.24101,-19.480974,-15.959999999999582
20,2.2492404,3.5212576,2.6955845,1.325567,-2.5120249,-6.5050535,-3.9814801,-3.899491,-6.364297,-4.7092576,-4.9848995,-5.1020246,-3.9787114,-1.8352808,-3.5817964,-5.12728,0.061404977,6.162647,4.3172593,-4.7713356,-14.930000000000291
21,32.456474,32.390026,23.775642,25.201696,24.037863,23.902592,26.006626,20.447926,23.358248,22.401457,25.278938,25.809975,24.857603,25.432621,23.789495,22.674889,31.839989,24.566889,32.950058,20.452291,2.630000000000109
22,44.89345,47.60934,34.20651,37.727955,39.77991,41.083714,39.89091,32.2038,35.780148,32.992023,39.278275,34.446022,38.31759,38.226463,33.44352,37.8138,41.016518,30.663242,39.530766,35.680115,43.340000000000146
23,20.92839,21.300213,9.543549,10.745276,16.334948,20.178524,15.356499,8.989192,12.237195,10.144347,13.404816,8.336146,10.442,16.146416,11.493154,13.402818,18.229431,7.097439,13.629735,14.502866,32.29999999999973
24,-13.740761,-16.483461,-25.801922,-20.483608,-16.625864,-16.838902,-20.16114,-25.266947,-20.897888,-21.990797,-29.201435,-26.37343,-26.843697,-17.832623,-21.125797,-19.31945,-17.325653,-20.796925,-17.598984,-16.295748,-35.31999999999971
25,-23.383121,-28.665558,-35.333385,-28.39774,-31.701994,-34.43971,-29.497948,-34.027496,-28.915674,-32.705658,-42.315735,-37.49739,-36.701107,-31.508236,-33.969788,-31.91447,-29.40517,-30.224478,-29.831068,-31.510462,-30.450000000000273
26,-19.621311,-24.351036,-33.21564,-25.180273,-28.283695,-37.688446,-28.45591,-30.617876,-26.175005,-32.154385,-37.331886,-31.108028,-32.072422,-29.751833,-34.219105,-31.499678,-28.878368,-28.04984,-29.790955,-33.421654,-36.159999999999854
27,24.901608,20.790218,13.166974,19.381601,21.201206,11.155457,14.107674,17.893513,19.837294,14.991392,14.755992,19.58066,12.809228,12.035729,14.272037,13.258704,18.432716,19.66646,14.844987,16.05837,13.579999999999927
28,8.959869,5.092531,0.73352,5.1888385,5.4204965,-0.1427737,5.672462,0.02576979,2.2274556,-0.75474685,1.2739656,3.0406542,2.8412797,0.39542747,-0.8047363,3.849259,6.9684014,3.2476628,2.6797886,1.707065,29.690000000000055
29,-1.0792797,-6.725262,-9.034456,-7.602712,-0.19330683,-7.093113,-2.07149,-9.658136,-8.299314,-8.6055565,-8.683626,-6.4603276,-4.500471,-6.308386,-9.548458,-6.6657214,-4.826066,-5.4501963,-7.721613,-6.0661016,7.179999999999836
