,1_times_lag9,2_times_lag9,3_times_lag9,4_times_lag9,5_times_lag9,6_times_lag9,7_times_lag9,8_times_lag9,9_times_lag9,10_times_lag9,11_times_lag9,12_times_lag9,13_times_lag9,14_times_lag9,15_times_lag9,16_times_lag9,17_times_lag9,18_times_lag9,19_times_lag9,20_times_lag9,test_percentage
0,22.224045,21.760468,21.65125,23.018154,22.183167,22.697119,22.863512,23.12725,23.064507,23.169966,22.761562,22.115908,21.603788,21.685808,22.751791,22.078999,22.955471,22.863646,23.285692,22.276665,6.160000000000309
1,6.3066816,5.984077,5.8578176,5.877639,6.17661,5.8063703,5.9848566,6.6357837,6.6267743,6.0189514,6.2421227,6.4313273,6.005856,6.2434745,5.7318273,6.1846247,6.510818,5.618072,5.9999337,6.7271075,-1.5900000000001455
2,-1.224784,-1.4114937,-1.675115,-1.7087784,-2.157064,-1.5339719,-1.6632564,-0.9385898,-1.3404001,-1.7413416,-1.4297895,-1.4791973,-1.6262877,-1.6307797,-1.4136834,-1.5304805,-1.5317342,-1.9868829,-1.6852245,-0.8672038,1.7100000000000364
3,1.856506,1.6313727,1.308626,1.4745833,1.3518754,1.8615915,1.556424,1.8735346,1.5189426,1.5097187,1.7622871,1.5888183,1.5354044,1.2990493,1.8677022,1.0271572,1.666554,1.4503015,1.8495421,1.6422393,33.61999999999989
4,32.533237,32.692184,32.364952,33.365406,33.37428,33.128597,34.152153,34.471554,33.95653,34.362064,33.888203,33.199783,32.659676,32.942566,33.318405,32.950954,34.691826,33.67627,33.536674,33.590702,-19.33999999999969
5,-17.257908,-18.217033,-20.246645,-18.693796,-19.799871,-18.349482,-18.710112,-18.39368,-18.19641,-19.868254,-19.576025,-19.134855,-19.4328,-18.28852,-18.360579,-19.800325,-19.075686,-19.203426,-18.169521,-18.561573,-31.100000000000364
6,-29.652885,-29.911247,-33.138775,-30.000462,-31.483156,-30.291094,-30.552362,-29.804565,-30.905731,-30.556446,-30.51369,-30.248968,-31.656258,-31.784771,-29.544622,-32.5072,-31.178713,-30.777788,-29.909239,-29.491005,1.3800000000001091
7,1.4114835,1.1214054,1.6676674,1.343939,1.4109423,2.2038748,1.3215737,1.3917677,0.44941255,1.3879756,1.6957562,1.4441818,1.375705,1.2519749,1.4403071,0.80597246,1.5785613,1.4076763,1.5424706,1.3191123,-1.8299999999999272
8,-0.91669154,-1.8945469,-1.5111092,-1.9788443,-2.6059203,-1.8513652,-1.7639239,-2.217232,-1.4813883,-2.09903,-1.9763598,-1.7057858,-2.1609485,-0.9630726,-1.4203229,-1.9299135,-1.3134819,-1.5365636,-2.2586963,-1.960356,-59.84999999999991
9,-56.580524,-57.720375,-62.853355,-57.49999,-61.765903,-58.798275,-58.37935,-58.294178,-58.083767,-59.87134,-58.90914,-58.595932,-60.85566,-59.2576,-57.10301,-61.041687,-58.515,-58.948093,-57.07318,-58.086998,-113.19000000000005
10,-107.65948,-110.63699,-119.24683,-109.03109,-115.1513,-110.078384,-110.626175,-110.55359,-111.42346,-113.213326,-111.72137,-110.47444,-114.905624,-113.77299,-108.23734,-115.29812,-110.171394,-111.351875,-107.84664,-109.81896,46.19999999999982
11,43.521313,45.042645,45.487465,45.94284,47.685726,46.095554,47.027264,46.39803,45.320114,47.19402,47.38825,44.440365,44.729424,44.996902,45.557304,43.77533,47.074432,45.40604,46.240486,45.21561,-13.480000000000018
12,-11.1504755,-13.567791,-13.432465,-12.837214,-14.803002,-13.487469,-12.608497,-14.799385,-11.0739155,-15.148645,-13.66862,-14.074493,-13.9971895,-10.414715,-12.936487,-11.568246,-10.459503,-12.369261,-12.48838,-15.22338,-100.65999999999985
13,-97.02215,-97.54054,-107.30985,-96.11086,-102.724365,-101.12969,-97.75621,-98.15336,-98.09257,-100.14789,-98.02134,-99.14039,-103.01899,-102.06078,-96.194466,-103.141975,-99.29777,-98.79954,-95.8909,-98.35164,38.55000000000018
14,36.804447,38.210003,38.73761,39.310455,40.158337,39.613396,39.124584,38.54386,37.328358,38.56118,39.18538,35.671707,37.181213,36.884537,38.321144,36.465958,38.286987,37.995766,40.128067,37.67104,36.44999999999982
15,34.894123,35.68639,35.419487,36.816,39.09603,35.73223,35.226215,37.413574,36.82768,37.63323,37.695507,35.418762,35.69548,34.827854,35.596737,35.57027,37.828354,32.863773,35.548508,36.902542,6.940000000000055
16,6.99878,6.7800097,6.4772167,8.422865,5.039796,4.081783,6.782782,7.3946657,7.979423,7.2962604,7.38005,6.457146,7.8348885,7.957488,7.467672,7.676556,7.254946,8.64797,5.682012,6.0568333,35.690000000000055
17,35.51428,34.822365,34.077675,36.720528,34.023056,34.891678,36.202827,34.953705,37.578815,35.686115,34.85555,33.644463,34.250793,33.522984,35.541286,34.717106,34.68874,35.576797,37.215477,34.912285,32.56999999999971
18,32.21631,32.56753,32.01286,31.177801,33.379658,32.03457,32.709026,33.435,33.180496,32.759724,32.42154,32.68643,32.43222,31.00246,30.87174,32.11501,33.576263,29.791746,32.094833,34.61864,1.0199999999999818
19,1.5213573,1.5139538,0.9010334,1.3311023,-1.6780055,0.30303922,0.33482313,1.0471181,1.4625086,0.63264745,0.9099857,1.1453949,2.5296898,0.9626119,2.2798917,1.0716417,1.1203982,0.80587,0.28947276,1.4579649,-15.959999999999582
20,-16.134844,-14.519451,-16.657484,-14.399928,-15.395952,-14.748736,-15.899427,-13.612528,-16.646278,-15.911651,-16.06719,-15.423246,-15.512081,-17.002546,-13.822252,-17.736969,-17.202818,-15.621973,-14.98052,-15.463021,-14.930000000000291
21,-15.902867,-14.001613,-15.581907,-14.680694,-14.296189,-14.123487,-16.00703,-15.472635,-15.985635,-13.861542,-15.524581,-14.2395115,-14.989558,-15.653509,-13.7566185,-17.77908,-15.836911,-14.053489,-14.735406,-14.398707,2.630000000000109
22,2.6392572,2.5282617,2.8766692,2.43385,2.3792229,2.9480915,2.291002,2.8875287,2.2769518,2.6227005,3.1902945,3.1632707,2.2993236,2.974522,2.83574,2.2033377,3.230745,3.1508062,2.4424026,2.6196072,43.340000000000146
23,41.981026,41.37425,41.56131,43.888443,43.39651,42.750412,43.563152,44.41234,44.24968,44.254654,44.160664,41.950073,41.238995,42.767265,43.17714,42.510952,44.29253,43.58317,43.759064,42.5257,32.29999999999973
24,31.733591,31.159712,31.393679,32.81066,33.357075,32.174667,32.2436,33.874805,33.242874,32.758633,33.336163,31.415049,30.74799,32.229053,31.862463,32.444683,33.239037,32.258175,32.78898,32.645157,-35.31999999999971
25,-32.595516,-34.444313,-37.69976,-34.553154,-35.601856,-34.42545,-34.084145,-34.19816,-33.924343,-35.975758,-35.013996,-34.721176,-35.5486,-35.434883,-34.271297,-35.72877,-34.82215,-35.682133,-33.419327,-33.53169,-30.450000000000273
26,-28.162779,-30.036968,-31.396936,-29.828394,-31.565245,-29.01983,-29.741154,-29.255219,-30.150925,-30.576563,-29.674652,-29.020111,-30.428484,-31.020647,-28.901136,-30.261494,-29.738674,-30.52897,-29.15895,-28.62101,-36.159999999999854
27,-33.123524,-35.214817,-36.441326,-35.027557,-38.32092,-34.56575,-35.59737,-36.138218,-35.67859,-36.331234,-35.973377,-34.64643,-36.118176,-35.132854,-33.626835,-36.309017,-35.03317,-35.12211,-34.52065,-35.14224,13.579999999999927
28,12.772954,12.725365,12.521917,13.41985,12.906839,12.375776,14.259782,13.059119,14.165759,14.352053,13.543703,14.154079,13.02849,13.458063,13.1822605,13.320375,13.955075,14.279019,13.122633,13.052459,29.690000000000055
29,29.084707,28.186665,28.52089,30.786072,30.6526,29.250614,30.113459,30.252626,31.04007,30.48469,30.529345,29.334328,27.89555,29.537018,29.07639,29.882427,30.13827,30.456514,30.482027,29.444366,7.179999999999836
30,7.271258,6.741532,7.3900237,7.5223427,9.038332,7.202323,6.778684,8.232152,7.568531,6.883769,7.9660583,6.8958993,6.6404886,7.816337,6.3808675,7.553114,7.514529,6.4798083,7.154096,7.6871266,-1.319999999999709
31,-1.0681548,-1.870647,-0.96172523,-1.2939261,-1.2827734,-1.0287694,-0.904938,-0.43256867,-1.2571687,-1.4943365,-0.7749911,-1.3638339,-1.6032493,-1.4877499,-1.8989705,-0.90223444,-1.2797639,-2.035219,-0.52331835,-1.1289968,12.169999999999618
32,11.614341,11.8838,11.6353655,12.06654,11.373809,11.984345,11.666695,12.334567,11.808298,12.38446,11.980288,10.932833,12.180399,10.924217,12.572947,10.991611,12.345318,11.026472,12.028012,11.665328,47.600000000000364
33,46.319996,46.49873,45.217186,47.44773,46.090473,46.04122,48.360397,48.031113,48.770023,48.83479,47.083855,46.90898,46.699516,46.129272,47.30188,46.611088,48.656418,47.60755,47.16202,47.321175,-3.550000000000182
34,-3.5820358,-2.6485634,-3.959939,-2.6818345,-3.6507328,-3.8092673,-3.1589367,-3.2395647,-3.2006288,-3.8309915,-4.0554714,-3.47114,-3.2433724,-3.38511,-2.866563,-4.399835,-4.529218,-2.9515297,-2.8430257,-3.6042078,-17.710000000000036
35,-17.85053,-16.654306,-19.266493,-16.967232,-17.145142,-17.39677,-17.707438,-16.575554,-18.047167,-16.933784,-17.375471,-17.257597,-17.828856,-18.883698,-16.645967,-19.654682,-18.835842,-17.701633,-17.090124,-16.437607,-15.829999999999927
36,-14.334828,-15.766434,-16.088568,-15.848392,-16.304539,-14.19101,-15.739725,-15.495004,-15.842359,-15.961681,-16.036037,-14.986083,-15.6619005,-15.518576,-15.179361,-15.892828,-15.116959,-15.95036,-15.140726,-14.666875,-2.150000000000091
37,-1.117383,-1.672964,-1.8218827,-2.507306,-3.4030566,-1.7861077,-2.0876377,-2.5251644,-2.102451,-2.285168,-2.4800808,-1.794019,-2.3471086,-1.2549547,-1.7210371,-2.5185957,-2.0278823,-1.8905547,-2.7750287,-2.063722,4.680000000000291
38,4.5060024,3.9551942,3.9156487,5.060433,4.64211,4.5530596,4.5386505,4.843159,5.014211,4.9900293,4.8776736,4.9646535,4.101859,4.7842445,4.7169876,4.8539767,4.7777286,5.874538,4.6897445,4.3402877,-39.090000000000146
39,-37.172413,-37.951405,-42.060577,-37.54825,-38.782585,-37.803978,-38.13431,-37.885593,-38.265743,-39.164005,-39.089962,-38.73728,-39.986732,-39.04207,-37.714085,-40.545834,-38.190174,-38.42645,-37.072865,-38.03686,4.019999999999982
40,3.4691703,3.962711,4.405726,4.0448833,4.7357397,4.404219,4.4860415,4.4770737,2.8844616,3.8358476,4.5087543,3.8922975,3.7241216,3.9313378,4.0739655,3.8550677,4.252304,3.7456934,4.1174183,3.9866862,-5.010000000000218
41,-3.483927,-5.4670424,-4.781173,-5.054205,-5.4341908,-4.4289775,-4.7012157,-5.38014,-4.5442204,-5.6745586,-5.035286,-5.074511,-4.949319,-4.066282,-4.997638,-4.0753946,-3.5938513,-4.914952,-4.4924593,-5.2566333,-68.23999999999978
42,-64.36702,-66.16464,-71.4873,-65.557556,-70.617035,-67.734795,-66.42079,-67.32011,-66.4379,-68.33132,-67.011795,-66.73335,-69.191574,-68.03329,-64.66822,-69.39954,-67.08968,-66.86225,-64.9614,-66.55004,-55.429999999999836
43,-53.8599,-54.362526,-57.957516,-53.15255,-56.846813,-54.150528,-54.438656,-53.86294,-54.983803,-54.951,-53.973644,-53.75512,-56.374805,-56.22602,-52.958927,-56.155483,-53.561283,-54.419624,-53.008484,-53.930054,70.28999999999996
44,67.64549,68.161224,68.10972,70.448616,71.39543,69.30191,70.80701,70.936806,71.07511,71.7999,71.47097,68.18869,67.74183,68.15937,69.175514,67.925644,71.48113,68.9296,70.50636,69.468605,-45.93000000000029
45,-42.660606,-44.73274,-47.836517,-44.15836,-48.03233,-46.33371,-44.2693,-46.907562,-43.10671,-47.199024,-45.820477,-45.75115,-46.434814,-43.676823,-44.143703,-45.788433,-44.04918,-44.912365,-43.065567,-46.083023,-7.619999999999891
46,-8.965604,-7.233352,-9.112959,-6.368348,-6.940909,-8.747677,-7.292238,-6.137832,-7.665131,-6.9475174,-6.2501125,-7.451016,-8.457771,-8.914476,-7.4876647,-8.220919,-7.7820973,-7.75248,-7.664773,-7.5673227,35.86999999999989
47,34.942455,35.387787,35.4229,36.430008,37.2681,36.823563,35.807552,36.39742,35.524487,36.523502,36.658863,34.390743,34.561977,33.38848,35.487698,34.270184,35.892685,34.51513,37.12655,35.865696,-58.98999999999978
48,-53.739555,-57.631092,-60.957634,-57.18945,-62.429348,-59.71891,-56.95621,-60.58946,-56.771053,-59.8533,-58.195347,-57.622337,-59.18636,-58.00358,-55.333275,-59.042915,-58.31231,-57.5835,-55.91415,-57.952354,32.56999999999971
49,31.31116,31.965668,30.89339,33.136127,30.592302,31.383924,34.11993,31.966076,32.85474,33.349552,31.419123,30.79236,32.25837,32.2054,33.389446,31.486605,32.434258,34.651855,32.63346,30.907608,30.240000000000236
50,30.047117,28.977896,28.5959,30.574547,30.283464,29.597124,29.951128,29.815546,32.21269,31.055765,30.18983,30.34216,28.403057,27.565577,28.909983,29.43974,30.02087,28.503445,31.217615,30.41046,18.15000000000009
51,17.603342,18.104229,17.97979,17.550583,19.11217,16.942446,18.896101,19.228977,18.592733,18.51339,18.504171,18.910906,18.914457,19.45715,17.28523,19.243229,19.661165,18.240255,17.055332,19.746197,-58.370000000000346
