,1_times_lag3,2_times_lag3,3_times_lag3,4_times_lag3,5_times_lag3,6_times_lag3,7_times_lag3,8_times_lag3,9_times_lag3,10_times_lag3,11_times_lag3,12_times_lag3,13_times_lag3,14_times_lag3,15_times_lag3,16_times_lag3,17_times_lag3,18_times_lag3,19_times_lag3,20_times_lag3,test_value
0,2855.4465491485594,2854.9834773254393,2855.54515335083,2856.2809073638914,2855.371460647583,2855.8184897613523,2854.052029342651,2855.755638809204,2854.5811011505125,2856.159706802368,2855.3018653106687,2855.421393127441,2855.124447555542,2855.616602630615,2855.556610794067,2855.3341567230223,2854.8780219268797,2855.377245635986,2856.540238113403,2855.389504165649,2839.13
1,2845.30542552948,2844.8492339897157,2845.1022957611085,2845.116396789551,2845.3348320770265,2844.835636024475,2844.6468499946595,2845.305605773926,2844.964035396576,2845.191243057251,2845.4233497428895,2845.1659592437745,2845.1039437103273,2845.575885181427,2845.174182777405,2845.4199794578553,2845.17958486557,2844.695712451935,2845.161268119812,2845.4662851142884,2837.54
2,2835.812486805916,2835.840676345825,2836.018788971901,2836.291261115074,2835.8978161001205,2835.840174355507,2836.0344434165954,2835.8072765254974,2835.8184075737,2836.3380947494506,2836.011923828125,2835.787143983841,2836.0002938890457,2836.2702399873733,2835.85487596035,2836.11745718956,2835.6658536577224,2835.9986621522903,2835.805175819397,2836.4743626499176,2839.25
3,2840.7972412109375,2840.954921245575,2840.7508363723755,2840.9097205400467,2840.9581397771835,2840.911390185356,2841.005606174469,2840.9652683734894,2840.9613362550735,2840.9292027950287,2840.9642827510834,2840.9117846488953,2840.8817600011826,2841.0673228502274,2840.984522819519,2841.0347652435303,2841.009431242943,2840.917874455452,2840.844548225403,2840.998151898384,2872.87
4,2905.8810359191893,2905.7702952575683,2906.132538909912,2907.5197077941893,2906.14717590332,2906.9733363342284,2904.590140457153,2906.6227809143065,2905.166146392822,2907.306225891113,2905.8527041625975,2906.1560832214354,2905.578267211914,2906.3682261657714,2906.456357116699,2905.996651763916,2905.4919749450683,2906.3667651367186,2907.796776885986,2906.0355082702636,2853.53
5,2833.8295166778566,2833.756142883301,2833.8216126251223,2834.4073994445803,2833.996913223267,2834.6885197448732,2834.0386746215822,2834.362801818848,2833.655556945801,2834.3582108306887,2834.3612244415285,2834.2466404724123,2835.639874725342,2834.6506455230715,2834.9716751861574,2834.5892784881594,2834.665946273804,2834.803162841797,2833.3119538116457,2835.3407051849367,2822.43
6,2790.6466728973387,2790.8570133972166,2791.168290786743,2790.8471810150145,2791.482146911621,2793.14929359436,2790.826478652954,2792.3688999938963,2790.6941925811766,2792.8470341491698,2790.8815151977537,2791.2013050842284,2792.1356522369383,2791.7378308105467,2791.7215325164793,2790.9449402618407,2791.3935066986082,2792.1324097442625,2791.1266495513914,2794.041940383911,2823.81
7,2825.092769680023,2825.3458667373657,2825.220118460655,2825.314398226738,2825.240295228958,2825.81647687912,2825.426951704025,2825.530004558563,2825.2844844436645,2825.575965938568,2824.810037431717,2825.3395066833496,2825.028451619148,2824.952300248146,2825.304781732559,2824.992113647461,2825.3597658252716,2825.4316287612914,2825.6137962913513,2824.858652410507,2821.98
8,2820.2338039684296,2819.9978470611572,2819.9752363967896,2819.8196224975586,2820.261062722206,2820.2519107866287,2820.0251402664185,2820.24990544796,2820.0497174072266,2819.500488500595,2820.1202790546417,2820.520481686592,2820.3794632959366,2820.0536173391342,2820.29632232666,2819.9370410251618,2820.5852683591843,2819.914445619583,2820.130232434273,2819.521106939316,2762.13
9,2700.902113800049,2701.283190612793,2701.2010906982423,2700.7831066894532,2702.545019989014,2705.174502258301,2701.4600666809083,2703.9105480957032,2701.0693692016603,2703.338236694336,2701.688891296387,2702.639044647217,2704.725947265625,2702.8514584350587,2703.656077270508,2701.909541015625,2703.6876095581056,2703.3407887268067,2701.255598907471,2705.9956578063966,2648.94
10,2533.022046508789,2534.030545654297,2533.7218908691407,2531.7129415893555,2536.728703918457,2541.940343322754,2534.0142263793946,2539.4426931762696,2533.686810913086,2537.9799856567383,2534.025174560547,2536.5562033081055,2539.2972845458985,2536.3801473999024,2537.8170751953126,2534.1998876953126,2538.4410833740235,2537.2824072265626,2534.6948141479493,2542.8031896972657,2695.14
11,2739.685181274414,2741.941891326904,2741.1386991882323,2744.650730743408,2740.274956359863,2744.6260229492186,2740.3799024963378,2742.0375524902342,2739.9258543395995,2743.586952819824,2739.3203588867186,2741.1745306396483,2740.291901245117,2739.9160009765624,2741.9185758972167,2739.804554595947,2739.7396322631835,2743.9979597473143,2744.648808135986,2739.534721984863,2681.66
12,2668.2768270111083,2667.5825101470946,2667.1553098297118,2666.9249307250975,2668.43610206604,2668.1108819580077,2668.181029472351,2667.885185394287,2667.994729194641,2665.188284072876,2668.328741226196,2669.3368569946288,2669.7533570861815,2667.9079076385497,2669.3595038986205,2668.286085281372,2670.531601104736,2667.2589151000975,2667.2348176574706,2666.3791104888915,2581.0
13,2477.9700927734375,2478.786865234375,2479.0037231445312,2478.513458251953,2480.643898010254,2485.436569213867,2478.89892578125,2483.0495071411133,2478.3242721557617,2483.3044815063477,2479.3401260375977,2480.476608276367,2484.1033630371094,2481.4329528808594,2482.307685852051,2479.6058044433594,2481.7366790771484,2482.5662689208984,2478.92472076416,2487.617721557617,2619.55
14,2656.0532958984377,2658.760330963135,2657.110932159424,2660.358475494385,2657.5327880859377,2660.486767578125,2658.040417480469,2658.4165313720705,2657.45482711792,2659.6604278564455,2656.482228088379,2657.8236740112307,2656.786351013184,2657.219658660889,2658.6395576477053,2657.1018341064455,2657.260102081299,2660.0587966918947,2660.1271522521974,2656.8241737365724,2656.0
15,2693.8895835876465,2690.9476585388184,2694.43302154541,2694.750930786133,2691.204788208008,2693.603244781494,2687.9317836761475,2693.3087272644043,2689.3545570373535,2694.0807571411133,2691.7515563964844,2692.451011657715,2692.747756958008,2691.6287231445312,2692.151264190674,2691.2320823669434,2689.940456390381,2692.635509490967,2695.78023147583,2691.4705772399902,2662.94
16,2669.556874217987,2669.205187263489,2669.280738296509,2669.388687553406,2670.1005801582337,2668.998506011963,2669.1926240348816,2669.5910372161866,2669.7809638404847,2669.576074066162,2670.194940032959,2669.563885154724,2669.5550636672974,2670.3785194778443,2669.7122601890565,2670.239979686737,2669.974857749939,2668.859771671295,2669.252183856964,2670.190654220581,2698.63
17,2733.152777557373,2733.5518940734864,2733.187273864746,2734.790640716553,2734.3106526184083,2734.2765873718263,2732.8166607666017,2734.1678150939942,2733.3658016967775,2734.805060272217,2733.802134399414,2733.8141888427735,2732.92606628418,2734.5669430541993,2734.2739590454103,2734.1161221313478,2733.724005584717,2733.6949604797364,2734.922461395264,2734.147459869385,2731.2
18,2763.555083465576,2762.5887557983397,2763.5201217651365,2764.3404876708983,2763.5385047912596,2763.5735733032225,2761.3028518676756,2763.808901977539,2762.2590953826902,2764.3107940673826,2763.460543823242,2763.3932411193846,2762.9212562561033,2763.9387351989744,2763.5478279113768,2763.471614074707,2762.760863494873,2762.906329345703,2764.7679931640623,2763.613188934326,2732.22
19,2733.068491966724,2732.8805138778685,2733.1532026839254,2733.319584817886,2733.4553876829145,2732.442290098667,2733.141052932739,2732.8559643936155,2733.176736564636,2733.3799309444425,2733.5560033035276,2733.042225451469,2733.2027378988264,2733.8854523611067,2733.300578446388,2733.663776130676,2733.253131241798,2733.0350018453596,2732.5456510198114,2733.8575482082365,2716.26
20,2700.0026433563235,2700.022020111084,2700.3805272674563,2700.5761029815676,2700.225623855591,2701.1289146041872,2700.0702912902834,2700.711068878174,2699.896455535889,2701.409618148804,2700.211681137085,2700.0589711761477,2700.874956855774,2700.704407463074,2700.541800270081,2700.302373657227,2700.0412595367434,2700.974478492737,2700.042419204712,2702.01193977356,2701.33
21,2686.104586677551,2686.1308680343627,2686.179757194519,2685.7217999267577,2686.618468360901,2687.329720573425,2686.1471701431274,2687.059104042053,2686.1034928131103,2686.788002090454,2686.0683642196655,2686.5214529800414,2686.709611968994,2686.508433418274,2686.621778564453,2686.119008140564,2686.7810316848754,2686.5557175445556,2686.3321381378173,2687.3652792739867,2703.96
22,2706.5862629032135,2706.664359769821,2706.7089042282105,2706.923354587555,2706.4208640670777,2707.026431760788,2706.5891546821595,2706.7394699668885,2706.4537727451325,2706.8768503284455,2706.321327648163,2706.6977786636353,2706.6503426647187,2706.465337715149,2706.683744869232,2706.479254207611,2706.3968765354157,2706.836564025879,2706.9988050079346,2706.34609790802,2747.3
23,2790.065964508057,2789.6834800720217,2790.4663398742678,2792.1671760559084,2790.092991638184,2791.423199462891,2787.9683731079103,2790.9001625061037,2788.76932220459,2791.8175247192385,2789.7724731445314,2790.2596328735353,2789.601525115967,2790.347344207764,2790.583416748047,2789.8849685668947,2789.1830757141115,2790.6076057434084,2792.6032112121584,2789.954739379883,2779.6
24,2811.8721138000487,2810.6039596557616,2811.805024719238,2812.460698699951,2811.6369606018065,2811.6274391174315,2809.204211807251,2811.964635467529,2810.2665210723876,2812.4363227844237,2811.6456771850585,2811.5381618499755,2811.138761138916,2812.0772491455077,2811.6321807861327,2811.59591255188,2810.8097759246825,2810.934367752075,2812.9536643981933,2811.765199279785,2744.28
25,2708.2204792785647,2708.332787780762,2708.7494442749025,2709.601949005127,2708.638943939209,2710.3324101257326,2708.562066345215,2709.4629910278322,2708.07358291626,2710.473256378174,2709.0578778076174,2708.6645977783205,2710.907555847168,2709.7831356811525,2709.879967956543,2709.299485473633,2708.923711090088,2710.338792114258,2707.941933898926,2712.0469372558596,2713.83
26,2682.6985455322265,2682.946672515869,2683.2395764160156,2682.567211227417,2683.6729622650146,2685.3726998138427,2682.8338719177245,2684.597681121826,2682.8071518707275,2684.9525357055663,2682.7599793243407,2683.288578109741,2683.8538342285156,2683.674415664673,2683.6142960357665,2682.769016342163,2683.4538117218017,2684.0356350708007,2683.422155456543,2686.0547829437255,2677.67
27,2640.6749018859864,2640.8915690612794,2640.5157832336427,2639.28079788208,2642.1068591308594,2643.561654968262,2640.9411563110352,2642.9638537597657,2640.8868769836427,2641.4091204833985,2640.7465495300294,2642.1728076171876,2642.5422915649415,2641.4950885009766,2642.2671450805665,2640.8293856811524,2643.1436938476563,2641.502878112793,2641.212407989502,2642.9877795410157,2691.25
28,2704.498001098633,2705.01459980011,2704.9815435409546,2706.0046157836914,2704.367530822754,2705.9858417510986,2704.4019346237183,2705.1531744003296,2704.252206802368,2705.608818054199,2704.1878061294556,2704.8324937820435,2704.6950645446777,2704.330840110779,2705.019862174988,2704.3068351745605,2704.2028760910034,2705.7977981567383,2706.0271921157837,2704.2065286636353,2720.94
29,2750.8162378692627,2749.7521070861817,2751.13322013855,2751.958678665161,2750.013585510254,2751.28778213501,2748.107320251465,2751.002931060791,2748.8812536621094,2751.613490524292,2750.0625986480713,2750.463015975952,2750.2807859802247,2750.2856077575684,2750.514920654297,2749.9602236175538,2749.252822341919,2750.64858001709,2752.4492487335206,2750.056445541382,2728.12
30,2735.369433517456,2734.7377778244017,2735.130913848877,2735.091333026886,2735.348045940399,2734.7298074913024,2734.4646173667907,2735.32140171051,2734.8833061408995,2735.1792350959777,2735.474682922363,2735.156422729492,2735.0959168624877,2735.634853477478,2735.143631095886,2735.4466024589537,2735.145315284729,2734.5442882728576,2735.16604101181,2735.5266586494445,2726.8
31,2725.2875675439836,2725.4112331151964,2725.481698679924,2725.7817981719973,2725.4816325187685,2725.235699462891,2725.6253172636034,2725.2013595581057,2725.4429343223574,2725.86661939621,2725.6962633609774,2725.302389550209,2725.5020114660265,2725.907639849186,2725.346618938446,2725.6485085964205,2725.1402863740923,2725.5389253377916,2725.2963405132296,2726.096729683876,2738.97
32,2750.763038368225,2750.919200630188,2750.801181526184,2751.3946072769163,2751.058303565979,2751.2348401260374,2750.6248957824705,2751.1482541275022,2750.761718482971,2751.357548446655,2750.9383418273924,2750.9895751190184,2750.744070739746,2751.1999098968504,2751.1519448471067,2751.054582328796,2750.8951508712767,2751.0500046920774,2751.420681686401,2751.0373933029173,2786.57
33,2833.442714996338,2833.011692352295,2833.743828125,2835.539799041748,2833.717758483887,2834.6929057312013,2831.2752421569826,2834.332176513672,2832.223949737549,2835.2780078125,2833.337318725586,2833.688160247803,2832.8853610229494,2834.036217041016,2834.061279602051,2833.486255950928,2832.7198908996584,2833.7994082641603,2836.000591583252,2833.584888763428,2783.02
34,2779.483475227356,2778.9335127067566,2779.456642885208,2780.209230442047,2779.2134399604797,2779.0541868400574,2779.367029685974,2779.0881807994842,2779.289404888153,2779.6225574207306,2779.9680834007263,2779.268421192169,2780.189817686081,2779.934482355118,2779.6734037590027,2780.074074525833,2779.534293909073,2779.5445594978332,2778.6330328178406,2780.031247396469,2765.31
35,2747.2602544403076,2747.322891769409,2747.8188596343994,2748.0467763519287,2747.4993463134765,2748.60541015625,2747.3227334594726,2748.0773454284667,2747.159796295166,2749.1538396453857,2747.477552947998,2747.215023574829,2748.1086183166503,2748.0762467956542,2747.761868057251,2747.5484510040283,2747.0633226013183,2748.4491105651855,2747.4196878051757,2749.77146774292,2749.48
36,2733.329905014038,2733.3643994140625,2733.3654846954346,2732.821859817505,2733.908762435913,2734.6352686691284,2733.3818211364746,2734.3631701278687,2733.3464932250977,2733.9465336608887,2733.2811894226074,2733.828960876465,2733.978448371887,2733.7287144470215,2733.899425010681,2733.3312802124024,2734.1479182052612,2733.7544569778443,2733.5816035079956,2734.5703911590576,2747.33
37,2745.071788625717,2745.0727246570586,2745.014750318527,2744.546188907623,2745.4053515958785,2745.523458199501,2745.11400683403,2745.4556964206695,2745.1429172325134,2744.9020975399017,2744.941939907074,2745.3692435789108,2745.0544012355804,2744.996596651077,2745.2704020309448,2744.937587814331,2745.614712553024,2745.0073653030395,2745.2466078567504,2744.8424213695525,2752.01
38,2756.8061821556093,2756.5916335678103,2756.904910812378,2757.0680248832705,2756.4615490531924,2756.969417819977,2756.224035987854,2756.8511192893984,2756.2976586914065,2756.941622505188,2756.563647518158,2756.7068507766726,2756.7777745819094,2756.5758855438235,2756.703006515503,2756.537930736542,2756.3647224998476,2756.872409591675,2757.1449625587466,2756.521404037476,2712.92
39,2672.962552947998,2673.1397151184083,2673.091928405762,2672.903669281006,2673.977876586914,2675.639699859619,2673.316743774414,2674.8620318603516,2673.005678100586,2674.4101962280274,2673.4942263793946,2674.0935496520997,2675.5523165893555,2674.2501963806153,2674.811628265381,2673.681993408203,2674.8363551330567,2674.530336303711,2673.0448359680177,2676.171064300537,2716.94
40,2720.265024843216,2721.3421916389466,2720.5881573581696,2721.23692029953,2720.961414279938,2721.619762363434,2721.501082839966,2721.093395175934,2721.272859516144,2721.176265182495,2720.6281082057953,2720.858354511261,2720.572714033127,2720.832544269562,2721.0272049331666,2720.785869064331,2721.122528972626,2721.4891166114808,2721.122819366455,2720.812333288193,2711.93
41,2706.9257947731016,2706.699950389862,2706.549424343109,2706.191731147766,2707.1767284202574,2707.0609070587157,2706.920880012512,2707.090195350647,2706.8433343696593,2706.0447718429564,2706.816022567749,2707.324553184509,2707.2404429244993,2706.7611624526976,2707.350917034149,2706.864697151184,2707.851806335449,2706.5651146697996,2706.6321164894102,2706.2943164634703,2643.69
