,1_times_lag8,2_times_lag8,3_times_lag8,4_times_lag8,5_times_lag8,6_times_lag8,7_times_lag8,8_times_lag8,9_times_lag8,10_times_lag8,11_times_lag8,12_times_lag8,13_times_lag8,14_times_lag8,15_times_lag8,16_times_lag8,17_times_lag8,18_times_lag8,19_times_lag8,20_times_lag8,test_value
0,2829.693427057266,2827.4953529548643,2828.9745549869535,2827.7154118728636,2829.7726950359342,2831.5488890123365,2831.7837172460554,2829.3271653366087,2828.6520459365843,2827.9074089241026,2830.127071352005,2830.0045215797422,2827.2385933113096,2829.9441127490995,2830.1295809459684,2827.446595878601,2828.8421323013304,2829.648886413574,2831.743566007614,2830.115810127258,2839.13
1,2837.6387558031083,2839.8546266007424,2839.0507437932492,2837.3681855249406,2838.7216607677938,2840.740689997673,2838.7140706527234,2839.4959080564977,2839.5605868148805,2840.3012280511857,2842.7697700309755,2840.1477133083345,2837.668754105568,2837.561779384613,2840.4888765859605,2840.454942111969,2837.4937593984605,2838.1655224609376,2840.784083967209,2838.3356403756143,2837.54
2,2851.5565195465088,2853.280774154663,2851.7322245025634,2851.5384312057495,2852.53387550354,2852.9353619003296,2850.8908377075195,2854.045973815918,2850.465298690796,2851.2439136886596,2852.946029701233,2852.3151865386963,2849.9728804016113,2849.912389793396,2851.0225897216797,2849.52766040802,2854.2889128112793,2853.4111433410644,2853.75852684021,2853.544720687866,2839.25
3,2855.9925594329834,2857.166379928589,2854.6569175720215,2854.218258857727,2857.353811264038,2858.9163188934326,2856.0801906585693,2856.3629627227783,2856.935739517212,2853.914520263672,2858.299570083618,2856.202922821045,2855.750270843506,2857.1420879364014,2855.93900680542,2856.666757583618,2855.482276916504,2855.8539867401123,2856.7075996398926,2856.1006031036377,2872.87
4,2864.4118558120726,2868.8324891281127,2868.5796886634826,2867.2983900260924,2869.245161409378,2866.0910216522216,2868.661630268097,2867.1121002388,2870.5508614730834,2866.9084883880614,2867.6819835853576,2866.0695582580565,2863.925425643921,2865.2980157089232,2866.0532847595214,2863.7579480361937,2866.5848637771605,2863.630838508606,2866.468211288452,2867.2937451553344,2853.53
5,2855.3837583351137,2856.615414886475,2855.624125032425,2852.646325438023,2858.4011752891543,2856.738872795105,2856.8177562046053,2856.618487863541,2855.184992103577,2856.9006386089327,2856.849202899933,2853.2816779601576,2853.7861440467836,2853.6783779847624,2858.1351774024965,2853.1796784091,2854.6650053548815,2857.5171027469637,2859.2200148391726,2854.598706035614,2822.43
6,2820.7342024374007,2821.067897610664,2819.5238556194304,2818.64818447113,2821.4794642853735,2820.0935601520537,2822.499411590695,2820.3501581478117,2823.771542005539,2820.2110552120207,2821.6601204204558,2821.0657115507124,2818.311190776825,2817.359600715637,2820.338931016922,2819.349730901718,2819.713135175705,2820.6840230751036,2819.383405380249,2822.1660963523386,2823.81
7,2764.85061126709,2769.6281114196777,2768.5121980285644,2767.8322702026367,2766.496782836914,2768.2797227478027,2770.3468614196777,2761.7258782958984,2780.490519104004,2766.828859863281,2765.5502725219726,2768.435617980957,2763.131060180664,2768.340059814453,2765.3169885253906,2768.340689239502,2764.535086212158,2764.091177520752,2765.5627656555175,2764.5496965026855,2821.98
8,2726.1868634033203,2733.059071044922,2730.7541088867188,2730.2953228759766,2724.7689862060547,2729.4067807006836,2728.0108227539063,2720.318592529297,2742.109669189453,2729.0032467651367,2729.0356030273438,2732.8241009521485,2726.980358581543,2732.4332623291016,2725.4728283691406,2731.4734463500977,2721.4309887695313,2726.108372192383,2727.4994931030274,2723.4269299316406,2762.13
9,2708.6333111572267,2711.246237640381,2701.80590713501,2704.228217010498,2701.5040577697755,2702.207075958252,2705.121065979004,2699.9875592041017,2705.602557067871,2706.051527862549,2703.4984539794923,2705.4918087768556,2704.592085723877,2702.939883117676,2700.8393658447267,2710.384337310791,2710.3709896850587,2708.4627713012696,2703.6586140441896,2703.3042515563966,2648.94
