,1_times_lag9,2_times_lag9,3_times_lag9,4_times_lag9,5_times_lag9,6_times_lag9,7_times_lag9,8_times_lag9,9_times_lag9,10_times_lag9,11_times_lag9,12_times_lag9,13_times_lag9,14_times_lag9,15_times_lag9,16_times_lag9,17_times_lag9,18_times_lag9,19_times_lag9,20_times_lag9,test_value
0,2832.5514157426355,2834.151303977966,2834.210131139755,2832.1054960799215,2836.39418718338,2834.4021777820585,2834.6414648008345,2834.3881571006773,2834.42151412487,2834.891469569206,2835.190841884613,2835.0717892360685,2832.802527130842,2835.63469502449,2833.52271923542,2833.311781646013,2833.801213057041,2833.422087730169,2834.479978055954,2833.9568991374967,2839.13
1,2842.0425792980195,2842.5275973129274,2843.3221067237855,2844.460937385559,2844.4667586135865,2843.3887413787843,2844.924246196747,2843.961117153168,2843.0137418556214,2844.4675487327577,2844.585361366272,2844.7370556640626,2842.771154050827,2843.6409329223634,2843.790309791565,2842.792731409073,2844.2732509422303,2841.916672115326,2844.8964337158204,2843.923950557709,2837.54
2,2855.2654943847656,2855.59456161499,2856.825524368286,2855.695221939087,2855.6790113830566,2855.150620498657,2855.772105255127,2857.272328414917,2856.675097503662,2857.5034552001953,2856.2322092437744,2857.1699324035644,2854.8907385253906,2856.10742477417,2854.544592895508,2855.4339247131347,2855.3874922180175,2853.8879976654052,2857.260691680908,2856.7680559539795,2839.25
3,2862.126754760742,2861.3169288635254,2862.076162338257,2861.164239883423,2864.3630905151367,2862.205062866211,2862.530752182007,2863.2721271514893,2862.1137619018555,2862.5056343078613,2863.40740776062,2862.665382385254,2861.0640602111816,2861.570369720459,2862.0174140930176,2859.4639778137207,2862.649007797241,2859.8432693481445,2862.8120155334473,2862.431879043579,2872.87
4,2869.6700268936156,2869.920440788269,2870.815376396179,2869.837420578003,2871.9319705319404,2868.378509159088,2872.691198105812,2871.3659090948104,2870.2123528671264,2871.2530325603484,2871.9349329423903,2871.3681995821,2870.0068062496184,2871.869790072441,2871.760913248062,2869.815771932602,2871.426712388992,2870.2201515388488,2871.9391032409667,2871.9459717226027,2853.53
5,2856.4808833885195,2854.959850935936,2857.659116535187,2853.660469053984,2855.912042169571,2854.733156590462,2856.1480963516237,2855.522689371109,2854.763376860619,2855.1698869752886,2856.4848740386965,2855.7764570999148,2853.5348594474794,2855.266846446991,2855.493488817215,2852.987045376301,2854.8181199121477,2854.252895383835,2857.903754501343,2855.4863239812853,2822.43
6,2803.6214958953856,2802.5431172180174,2804.577050857544,2804.2903744506834,2802.480064086914,2804.2667290496825,2802.6482483673094,2806.4862744140623,2804.191396408081,2804.045575790405,2806.5656029510496,2803.768735580444,2803.5018822479246,2804.3298508453368,2803.435926132202,2803.30682723999,2804.7140881347655,2803.6940266418455,2806.6994187164305,2805.4747273254393,2823.81
7,2758.468592224121,2758.1933389282226,2756.0371423339843,2757.3490167236328,2759.797495422363,2760.4286447143554,2760.4843545532226,2760.788874206543,2759.467112121582,2756.77573638916,2760.9925790405273,2757.4910913085937,2757.7522454833984,2758.8675408935546,2759.1628747558593,2757.3620782470703,2757.638071594238,2760.5183854675292,2759.6470666503906,2759.8776231384277,2821.98
8,2728.382328491211,2726.4561962890625,2727.2742810058594,2728.0697750854492,2729.7575115966797,2731.78867767334,2732.1369747924805,2731.788395385742,2728.8303952026367,2723.756596069336,2733.51995513916,2730.7346615600586,2729.494633178711,2729.1319165039063,2728.7250103759766,2725.256580810547,2731.1665844726563,2729.6709103393555,2729.6430935668945,2730.241993408203,2762.13
9,2704.730673675537,2702.020132904053,2705.3890217590333,2699.802966003418,2702.46166885376,2702.429575805664,2702.4397190856935,2705.9614018249513,2702.469408874512,2701.1017178344728,2706.8642834472657,2701.86091506958,2703.625658874512,2701.0853527832032,2702.519232635498,2701.057974700928,2703.212489013672,2705.9388722229005,2705.9261807250978,2701.6522206115724,2648.94
10,2659.01222366333,2656.3671035194398,2661.4258713150025,2657.221789779663,2657.779882850647,2660.8783363723755,2654.790528717041,2662.704659881592,2657.767370643616,2655.384875240326,2661.9701084518433,2652.737967195511,2656.43711894989,2655.3749460601807,2655.5282692337037,2655.943083229065,2656.4656938934327,2659.3475136184693,2662.0323671722413,2653.6849612617493,2695.14
11,2640.414921417236,2643.3244749450682,2643.6597143554686,2640.0305639648436,2648.727863922119,2639.564034118652,2646.0086294555663,2644.202847137451,2643.7280889892577,2638.0318533325194,2647.514656677246,2639.048924102783,2639.8919874572753,2643.5101858520507,2641.458550109863,2638.9370314025878,2642.939087524414,2646.961781158447,2640.261585845947,2641.1162954711913,2681.66
12,2617.0094567871092,2615.3547784423827,2617.0388757324217,2618.684700164795,2618.4536782836913,2624.7811280822752,2618.105945739746,2619.718483123779,2619.5832368469237,2609.0679971313475,2623.7226411437987,2619.7880975341795,2617.5442849731444,2619.3869744873045,2613.2125817871092,2619.9514962768553,2619.4775926208495,2620.5017739868163,2618.029457244873,2614.9272119140624,2581.0
13,2587.018476963043,2589.684084892273,2592.8526754379272,2593.9189825057983,2588.0518984794617,2592.2291383743286,2590.952145576477,2593.3373651504517,2593.856904029846,2591.2323141098022,2592.154866218567,2593.712430000305,2588.9216132164,2592.3666105270386,2587.3521313667297,2590.8887939453125,2592.732843399048,2590.916732788086,2595.0418367385864,2586.556704521179,2619.55
14,2624.4559228897097,2624.3323777198793,2625.673281955719,2624.8099291801454,2630.0124328613283,2625.059373188019,2627.476859378815,2627.0649054527285,2626.7628610610964,2625.961059379578,2627.4985378265383,2629.154620933533,2622.8475165843965,2627.195845413208,2621.0958037853243,2625.7597749710085,2625.1583149909975,2625.7487075805666,2627.1459610939028,2623.398095417023,2656.0
15,2668.881022453308,2668.433994293213,2669.54989528656,2670.372136116028,2673.9351749420166,2668.0934267044067,2677.701177597046,2668.6546688079834,2671.8674535751343,2665.8020963668823,2677.2516593933105,2674.4104804992676,2665.907859802246,2672.361150741577,2671.856833457947,2669.329129219055,2670.5901594161987,2670.649821281433,2675.5136642456055,2670.3964262008667,2662.94
16,2705.569177093506,2708.205727996826,2714.9660543823243,2707.274270477295,2705.4126791381836,2705.6955084228516,2713.2655348205567,2707.3055586242676,2711.498006286621,2708.110852661133,2707.2485021972657,2711.413976135254,2705.297364654541,2709.804917755127,2705.4864324951172,2708.570672454834,2708.3728842163086,2710.853227081299,2715.073544921875,2705.3364920043946,2698.63
17,2713.284097557068,2716.490456466675,2720.9356163787843,2716.1635903167726,2722.2044876861573,2716.6024426269532,2718.533861999512,2720.005577926636,2716.381298904419,2716.795205001831,2718.756901626587,2716.65325630188,2712.934346084595,2718.954422836304,2712.47494304657,2712.387802963257,2719.975941543579,2713.6111935424806,2716.1717785644532,2711.9949530410768,2731.2
18,2702.9093811035154,2706.874730300903,2708.6487953186033,2710.0053321838377,2710.1726428985594,2706.209531021118,2710.294694137573,2709.3230068206785,2703.186680984497,2708.812157821655,2716.12396068573,2708.2464458465574,2707.629925918579,2708.9720375061033,2709.615410995483,2705.8647663116453,2709.7811958312986,2707.562588882446,2711.0164234161375,2711.612034988403,2732.22
