,1_times_lag3,2_times_lag3,3_times_lag3,4_times_lag3,5_times_lag3,6_times_lag3,7_times_lag3,8_times_lag3,9_times_lag3,10_times_lag3,11_times_lag3,12_times_lag3,13_times_lag3,14_times_lag3,15_times_lag3,16_times_lag3,17_times_lag3,18_times_lag3,19_times_lag3,20_times_lag3,test_percentage
0,6.1117096,6.521921,6.439057,6.7030144,6.389525,6.167548,6.6052227,6.4705276,6.3064218,5.8601356,6.849683,6.5843945,6.093761,6.152406,6.429699,6.039765,6.319413,6.584852,6.0885653,6.6259813,-0.2400000000000091
1,12.488185,12.748852,12.491269,12.322669,12.575385,12.260649,12.78188,12.992662,12.535493,12.377003,12.77254,12.725056,12.122568,12.415507,12.740447,12.41946,12.555049,12.416099,12.637373,12.6368475,14.22999999999979
2,3.675011,3.398678,3.6696057,3.3000193,3.6700764,3.7542105,3.5499465,3.7188172,3.6427557,3.8975475,3.6039035,3.5448961,3.3995857,3.6715322,3.6318636,3.734425,3.383303,3.1204045,3.7063417,3.7457902,-1.6699999999998454
3,1.6834052,2.188226,2.3043685,1.9473557,2.2070274,1.8302805,2.2041004,2.106368,1.506162,1.7431859,1.5606272,2.0095687,1.875514,1.9562386,1.6131079,2.1066403,1.999549,2.0032172,1.9415522,1.965221,6.3599999999999
4,-3.3198576,-2.683244,-2.896374,-3.059271,-2.817303,-3.1177065,-3.186912,-2.8177495,-3.2468472,-3.203658,-2.9032345,-2.957212,-3.1901605,-3.0254421,-3.0322623,-2.8395548,-3.4192865,-2.8484685,-3.0540116,-2.8536725,-2.7100000000000364
5,1.214134,2.1293435,1.7055051,2.3588195,1.9988728,1.8151032,2.1212842,1.8080533,1.2176373,1.4887921,1.7620059,2.2756338,1.7485181,1.3641421,1.4687406,1.932712,1.955903,1.7968334,1.3254558,1.707113,-2.349999999999909
6,8.964748,9.293666,8.804406,9.194783,8.995092,9.140389,9.681281,9.387941,8.892154,8.864118,9.474163,9.351145,8.913707,8.950594,9.109992,9.319689,9.200225,9.0376835,9.091263,9.433173,-1.75
7,10.724064,11.438884,11.325413,10.341936,11.298413,10.987635,11.165724,11.618435,10.721937,10.941192,10.846726,10.828977,11.057841,11.273247,11.104731,11.202387,10.874736,10.873383,10.929292,11.151487,4.730000000000018
8,5.7894216,6.0646253,5.8064756,5.3659616,5.725749,5.1231637,5.5035195,5.6879373,5.0922475,5.4797406,6.1045814,5.3766026,5.6659083,6.23601,5.7765026,5.960679,5.610875,5.4094357,5.7261086,5.973553,11.480000000000018
9,1.082427,1.1531721,1.0794492,0.9905801,1.5777543,1.0314221,0.95735437,1.38091,0.81291044,1.3979173,0.9998953,1.392072,1.1650009,1.0261436,0.8892056,0.8904848,0.9836693,1.0656526,1.066226,1.1768098,-2.2000000000000455
10,5.703465,5.8972893,5.8641,6.181834,5.726527,5.8727555,5.941658,5.8391323,5.522109,5.5979605,5.819601,6.2336926,5.566754,5.8444285,5.6400495,5.309543,5.625047,5.807564,5.6120086,5.611603,9.480000000000018
11,-4.2159424,-3.910976,-3.773352,-4.2059207,-4.0536656,-3.8808808,-4.072259,-4.0127597,-4.259558,-3.743291,-4.0965133,-4.09464,-4.204249,-4.006187,-3.9674537,-4.153405,-4.3151903,-4.2512655,-3.992057,-3.7368686,1.7799999999999727
12,-14.636307,-14.122502,-14.534352,-14.479253,-13.8014,-14.199272,-14.3154745,-13.9924755,-14.430236,-14.182751,-14.641237,-14.46729,-14.36372,-14.290849,-14.662904,-14.168524,-14.325052,-14.314872,-14.464846,-14.274899,-13.099999999999909
13,-8.09157,-7.569137,-7.8020496,-7.3361087,-7.553153,-7.8763046,-7.821002,-7.5456986,-8.168817,-8.021118,-7.248716,-7.8573294,-7.6025777,-7.901112,-7.9834623,-7.8842506,-8.055871,-7.4407,-7.5521426,-7.7649727,-1.6600000000000819
14,0.57867706,1.0635905,0.80660975,0.9813457,0.8729388,1.2595335,1.0878317,1.2363746,0.6811435,1.0904262,1.0491692,1.2046608,0.707652,0.77430516,0.9911972,1.0723187,1.2001072,1.1119977,0.82977974,1.3595151,3.089999999999918
15,4.255838,4.5184617,4.652853,4.145713,4.3252087,4.8802543,4.5282893,4.468023,3.9594014,4.772089,4.3184967,4.183421,4.145356,4.2649117,4.0407376,4.561883,4.5881596,3.968862,4.34525,4.455194,7.490000000000009
16,-0.99831665,-1.0057483,-0.8577379,-1.2508222,-0.8398161,-0.44867748,-0.99677825,-0.89112866,-1.1335139,-0.7999502,-1.1575016,-1.2296443,-1.1680468,-0.9991779,-1.5634724,-0.9546736,-1.26806,-0.9535398,-1.1727961,-1.1290827,0.3400000000001455
17,2.68227,2.6701128,2.8270159,3.0906065,2.9269707,2.8233268,2.8070688,2.9406579,2.3130229,2.9818318,2.368832,2.4830801,2.5493968,2.954468,2.1628418,3.0110261,2.5175667,2.6747527,2.6150775,2.719677,5.4500000000000455
18,-7.398769,-7.391012,-7.301919,-7.592102,-6.834424,-7.1573005,-7.851138,-6.9747877,-7.4816694,-7.350998,-7.6515985,-7.4962063,-7.7831492,-7.154276,-7.9012966,-7.313697,-8.016051,-7.2701793,-7.5022893,-7.42532,2.9099999999998545
19,-13.748776,-12.883124,-13.275413,-13.933657,-12.546727,-13.329094,-13.50699,-12.406729,-12.793102,-13.748709,-13.787855,-13.112824,-13.464271,-12.916122,-13.789276,-13.450484,-13.516052,-12.930125,-13.188854,-13.393294,-23.200000000000045
20,-0.46195334,0.63599503,-0.18725584,0.31277156,0.3820568,0.4406677,0.7154321,0.3404079,0.27042922,-0.4608409,0.45657516,1.0641505,-0.12249605,0.024270117,-0.056035943,-0.21378854,0.15957098,0.80609643,-0.050801262,0.038311265,9.779999999999973
21,0.2465092,0.7903631,0.66532266,0.15751508,0.30146232,0.28062892,0.6955967,0.327143,0.6716386,0.109805234,0.59244424,1.2971396,-0.11748542,0.5170003,0.9920271,0.4982743,0.023128182,0.4242553,0.3870566,1.227979,21.470000000000027
