,1_times_lag3,2_times_lag3,3_times_lag3,4_times_lag3,5_times_lag3,6_times_lag3,7_times_lag3,8_times_lag3,9_times_lag3,10_times_lag3,11_times_lag3,12_times_lag3,13_times_lag3,14_times_lag3,15_times_lag3,16_times_lag3,17_times_lag3,18_times_lag3,19_times_lag3,20_times_lag3,test_percentage
0,-1.8771157,-2.0749426,-1.9421262,-1.9208701,-1.9133981,-1.7495646,-1.824972,-1.8519468,-1.8809943,-1.7631073,-1.9398534,-1.7926958,-1.962154,-1.7463495,-1.9771901,-1.9163322,-1.8229607,-2.0653985,-1.9047775,-1.876685,-0.2400000000000091
1,-0.24895054,-0.39900908,-0.23216584,-0.35661608,-0.34897926,-0.15590498,-0.16915815,-0.28304434,-0.25859183,-0.21444811,-0.29805914,-0.18461429,-0.23490542,-0.15070294,-0.28696764,-0.2297415,-0.15975589,-0.37457287,-0.34555215,-0.19505596,14.22999999999979
2,13.837898,13.738115,14.270623,13.934419,13.597183,14.287324,14.059378,13.992993,13.42202,13.833871,13.744585,14.167431,14.105259,14.268095,14.110843,14.099922,13.624225,13.936899,14.373893,14.094572,-1.6699999999998454
3,-1.6115696,-1.7941945,-1.7353413,-1.5907092,-1.8511269,-1.5337842,-1.6746348,-1.3618914,-1.750305,-1.4621807,-1.6811583,-1.7855024,-1.6495972,-1.638113,-1.7545437,-1.7062674,-1.788081,-1.9890004,-1.3908575,-1.509765,6.3599999999999
4,6.4227242,6.20305,6.3847895,6.1392717,6.0627885,6.428884,6.348017,5.7799673,6.131511,5.9606576,6.3279943,6.2029448,6.4172115,6.355645,6.306722,6.4732795,6.3246036,6.0543203,6.2159944,6.723955,-2.7100000000000364
5,-2.768775,-2.7712688,-2.840972,-2.6113017,-2.6527538,-2.4592428,-2.7193952,-2.5596297,-2.7632248,-2.5649357,-2.8416867,-2.5675843,-2.7509089,-2.5582223,-2.8397834,-2.7233336,-2.818151,-2.9714634,-2.6069086,-2.7080436,-2.349999999999909
6,-2.2089083,-2.5793557,-2.3550453,-2.4387748,-2.5491548,-2.177617,-2.2935925,-2.4010725,-2.219861,-2.223498,-2.246346,-2.2660146,-2.3407328,-2.1313348,-2.2111886,-2.302178,-2.2533898,-2.5178528,-2.4326198,-2.2749844,-1.75
7,-1.7706027,-1.8575623,-1.8064477,-1.8267,-1.7783456,-1.6677734,-1.9044496,-1.7558569,-1.7110703,-1.7501913,-1.7385061,-1.6265092,-1.8787807,-1.6882672,-1.8094064,-1.8678651,-1.6059815,-1.7998143,-1.8673795,-1.8823646,4.730000000000018
8,4.5780935,4.669974,4.7516723,4.630651,4.5535693,4.8073316,4.7873898,4.696058,4.448927,4.728047,4.5175424,4.8258514,4.79942,4.881251,4.6657248,4.7750735,4.6035924,4.53149,4.823016,4.717001,11.480000000000018
9,11.158682,10.959025,11.507873,11.216477,10.837513,11.585008,11.238197,11.312274,10.8856945,11.2926035,10.965582,11.422274,11.274182,11.394949,11.374921,11.279337,11.047093,11.254776,11.738921,11.404311,-2.2000000000000455
10,-2.1060407,-2.3938713,-2.2914357,-2.1986175,-2.354066,-1.9875875,-2.1711812,-1.9519873,-2.1997056,-2.0870156,-2.1262012,-2.3528144,-2.2494617,-2.0848854,-2.271816,-2.0674422,-2.4160242,-2.437382,-1.8693936,-1.9711391,9.480000000000018
11,9.3346405,9.310099,9.490715,9.0656595,8.954284,9.6028185,9.339256,8.910228,9.107406,8.977359,9.154475,9.287195,9.493932,9.419658,9.310692,9.555739,9.244681,9.248662,9.37532,9.749955,1.7799999999999727
