,1_times_lag3,2_times_lag3,3_times_lag3,4_times_lag3,5_times_lag3,6_times_lag3,7_times_lag3,8_times_lag3,9_times_lag3,10_times_lag3,11_times_lag3,12_times_lag3,13_times_lag3,14_times_lag3,15_times_lag3,16_times_lag3,17_times_lag3,18_times_lag3,19_times_lag3,20_times_lag3,test_percentage
0,5.607894,5.7550044,5.695585,5.7965684,5.6211877,5.189345,5.958296,4.9916987,5.3907647,6.0786448,5.484868,4.8403616,5.089527,5.041163,5.7840514,5.364398,6.296894,5.242758,5.128639,5.993675,-0.2400000000000091
1,12.182828,11.899496,12.367283,12.205905,11.955141,11.8007,12.503515,11.873015,11.923531,12.144614,12.382741,11.662037,11.593486,12.546073,12.017708,11.688857,12.922023,12.371702,12.381057,12.155677,14.22999999999979
2,2.510711,2.6052773,2.7594686,3.0266387,2.398617,2.2250023,3.1637504,3.0181317,2.853905,2.5899973,3.1524785,2.7419534,1.757254,2.9701672,2.7333236,2.6759274,2.5387268,2.8534892,2.962496,2.9725897,-1.6699999999998454
3,2.3395395,2.622508,3.2362,2.8363252,2.6254847,2.6049588,2.8509429,2.335688,3.4009058,2.2617,2.7630465,2.3439667,2.649308,2.8825061,2.3238583,2.5482707,2.7021954,2.6401803,2.4612577,2.6804116,6.3599999999999
4,-1.8749844,-1.0446483,-1.6219939,-1.928374,-1.861725,-1.9363422,-1.1459632,-1.6510209,-1.4519897,-1.763121,-1.1199036,-1.8472805,-2.1566877,-1.7363816,-1.59998,-1.1144732,-1.8120117,-2.0627952,-1.9087931,-1.355662,-2.7100000000000364
5,0.6721856,0.49810615,1.6661981,0.8287147,0.7026304,0.2255881,1.1139195,0.49976212,1.504452,0.6217946,0.82051516,0.12490676,0.4559344,0.50040925,0.8403251,0.8110871,0.42673448,0.6444494,0.75495315,1.2812728,-2.349999999999909
6,6.7532873,6.7627735,7.402778,7.079238,7.155763,6.597759,7.3701644,6.875411,6.9766197,6.7226977,7.2288136,6.3664045,6.1781054,6.7172074,6.7763643,6.844672,7.682477,6.7100024,7.0773215,7.089455,-1.75
7,9.775054,9.940489,10.551129,9.736983,9.72132,10.1568985,10.232395,10.408952,10.101277,9.558274,10.482966,9.404022,10.151268,10.731449,9.818321,9.584163,10.261427,10.332041,10.557221,10.111424,4.730000000000018
8,5.530226,5.5523596,6.3669343,5.625871,5.3103714,5.6678443,5.891504,5.2273774,5.4541106,5.53797,5.8716025,5.2757864,5.6394696,5.920079,5.53559,5.4732976,5.3579016,6.0219955,5.4307847,5.63988,11.480000000000018
9,-0.9801778,-0.5846585,-0.05875482,-0.25431523,-0.7972197,-0.5587304,0.095185205,-0.59502995,0.29412344,-0.44673344,0.35429758,-0.6328923,-0.7700988,-0.18570971,-0.49665436,-0.13290505,-0.36857563,-0.32984212,-0.7960081,-0.5899465,-2.2000000000000455
10,4.9771576,5.4975286,5.5753846,5.0301723,5.1648126,4.866477,5.6891303,4.606241,5.7932696,4.8657727,5.420007,4.80804,5.6517696,5.5284486,5.210663,5.5400887,6.1498203,5.2800384,5.0659194,5.1537585,9.480000000000018
11,-3.8750873,-3.1121175,-3.9879432,-3.7843506,-3.8167217,-4.202641,-3.216899,-3.4156396,-3.3737152,-3.7243218,-2.827719,-2.8471298,-4.1061535,-3.2923012,-3.6354191,-2.9649446,-3.7161126,-3.500403,-3.6308212,-3.222065,1.7799999999999727
12,-11.715861,-11.469201,-11.706024,-11.447705,-12.108327,-12.01984,-11.825007,-11.982658,-11.804159,-11.782196,-10.878221,-11.646739,-11.922871,-11.499049,-11.554087,-11.840667,-11.841498,-12.302099,-11.958034,-12.3612175,-13.099999999999909
13,-5.864857,-5.29878,-4.9787965,-5.107307,-5.750093,-6.478126,-5.5724196,-5.8327255,-5.73014,-5.4146624,-4.9798145,-6.0968633,-6.5642376,-5.9689045,-5.1235666,-5.8520603,-5.4193373,-5.878958,-6.2915335,-5.3910336,-1.6600000000000819
14,2.1633456,2.5646787,2.3681266,2.5511255,2.5913944,1.625112,2.5214696,2.1340935,2.4571292,2.4526215,2.489496,2.021754,1.3889744,2.1118307,2.1374435,2.2836735,2.4074764,1.8917226,2.2345078,2.9048889,3.089999999999918
15,3.5559237,3.587889,3.9935682,4.1032405,4.133577,4.153581,4.1628456,3.3612385,3.9497797,4.2148376,4.0173554,3.4228294,4.10394,4.2593374,4.746537,4.1909056,4.0858126,3.3147967,4.3490953,4.09216,7.490000000000009
16,-3.8190696,-2.6460583,-2.8359036,-3.2917802,-2.5068743,-3.0008612,-3.159392,-3.0022247,-3.7404175,-2.8259568,-2.9667091,-3.2312775,-3.2743149,-3.1767359,-3.0957708,-3.2738578,-3.2017474,-3.1892965,-3.3094878,-3.4814608,0.3400000000001455
17,1.7502556,1.5627328,1.8531313,1.4320037,2.172724,1.6613415,1.8287091,1.5561231,1.4228961,1.8185354,1.4971534,1.925658,1.7554755,1.22179,1.4812307,0.9277871,1.9333334,1.5519016,1.4043999,1.2385906,5.4500000000000455
18,-8.302434,-7.4950233,-7.5204873,-7.6898556,-7.8286033,-8.183298,-8.022728,-7.2085013,-7.6208267,-7.6859136,-8.256216,-7.7839756,-8.206131,-7.679083,-7.7030506,-7.847067,-7.8570313,-7.6674285,-8.123496,-7.6723623,2.9099999999998545
19,-16.113592,-15.938477,-15.692134,-15.616964,-15.702606,-16.251625,-16.041567,-15.151537,-15.707579,-15.982333,-15.52213,-16.08831,-16.568104,-15.011636,-14.6166115,-16.266552,-15.143516,-15.671324,-15.866193,-16.506117,-23.200000000000045
20,5.884188,5.500507,6.2713876,5.94279,4.7594037,4.858714,5.7198677,5.097494,5.755292,5.5645437,6.011745,4.061368,5.222851,4.5234194,7.1594872,4.6589155,7.133588,4.9271135,5.361113,6.2567067,9.779999999999973
21,-0.8013389,-0.43438235,-1.0069597,-1.4447273,-1.7383901,-1.9208721,0.23793152,-0.49446332,-0.3457434,0.39032033,-0.58135676,-0.76322776,-2.4712536,-1.7517606,0.13997409,-0.8208686,-0.71610177,-1.2612237,-0.6339532,0.20925735,21.470000000000027
22,-11.916171,-10.756262,-12.188765,-12.236814,-11.693473,-13.051775,-12.536473,-11.734222,-11.140615,-12.178292,-11.423508,-11.079474,-12.099137,-10.755168,-11.827259,-12.240934,-11.197896,-12.250527,-12.881801,-11.4002695,-3.5599999999999454
23,3.91196,4.2982574,5.178,4.435809,4.145091,3.8927941,3.6240022,3.4821117,3.925273,3.744563,3.5535922,3.8923728,3.4736788,4.362955,5.231431,5.2593117,7.3426304,4.33654,2.84555,4.071121,3.0699999999999363
24,7.9836445,7.350536,7.649527,7.835258,7.5487156,7.079358,8.172464,8.477871,7.6990743,7.4988728,8.37622,7.704014,7.269176,6.9571667,8.058964,8.485142,8.554679,7.2619953,6.958149,7.802418,3.769999999999982
25,-0.057445366,-1.1512587,-0.7486396,0.23730803,0.09201623,-0.24011503,0.50335497,-0.11471757,0.30748352,0.47417718,-0.19671972,1.6389145,1.2071062,0.78126913,0.27016816,0.37836787,0.36787826,0.30564794,0.0148480665,-1.2477902,8.180000000000064
26,-7.9173465,-6.7626877,-7.5792174,-7.2378116,-7.5576987,-7.8473773,-7.1841183,-6.3804493,-6.826469,-7.1729383,-7.3748674,-7.407087,-7.4639225,-7.468704,-6.3959146,-6.921784,-6.5332108,-7.176624,-7.5370417,-7.491752,5.519999999999982
27,-7.185682,-7.487408,-7.762101,-7.5784154,-7.649387,-8.599752,-7.4899645,-6.6463795,-6.8335156,-7.4512515,-7.18899,-7.8059473,-7.783767,-7.199545,-5.494394,-7.27462,-6.0381017,-7.933632,-6.896699,-7.384528,-3.689999999999827
