,1_times_lag3,2_times_lag3,3_times_lag3,4_times_lag3,5_times_lag3,6_times_lag3,7_times_lag3,8_times_lag3,9_times_lag3,10_times_lag3,11_times_lag3,12_times_lag3,13_times_lag3,14_times_lag3,15_times_lag3,16_times_lag3,17_times_lag3,18_times_lag3,19_times_lag3,20_times_lag3,test_value
0,1256.0028842735292,1255.805057411194,1255.9378738451005,1255.959129934311,1255.9666018533708,1256.1304353523255,1256.0550279664994,1256.0280531692506,1255.9990056800843,1256.1168927001954,1255.9401465702058,1256.0873042392732,1255.9178459692002,1256.133650546074,1255.9028098630906,1255.963667755127,1256.0570392656327,1255.814601545334,1255.9752224731446,1256.0033149766923,1257.64
1,1257.3910494589807,1257.240990921259,1257.4078341567517,1257.2833839201928,1257.2910207355023,1257.4840950214864,1257.4708418542148,1257.3569556617738,1257.3814081692697,1257.425551890731,1257.3419408643247,1257.4553857141734,1257.4050945782662,1257.4892970615626,1257.3530323648454,1257.4102585011722,1257.480244114399,1257.2654271268846,1257.2944478535653,1257.4449440383912,1271.87
2,1285.7078982543944,1285.6081153106688,1286.1406232070922,1285.8044186782836,1285.467183227539,1286.157323951721,1285.929377670288,1285.8629933547973,1285.292019958496,1285.7038708877562,1285.6145850372313,1286.0374308776854,1285.9752589416503,1286.1380950164794,1285.9808427047728,1285.9699221801757,1285.4942246627807,1285.8068991851806,1286.2438927841185,1285.9645720672606,1270.2
3,1268.5884303569794,1268.4058055400849,1268.464658689499,1268.609290790558,1268.348873090744,1268.6662158489228,1268.5253651857377,1268.838108611107,1268.449694943428,1268.7378192663193,1268.5188416957856,1268.4144975662232,1268.5504028320313,1268.5618869781495,1268.4454563379288,1268.4937326431275,1268.411918950081,1268.2109995603562,1268.8091425418854,1268.6902349710465,1276.56
4,1282.9827242469787,1282.763050136566,1282.9447894668579,1282.699271736145,1282.6227884864807,1282.9888840293884,1282.9080172157287,1282.3399673080444,1282.6915112113952,1282.520657596588,1282.8879943466186,1282.7629447555541,1282.9772115325927,1282.9156451797485,1282.866722164154,1283.0332794761657,1282.8846035575866,1282.6143203353881,1282.7759943580627,1283.283955154419,1273.85
5,1271.0812250137328,1271.0787311553954,1271.0090280532836,1271.2386983394622,1271.1972461700439,1271.3907571792602,1271.1306048393249,1271.2903703212737,1271.0867751598357,1271.2850643157958,1271.0083132743835,1271.2824157238006,1271.0990911483764,1271.2917777061461,1271.0102165699004,1271.1266664028167,1271.031849002838,1270.8785365581512,1271.2430914402007,1271.141956424713,1271.5
6,1269.2910916805267,1268.9206442832947,1269.1449546813965,1269.0612251758575,1268.9508452415466,1269.322382926941,1269.206407546997,1269.0989274978638,1269.2801389694214,1269.2765018939972,1269.2536540031433,1269.2339854240417,1269.1592671871185,1269.3686652183533,1269.2888114452362,1269.1978220939636,1269.2466101646423,1268.9821472167969,1269.0673801898956,1269.2250156402588,1269.75
7,1267.9793972969055,1267.892437696457,1267.9435522556305,1267.9233000278473,1267.9716544151306,1268.0822266340256,1267.8455504179,1267.994143128395,1268.0389297008514,1267.9998086690903,1268.01149392128,1268.1234908103943,1267.871219277382,1268.0617327690125,1267.9405936002731,1267.8821349143982,1268.1440185308456,1267.9501856565475,1267.8826204538345,1267.8676353693008,1274.48
8,1279.0580935287476,1279.1499738502503,1279.2316722679138,1279.1106509971619,1279.033569316864,1279.2873315620423,1279.267389755249,1279.1760577964783,1278.9289269256592,1279.2080468940735,1278.9975423622132,1279.3058514404297,1279.2794198799133,1279.361250858307,1279.1457247543335,1279.2550735282898,1279.0835923957825,1279.0114898490906,1279.303016166687,1279.1970009613037,1285.96
9,1297.1186818695069,1296.9190253829956,1297.467872581482,1297.176477394104,1296.7975129699707,1297.5450076675415,1297.1981973266602,1297.272273979187,1296.8456945037842,1297.2526034927369,1296.925581893921,1297.3822736358643,1297.2341823196411,1297.3549489593506,1297.3349208450318,1297.2393369293213,1297.0070933914185,1297.2147760009766,1297.6989211654663,1297.3643111801148,1283.76
10,1281.6539592838287,1281.366128692627,1281.4685642814636,1281.5613825416565,1281.4059341049194,1281.7724125480652,1281.5888187980652,1281.8080127334595,1281.5602943992615,1281.6729843711853,1281.6337988471985,1281.4071855640411,1281.5105383491516,1281.6751146411896,1281.4881839847565,1281.6925578212738,1281.3439757919311,1281.3226180171966,1281.8906064128876,1281.788860926628,1293.24
11,1302.5746405029297,1302.5500986480713,1302.7307150268555,1302.3056595230103,1302.1942837142944,1302.8428184890747,1302.579256286621,1302.1502277755737,1302.3474056625366,1302.2173588180542,1302.3944752120972,1302.5271952056885,1302.7339317703247,1302.6596577072144,1302.550691833496,1302.795739402771,1302.4846813583374,1302.488661994934,1302.6153204345703,1302.9899551773071,1295.02
12,1296.7316935253143,1296.7377600860596,1296.7045636367798,1296.7174004507065,1296.5975290727615,1296.94737698555,1296.8665240001678,1296.911215801239,1296.4860419225693,1296.9786743116379,1296.7286468935013,1296.8090756130218,1296.7870912742615,1296.6974402856827,1296.8380257081985,1296.7746055316925,1296.7529815626144,1296.5433206748962,1297.1666920375824,1296.941563386917,1281.92
13,1269.1245307159425,1268.5057496261597,1269.2274836730958,1269.0991334152222,1268.96647064209,1269.4733313751221,1269.1550311279298,1269.5968255233765,1269.3058489990235,1269.3026036453248,1269.3602446746827,1269.169140739441,1268.9464883041383,1269.688364906311,1269.613585395813,1269.155736846924,1268.8716792297364,1269.0125722122193,1269.4273127746583,1268.6943692398072,1280.26
14,1278.7789679861069,1278.4272633886337,1278.706564078331,1278.3207602596283,1278.3442933654785,1278.8536628580093,1278.5364508724213,1278.660179386139,1278.4975016212463,1278.5109350776672,1278.9952193593979,1278.6963878965378,1278.6156619882584,1278.6738550758362,1279.0007685518265,1278.557712445259,1278.5774117803574,1278.7665381526947,1278.47100127697,1278.76153028965,1283.35
15,1286.3265872955321,1286.4215069770812,1286.402511692047,1286.2647951602935,1286.303089237213,1286.5305188655852,1286.3100653648376,1286.584651327133,1285.9641293048858,1286.5048252105712,1286.3822694778441,1286.7322019100188,1286.2679003238677,1286.5330656528472,1286.1657548904418,1286.2355321407317,1286.3893962860107,1286.2472783088683,1286.52302942276,1286.070985174179,1290.84
16,1298.1257661247253,1298.0098842048644,1298.3595603370666,1298.1501563453673,1297.9099081420898,1298.436342086792,1298.2103145980834,1298.2248557472228,1297.948437538147,1298.2859190368652,1297.9766424560546,1298.348936882019,1298.2226212882995,1298.3039649391173,1298.2458408737182,1298.2190163993835,1298.0788281822204,1298.1261189842223,1298.533835735321,1298.3061407470702,1291.18
17,1291.548865609169,1291.477917932272,1291.4830544519425,1291.4833838868142,1291.3966050076485,1291.6553968119622,1291.5629381763936,1291.5301791656018,1291.502687983513,1291.698585085869,1291.4965966570378,1291.414438881278,1291.5261381793023,1291.5162861275674,1291.479895554781,1291.6031571555138,1291.4939891326428,1291.3279453593493,1291.7386519241334,1291.6883045959473,1296.63
18,1301.9964560317994,1301.9934452819825,1302.1141108322145,1301.8372215080262,1301.7456253814698,1302.2096179771424,1302.015681629181,1301.7383993911744,1301.9162334251405,1301.8625716018678,1301.8466056632997,1302.0119699287416,1302.136362438202,1302.0943874168397,1302.0152300643922,1302.1512597846986,1302.0088180351258,1301.880132083893,1302.0763748931886,1302.2924231338502,1299.54
19,1302.4414000892639,1302.3517277622223,1302.4659467124939,1302.3118625068664,1302.1957886600494,1302.5438831233978,1302.561576166153,1302.448182144165,1302.3341586971283,1302.5736191654205,1302.2382779502868,1302.5024516963958,1302.366678276062,1302.3693306827545,1302.4448390388488,1302.3789184474945,1302.3919282341003,1302.2763605499267,1302.7143624210357,1302.5354953193664,1276.34
