,1_times_lag4,2_times_lag4,3_times_lag4,4_times_lag4,5_times_lag4,6_times_lag4,7_times_lag4,8_times_lag4,9_times_lag4,10_times_lag4,11_times_lag4,12_times_lag4,13_times_lag4,14_times_lag4,15_times_lag4,16_times_lag4,17_times_lag4,18_times_lag4,19_times_lag4,20_times_lag4,test_value
0,1263.9467729377748,1264.1429094123841,1263.6771839904786,1263.1094569015504,1264.2194355773927,1264.1706394004823,1264.0750201988221,1262.8017472076417,1263.521432762146,1262.9326952743531,1263.9296501922609,1263.77013338089,1263.8293865966798,1264.2785743522645,1264.3210309791566,1263.48923910141,1263.1988371658326,1263.4669665145875,1263.1306952285768,1263.4436005401612,1257.64
1,1269.5187631988526,1269.6380020523072,1269.6684061431886,1268.6239687347413,1269.6463447952272,1269.313062324524,1268.9342218780519,1268.355096473694,1269.2017055892945,1268.4784313583375,1269.2708002471925,1268.8001581573487,1269.4868036651612,1270.0080467605592,1270.184445037842,1268.9982801818849,1269.2451959991456,1269.322023048401,1269.091021194458,1268.8353954696656,1271.87
2,1274.1566806983947,1274.5150045108794,1274.3744610500335,1273.4780281734465,1274.1360357952117,1274.0945545387267,1274.1908501338958,1274.2830342006682,1274.3869086456298,1274.74056350708,1274.042577857971,1273.5809540700911,1274.5663486671447,1274.5672472667693,1273.8192789506911,1273.1665918779372,1273.710323805809,1274.0775674533843,1274.357990617752,1274.090697402954,1270.2
3,1273.4130575180054,1273.638093662262,1273.6902467727662,1272.8092100143433,1273.3493809223176,1272.5807096481324,1273.1791231155396,1273.055447769165,1273.028049659729,1273.6578704833985,1273.7547132492066,1273.4332577705384,1273.3574671268464,1274.0032894134522,1273.5196551799775,1273.2571446418763,1273.4577087879181,1274.0577551841736,1273.490026664734,1273.091926765442,1276.56
4,1275.2527186250686,1276.0922406589984,1275.8635290837287,1275.3150975084304,1276.061612007618,1275.8447845554351,1275.5198537683486,1274.8180902576446,1275.6387668824195,1275.802610156536,1275.803820130825,1275.2718802070617,1275.7420131540298,1275.4513086652755,1275.1323037719726,1275.5373005247116,1275.0387828922271,1276.3788378214836,1275.5285344696044,1275.1995746469497,1273.85
5,1274.4923956751823,1274.8946029901504,1276.0255526065826,1274.9522033691405,1275.3434264421462,1274.4484781384467,1275.1549198389052,1274.6451778769492,1275.028919315338,1275.3330021858214,1275.693659043312,1275.2742013692855,1274.7809371709823,1275.4726305961608,1275.2965668201446,1274.6096383094787,1275.372835254669,1275.1893335342406,1275.0354137182235,1275.6010274648665,1271.5
6,1279.4309182167053,1280.2757415771484,1279.8706855773926,1279.1833868026733,1279.819598197937,1280.039478302002,1280.1317806243896,1278.5256237983704,1279.4918894767761,1278.5967454910278,1280.1022319793701,1280.261420249939,1279.4608316421509,1280.196614265442,1279.6733932495117,1279.56582736969,1279.522024154663,1279.9311933517456,1278.9923419952393,1279.691276550293,1269.75
7,1278.8858127593994,1279.3018684387207,1279.9364795684814,1278.6808643341064,1279.4357824325562,1278.721975326538,1278.7779903411865,1278.227442741394,1279.0016641616821,1278.8981981277466,1279.4757099151611,1279.2522649765015,1279.1498765945435,1279.6483373641968,1280.1453199386597,1279.2548389434814,1279.4882469177246,1278.9428901672363,1278.927981376648,1279.151662826538,1274.48
8,1281.058540802002,1281.3131151008606,1280.692239265442,1280.0613674926758,1280.3438157844544,1280.2867836761475,1280.5429014968872,1280.2688879776001,1280.3763947296143,1281.1584343719483,1280.79760597229,1280.652294139862,1281.227019290924,1281.1561631965637,1281.014044265747,1280.0979051399231,1280.445491771698,1280.017570476532,1280.1690878677368,1280.4676022338867,1285.96
9,1286.5882358169556,1286.4400366163254,1286.5691719269753,1285.9896929795295,1286.701214811802,1286.1881085401774,1285.8841392835975,1286.7338328576088,1286.10825335145,1286.863922855854,1286.5520763611794,1286.7921563005448,1287.705063662529,1286.8198395586014,1286.5428240513802,1286.0129835820198,1285.8905532202125,1286.2842326676846,1286.8088692045212,1286.40207406044,1283.76
