,1_times_lag5,2_times_lag5,3_times_lag5,4_times_lag5,5_times_lag5,6_times_lag5,7_times_lag5,8_times_lag5,9_times_lag5,10_times_lag5,11_times_lag5,12_times_lag5,13_times_lag5,14_times_lag5,15_times_lag5,16_times_lag5,17_times_lag5,18_times_lag5,19_times_lag5,20_times_lag5,test_value
0,1266.6112927246095,1265.6970213699342,1265.8040398406984,1265.8073500442506,1266.049948577881,1265.513189201355,1265.7497438240052,1265.8973511505128,1265.7117542076112,1265.3377417373658,1266.046006088257,1265.6434763717652,1265.6606878089906,1265.841081981659,1265.8993281173707,1265.5203918266297,1265.8879183578492,1265.5562585639955,1265.0788105773927,1265.6511234092713,1257.64
1,1271.634312286377,1270.5881801986695,1270.9624134445191,1269.9689375305177,1270.9293228530885,1269.8740860366822,1270.8318239593507,1270.1962448501588,1270.7659832382203,1270.0814157867433,1271.0559259796144,1270.3805347824098,1270.9846798324586,1270.444246902466,1270.5730759048463,1270.0096451187135,1271.2232691192628,1270.2817884826661,1270.4881664657594,1270.8035169982911,1271.87
2,1277.4101773452758,1277.1436959457396,1277.332221622467,1276.6464191627501,1277.3194185447692,1277.1938525390624,1277.150686855316,1276.8140908432006,1276.6549254608153,1276.0696717453002,1277.0572143745421,1276.7846480560302,1277.6882706832885,1276.4802323532103,1277.1954208564757,1276.485560054779,1277.4627953720092,1277.0018340301513,1276.811105365753,1276.9995900344848,1270.2
3,1273.1689702987671,1273.29862947464,1272.444649887085,1272.7981674194336,1272.5159258365632,1272.9688426971436,1273.3573317050934,1272.8595742702485,1272.7261476039887,1271.59264523983,1273.3629557609559,1272.706091117859,1272.9212405204773,1272.479503107071,1272.3719253063202,1272.5464934825898,1272.8875677108765,1272.6729990959168,1272.1166654348374,1272.6659986495972,1276.56
4,1274.1500681018829,1274.5028040981292,1274.2053938484191,1274.5751307582855,1274.329345998764,1274.530254421234,1274.98134475708,1274.4077425575256,1274.1471286392211,1274.1403508758544,1274.4566422080993,1274.450863418579,1274.2556844329833,1274.6319264745712,1274.8145444965362,1274.0255599594116,1274.4469495391845,1274.688101348877,1274.0912721729278,1274.114021835327,1273.85
5,1274.880767560005,1274.9999722003936,1274.622027492523,1274.890459871292,1274.8952646017074,1275.0332110881805,1275.1608766078948,1274.820930457115,1274.717809653282,1274.2375803351401,1275.028640127182,1274.743660902977,1275.0053659439086,1274.8101099491118,1274.8496734857558,1274.7863597035407,1274.8538477182387,1274.779441332817,1274.6251038074492,1274.2415589153766,1271.5
6,1279.0155801773071,1279.2869582176208,1279.2826442718506,1278.8459992408752,1278.8333525657654,1279.5013523101807,1279.1164999008179,1278.8733472824097,1278.978286266327,1278.9555659294128,1279.310214996338,1279.0766062736511,1279.421775817871,1279.5614347457886,1279.3401699066162,1278.732681274414,1279.046992778778,1279.0802173614502,1278.6915411949158,1279.2542414665222,1269.75
7,1280.730767250061,1281.5550689697266,1281.3098182678223,1281.4888229370117,1281.2781381607056,1280.875322341919,1281.2715473175049,1281.4311571121216,1280.8816690444946,1280.9218606948853,1282.2442474365234,1280.675045967102,1281.7313165664673,1281.0475931167603,1281.355827331543,1281.2135982513428,1281.57262134552,1280.7960081100464,1281.2299251556396,1281.728569984436,1274.48
8,1281.245423297882,1281.0956239509583,1280.7416062164307,1281.4000043678284,1280.96974609375,1281.3853711891174,1281.5124912071228,1281.4508495140076,1280.5222835350037,1280.5854439544678,1281.0600857543945,1280.954153995514,1280.752536277771,1281.1188220787049,1281.401287059784,1280.8846478271485,1281.642187576294,1280.856573562622,1280.9254379081726,1281.2310962486267,1285.96
9,1288.795391521454,1287.3790315008164,1287.498055062294,1286.5521241044999,1288.0716790771485,1287.029099187851,1287.7237468576432,1287.0789645528794,1287.3471986865998,1287.0645325994492,1287.6434001541138,1287.3203242635727,1287.3835723018647,1287.4499801015854,1287.0762052154541,1287.0719539737702,1287.5966896629334,1287.7255843496323,1287.2474732017517,1287.3162359809876,1283.76
10,1290.253609905243,1289.702696094513,1289.2696578598022,1289.0507710075378,1289.2593958473205,1288.5055792427063,1289.6210138893127,1289.5761463737488,1289.6278679466247,1288.964586982727,1289.386139640808,1289.0166967010498,1290.0403831100464,1289.2160098648071,1288.555958995819,1289.2362797355652,1289.02953458786,1289.9652693367004,1288.8739969825745,1289.0680959320068,1293.24
11,1288.9645955467224,1289.3383457565308,1289.0065791511536,1289.7207291030884,1289.2371256256104,1289.3329799079895,1289.3162133598328,1289.320908536911,1289.12165473938,1289.1686484718323,1289.6795141601563,1289.029722442627,1289.1839301490784,1289.6615078353882,1289.509868850708,1288.6138207817078,1289.69188164711,1289.485168209076,1288.8290884399414,1289.0774943733215,1295.02
12,1281.0843405914306,1281.2174325180054,1280.2495532226562,1281.4088292312622,1280.6737342071533,1281.2524657440185,1281.6233382415771,1280.9953007888794,1280.7779231262207,1280.328289527893,1281.5044636917114,1281.4093604278564,1280.8833556365967,1280.8875384521484,1281.2205338668823,1280.6394705963135,1280.8108029556274,1280.9193120193481,1281.355124015808,1280.8188014221191,1281.92
13,1274.1530980300904,1274.6882595252991,1273.3956593704224,1274.2793096733094,1274.2301029396058,1273.9915227127076,1274.8312100601197,1274.8553575706483,1274.189539833069,1274.4530557823182,1274.2879237365723,1274.5263294410706,1274.5410231781007,1274.4665650558472,1274.4637960624696,1273.4222258758546,1274.0217136573792,1274.7540520858765,1274.2884186935426,1274.385431213379,1280.26
14,1281.675113210678,1281.7364187335968,1281.9192028141022,1281.9256663417816,1282.1188831424713,1282.05527425766,1282.3125550842285,1281.942570695877,1282.0539270734787,1282.229975233078,1282.167876610756,1282.0158393478393,1281.7735407447815,1282.2283520793915,1282.3600237464905,1280.93288261652,1282.0932631587982,1282.0047336912155,1281.6903394556045,1281.435225019455,1283.35
15,1286.6187380313872,1286.9300862312316,1286.6832319259643,1286.9254091739654,1286.8981059551238,1286.6280838012694,1286.493525123596,1287.6871791839599,1286.9516130447387,1286.5878544807433,1286.9063275814055,1287.0074289798736,1287.632835960388,1286.7238782405852,1287.0726305007934,1286.9666870594024,1287.0293055534362,1286.6669817924499,1286.9354158401488,1286.8105569839477,1290.84
16,1288.8637568616866,1289.2597639226913,1289.0085893535613,1289.07715531826,1289.3022528553008,1289.5363229179382,1289.0326127672195,1289.2276614570617,1289.0363015794753,1288.9887135887145,1289.1543563270568,1289.291761841774,1289.5115614795684,1288.8638897800445,1289.273974981308,1288.6651402378081,1289.6596543455123,1288.8888218069076,1289.1762593650817,1289.3678686285018,1291.18
17,1292.5360835123063,1292.8185457515717,1293.0585132169724,1293.2752553749085,1293.6394461917878,1292.8517185974122,1293.0526315498353,1293.1115458536149,1292.7147555875779,1292.4061815071107,1292.9436281251908,1292.519502453804,1293.032028131485,1292.8180544900895,1292.7170016098023,1292.2854652929307,1293.0839385318757,1292.2711382436753,1292.8305626440049,1292.6513913202286,1296.63
